"date","Year","Month","Day","value"
1955-04-01,1955,4,1,244
1955-04-02,1955,4,2,222
1955-04-03,1955,4,3,228
1955-04-04,1955,4,4,233
1955-04-05,1955,4,5,217
1955-04-06,1955,4,6,211
1955-04-07,1955,4,7,211
1955-04-08,1955,4,8,222
1955-04-09,1955,4,9,222
1955-04-10,1955,4,10,217
1955-04-11,1955,4,11,222
1955-04-12,1955,4,12,217
1955-04-13,1955,4,13,206
1955-04-14,1955,4,14,211
1955-04-15,1955,4,15,217
1955-04-16,1955,4,16,244
1955-04-17,1955,4,17,228
1955-04-18,1955,4,18,217
1955-04-19,1955,4,19,211
1955-04-20,1955,4,20,211
1955-04-21,1955,4,21,211
1955-04-22,1955,4,22,206
1955-04-23,1955,4,23,217
1955-04-24,1955,4,24,233
1955-04-25,1955,4,25,228
1955-04-26,1955,4,26,228
1955-04-27,1955,4,27,233
1955-04-28,1955,4,28,244
1955-04-29,1955,4,29,244
1955-04-30,1955,4,30,217
1955-05-01,1955,5,1,222
1955-05-02,1955,5,2,228
1955-05-03,1955,5,3,206
1955-05-04,1955,5,4,228
1955-05-05,1955,5,5,233
1955-05-06,1955,5,6,228
1955-05-07,1955,5,7,222
1955-05-08,1955,5,8,211
1955-05-09,1955,5,9,211
1955-05-10,1955,5,10,244
1955-05-11,1955,5,11,239
1955-05-12,1955,5,12,233
1955-05-13,1955,5,13,250
1955-05-14,1955,5,14,228
1955-05-15,1955,5,15,217
1955-05-16,1955,5,16,211
1955-05-17,1955,5,17,206
1955-05-18,1955,5,18,206
1955-05-19,1955,5,19,206
1955-05-20,1955,5,20,222
1955-05-21,1955,5,21,228
1955-05-22,1955,5,22,228
1955-05-23,1955,5,23,211
1955-05-24,1955,5,24,206
1955-05-25,1955,5,25,200
1955-05-26,1955,5,26,244
1955-05-27,1955,5,27,233
1955-05-28,1955,5,28,233
1955-05-29,1955,5,29,222
1955-05-30,1955,5,30,239
1955-05-31,1955,5,31,239
1955-06-01,1955,6,1,200
1955-06-02,1955,6,2,206
1955-06-03,1955,6,3,222
1955-06-04,1955,6,4,250
1955-06-05,1955,6,5,250
1955-06-06,1955,6,6,244
1955-06-07,1955,6,7,244
1955-06-08,1955,6,8,244
1955-06-09,1955,6,9,244
1955-06-10,1955,6,10,239
1955-06-11,1955,6,11,200
1955-06-12,1955,6,12,211
1955-06-13,1955,6,13,233
1955-06-14,1955,6,14,244
1955-06-15,1955,6,15,244
1955-06-16,1955,6,16,244
1955-06-17,1955,6,17,239
1955-06-18,1955,6,18,211
1955-06-19,1955,6,19,222
1955-06-20,1955,6,20,222
1955-06-21,1955,6,21,200
1955-06-22,1955,6,22,194
1955-06-23,1955,6,23,200
1955-06-24,1955,6,24,222
1955-06-25,1955,6,25,228
1955-06-26,1955,6,26,211
1955-06-27,1955,6,27,211
1955-06-28,1955,6,28,211
1955-06-29,1955,6,29,233
1955-06-30,1955,6,30,239
1955-07-01,1955,7,1,244
1955-07-02,1955,7,2,239
1955-07-03,1955,7,3,222
1955-07-04,1955,7,4,206
1955-07-05,1955,7,5,233
1955-07-06,1955,7,6,233
1955-07-07,1955,7,7,228
1955-07-08,1955,7,8,239
1955-07-09,1955,7,9,228
1955-07-10,1955,7,10,233
1955-07-11,1955,7,11,244
1955-07-12,1955,7,12,233
1955-07-13,1955,7,13,217
1955-07-14,1955,7,14,200
1955-07-15,1955,7,15,200
1955-07-16,1955,7,16,222
1955-07-17,1955,7,17,211
1955-07-18,1955,7,18,217
1955-07-19,1955,7,19,206
1955-07-20,1955,7,20,194
1955-07-21,1955,7,21,200
1955-07-22,1955,7,22,183
1955-07-23,1955,7,23,211
1955-07-24,1955,7,24,194
1955-07-25,1955,7,25,178
1955-07-26,1955,7,26,200
1955-07-27,1955,7,27,200
1955-07-28,1955,7,28,206
1955-07-29,1955,7,29,211
1955-07-30,1955,7,30,211
1955-07-31,1955,7,31,233
1955-08-01,1955,8,1,211
1955-08-02,1955,8,2,200
1955-08-03,1955,8,3,233
1955-08-04,1955,8,4,233
1955-08-05,1955,8,5,222
1955-08-06,1955,8,6,211
1955-08-07,1955,8,7,200
1955-08-08,1955,8,8,228
1955-08-09,1955,8,9,244
1955-08-10,1955,8,10,239
1955-08-11,1955,8,11,233
1955-08-12,1955,8,12,217
1955-08-13,1955,8,13,222
1955-08-14,1955,8,14,217
1955-08-15,1955,8,15,228
1955-08-16,1955,8,16,206
1955-08-17,1955,8,17,183
1955-08-18,1955,8,18,194
1955-08-19,1955,8,19,200
1955-08-20,1955,8,20,239
1955-08-21,1955,8,21,217
1955-08-22,1955,8,22,239
1955-08-23,1955,8,23,217
1955-08-24,1955,8,24,228
1955-08-25,1955,8,25,222
1955-08-26,1955,8,26,222
1955-08-27,1955,8,27,206
1955-08-28,1955,8,28,211
1955-08-29,1955,8,29,200
1955-08-30,1955,8,30,222
1955-08-31,1955,8,31,228
1955-09-01,1955,9,1,222
1955-09-02,1955,9,2,233
1955-09-03,1955,9,3,178
1955-09-04,1955,9,4,228
1955-09-05,1955,9,5,228
1955-09-06,1955,9,6,250
1955-09-07,1955,9,7,250
1955-09-08,1955,9,8,233
1955-09-09,1955,9,9,239
1955-09-10,1955,9,10,233
1955-09-11,1955,9,11,239
1955-09-12,1955,9,12,228
1955-09-13,1955,9,13,239
1955-09-14,1955,9,14,228
1955-09-15,1955,9,15,233
1955-09-16,1955,9,16,228
1955-09-17,1955,9,17,228
1955-09-18,1955,9,18,239
1955-09-19,1955,9,19,222
1955-09-20,1955,9,20,200
1955-09-21,1955,9,21,244
1955-09-22,1955,9,22,250
1955-09-23,1955,9,23,222
1955-09-24,1955,9,24,233
1955-09-25,1955,9,25,211
1955-09-26,1955,9,26,228
1955-09-27,1955,9,27,228
1955-09-28,1955,9,28,228
1955-09-29,1955,9,29,233
1955-09-30,1955,9,30,222
1955-10-01,1955,10,1,211
1955-10-02,1955,10,2,239
1955-10-03,1955,10,3,239
1955-10-04,1955,10,4,244
1955-10-05,1955,10,5,244
1955-10-06,1955,10,6,228
1955-10-07,1955,10,7,211
1955-10-08,1955,10,8,206
1955-10-09,1955,10,9,217
1955-10-10,1955,10,10,233
1955-10-11,1955,10,11,206
1955-10-12,1955,10,12,222
1955-10-13,1955,10,13,244
1955-10-14,1955,10,14,228
1955-10-15,1955,10,15,200
1955-10-16,1955,10,16,200
1955-10-17,1955,10,17,222
1955-10-18,1955,10,18,217
1955-10-19,1955,10,19,239
1955-10-20,1955,10,20,228
1955-10-21,1955,10,21,233
1955-10-22,1955,10,22,233
1955-10-23,1955,10,23,244
1955-10-24,1955,10,24,217
1955-10-25,1955,10,25,217
1955-10-26,1955,10,26,228
1955-10-27,1955,10,27,233
1955-10-28,1955,10,28,239
1955-10-29,1955,10,29,233
1955-10-30,1955,10,30,244
1955-10-31,1955,10,31,250
1955-11-01,1955,11,1,206
1955-11-02,1955,11,2,228
1955-11-03,1955,11,3,211
1955-11-04,1955,11,4,222
1955-11-05,1955,11,5,222
1955-11-06,1955,11,6,233
1955-11-07,1955,11,7,211
1955-11-08,1955,11,8,211
1955-11-09,1955,11,9,222
1955-11-10,1955,11,10,233
1955-11-11,1955,11,11,222
1955-11-12,1955,11,12,244
1955-11-13,1955,11,13,217
1955-11-14,1955,11,14,222
1955-11-15,1955,11,15,222
1955-11-16,1955,11,16,217
1955-11-17,1955,11,17,233
1955-11-18,1955,11,18,228
1955-11-19,1955,11,19,222
1955-11-20,1955,11,20,211
1955-11-21,1955,11,21,217
1955-11-22,1955,11,22,206
1955-11-23,1955,11,23,211
1955-11-24,1955,11,24,217
1955-11-25,1955,11,25,233
1955-11-26,1955,11,26,217
1955-11-27,1955,11,27,217
1955-11-28,1955,11,28,239
1955-11-29,1955,11,29,239
1955-11-30,1955,11,30,217
1955-12-01,1955,12,1,211
1955-12-02,1955,12,2,217
1955-12-03,1955,12,3,217
1955-12-04,1955,12,4,194
1955-12-05,1955,12,5,211
1955-12-06,1955,12,6,206
1955-12-07,1955,12,7,189
1955-12-08,1955,12,8,217
1955-12-09,1955,12,9,206
1955-12-10,1955,12,10,206
1955-12-11,1955,12,11,206
1955-12-12,1955,12,12,217
1955-12-13,1955,12,13,222
1955-12-14,1955,12,14,206
1955-12-15,1955,12,15,244
1955-12-16,1955,12,16,250
1955-12-17,1955,12,17,233
1955-12-18,1955,12,18,222
1955-12-19,1955,12,19,211
1955-12-20,1955,12,20,206
1955-12-21,1955,12,21,206
1955-12-22,1955,12,22,206
1955-12-23,1955,12,23,211
1955-12-24,1955,12,24,211
1955-12-25,1955,12,25,222
1955-12-26,1955,12,26,217
1955-12-27,1955,12,27,228
1955-12-28,1955,12,28,228
1955-12-29,1955,12,29,222
1955-12-30,1955,12,30,228
1955-12-31,1955,12,31,222
1956-01-01,1956,1,1,222
1956-01-02,1956,1,2,233
1956-01-03,1956,1,3,239
1956-01-04,1956,1,4,228
1956-01-05,1956,1,5,228
1956-01-06,1956,1,6,222
1956-01-07,1956,1,7,200
1956-01-08,1956,1,8,228
1956-01-09,1956,1,9,228
1956-01-10,1956,1,10,211
1956-01-11,1956,1,11,211
1956-01-12,1956,1,12,222
1956-01-13,1956,1,13,233
1956-01-14,1956,1,14,222
1956-01-15,1956,1,15,211
1956-01-16,1956,1,16,206
1956-01-17,1956,1,17,211
1956-01-18,1956,1,18,217
1956-01-19,1956,1,19,222
1956-01-20,1956,1,20,211
1956-01-21,1956,1,21,217
1956-01-22,1956,1,22,217
1956-01-23,1956,1,23,211
1956-01-24,1956,1,24,206
1956-01-25,1956,1,25,211
1956-01-26,1956,1,26,211
1956-01-27,1956,1,27,217
1956-01-28,1956,1,28,217
1956-01-29,1956,1,29,200
1956-01-30,1956,1,30,194
1956-01-31,1956,1,31,206
1956-02-01,1956,2,1,228
1956-02-02,1956,2,2,250
1956-02-03,1956,2,3,239
1956-02-04,1956,2,4,228
1956-02-05,1956,2,5,211
1956-02-06,1956,2,6,211
1956-02-07,1956,2,7,217
1956-02-08,1956,2,8,211
1956-02-09,1956,2,9,206
1956-02-10,1956,2,10,206
1956-02-11,1956,2,11,200
1956-02-12,1956,2,12,200
1956-02-13,1956,2,13,211
1956-02-14,1956,2,14,228
1956-02-15,1956,2,15,228
1956-02-16,1956,2,16,228
1956-02-17,1956,2,17,222
1956-02-18,1956,2,18,233
1956-02-19,1956,2,19,233
1956-02-20,1956,2,20,250
1956-02-21,1956,2,21,222
1956-02-22,1956,2,22,206
1956-02-23,1956,2,23,217
1956-02-24,1956,2,24,228
1956-02-25,1956,2,25,222
1956-02-26,1956,2,26,211
1956-02-27,1956,2,27,217
1956-02-28,1956,2,28,228
1956-02-29,1956,2,29,217
1956-03-01,1956,3,1,222
1956-03-02,1956,3,2,222
1956-03-03,1956,3,3,217
1956-03-04,1956,3,4,244
1956-03-05,1956,3,5,244
1956-03-06,1956,3,6,222
1956-03-07,1956,3,7,228
1956-03-08,1956,3,8,233
1956-03-09,1956,3,9,217
1956-03-10,1956,3,10,222
1956-03-11,1956,3,11,222
1956-03-12,1956,3,12,228
1956-03-13,1956,3,13,222
1956-03-14,1956,3,14,228
1956-03-15,1956,3,15,228
1956-03-16,1956,3,16,206
1956-03-17,1956,3,17,228
1956-03-18,1956,3,18,222
1956-03-19,1956,3,19,217
1956-03-20,1956,3,20,217
1956-03-21,1956,3,21,217
1956-03-22,1956,3,22,222
1956-03-23,1956,3,23,222
1956-03-24,1956,3,24,244
1956-03-25,1956,3,25,244
1956-03-26,1956,3,26,222
1956-03-27,1956,3,27,250
1956-03-28,1956,3,28,250
1956-03-29,1956,3,29,239
1956-03-30,1956,3,30,244
1956-03-31,1956,3,31,233
1956-04-01,1956,4,1,233
1956-04-02,1956,4,2,244
1956-04-03,1956,4,3,256
1956-04-04,1956,4,4,233
1956-04-05,1956,4,5,228
1956-04-06,1956,4,6,233
1956-04-07,1956,4,7,211
1956-04-08,1956,4,8,206
1956-04-09,1956,4,9,211
1956-04-10,1956,4,10,211
1956-04-11,1956,4,11,211
1956-04-12,1956,4,12,228
1956-04-13,1956,4,13,239
1956-04-14,1956,4,14,250
1956-04-15,1956,4,15,250
1956-04-16,1956,4,16,256
1956-04-17,1956,4,17,222
1956-04-18,1956,4,18,222
1956-04-19,1956,4,19,211
1956-04-20,1956,4,20,200
1956-04-21,1956,4,21,228
1956-04-22,1956,4,22,217
1956-04-23,1956,4,23,239
1956-04-24,1956,4,24,222
1956-04-25,1956,4,25,256
1956-04-26,1956,4,26,233
1956-04-27,1956,4,27,250
1956-04-28,1956,4,28,217
1956-04-29,1956,4,29,211
1956-04-30,1956,4,30,211
1956-05-01,1956,5,1,206
1956-05-02,1956,5,2,211
1956-05-03,1956,5,3,194
1956-05-04,1956,5,4,239
1956-05-05,1956,5,5,233
1956-05-06,1956,5,6,228
1956-05-07,1956,5,7,233
1956-05-08,1956,5,8,239
1956-05-09,1956,5,9,222
1956-05-10,1956,5,10,217
1956-05-11,1956,5,11,211
1956-05-12,1956,5,12,206
1956-05-13,1956,5,13,228
1956-05-14,1956,5,14,244
1956-05-15,1956,5,15,244
1956-05-16,1956,5,16,256
1956-05-17,1956,5,17,200
1956-05-18,1956,5,18,189
1956-05-19,1956,5,19,189
1956-05-20,1956,5,20,183
1956-05-21,1956,5,21,222
1956-05-22,1956,5,22,200
1956-05-23,1956,5,23,217
1956-05-24,1956,5,24,206
1956-05-25,1956,5,25,200
1956-05-26,1956,5,26,206
1956-05-27,1956,5,27,211
1956-05-28,1956,5,28,239
1956-05-29,1956,5,29,239
1956-05-30,1956,5,30,250
1956-05-31,1956,5,31,239
1956-06-01,1956,6,1,233
1956-06-02,1956,6,2,244
1956-06-03,1956,6,3,233
1956-06-04,1956,6,4,200
1956-06-05,1956,6,5,194
1956-06-06,1956,6,6,183
1956-06-07,1956,6,7,200
1956-06-08,1956,6,8,239
1956-06-09,1956,6,9,228
1956-06-10,1956,6,10,239
1956-06-11,1956,6,11,194
1956-06-12,1956,6,12,200
1956-06-13,1956,6,13,178
1956-06-14,1956,6,14,211
1956-06-15,1956,6,15,194
1956-06-16,1956,6,16,206
1956-06-17,1956,6,17,211
1956-06-18,1956,6,18,228
1956-06-19,1956,6,19,228
1956-06-20,1956,6,20,139
1956-06-21,1956,6,21,233
1956-06-22,1956,6,22,244
