"date","Year","Month","Day","value"
1965-01-01,1965,1,1,233
1965-01-02,1965,1,2,230
1965-01-03,1965,1,3,231
1965-01-04,1965,1,4,244
1965-01-05,1965,1,5,217
1965-01-06,1965,1,6,236
1965-01-07,1965,1,7,222
1965-01-08,1965,1,8,228
1965-01-09,1965,1,9,236
1965-01-10,1965,1,10,233
1965-01-11,1965,1,11,211
1965-01-12,1965,1,12,217
1965-01-13,1965,1,13,244
1965-01-14,1965,1,14,244
1965-01-15,1965,1,15,239
1965-01-16,1965,1,16,244
1965-01-17,1965,1,17,233
1965-01-18,1965,1,18,239
1965-01-19,1965,1,19,219
1965-01-20,1965,1,20,256
1965-01-21,1965,1,21,222
1965-01-22,1965,1,22,225
1965-01-23,1965,1,23,228
1965-01-24,1965,1,24,228
1965-01-25,1965,1,25,233
1965-01-26,1965,1,26,233
1965-01-27,1965,1,27,233
1965-01-28,1965,1,28,228
1965-01-29,1965,1,29,244
1965-01-30,1965,1,30,261
1965-01-31,1965,1,31,228
1965-02-01,1965,2,1,238
1965-02-02,1965,2,2,233
1965-02-03,1965,2,3,222
1965-02-04,1965,2,4,250
1965-02-05,1965,2,5,250
1965-02-06,1965,2,6,239
1965-02-07,1965,2,7,242
1965-02-08,1965,2,8,239
1965-02-09,1965,2,9,250
1965-02-10,1965,2,10,211
1965-02-11,1965,2,11,244
1965-02-12,1965,2,12,256
1965-02-13,1965,2,13,240
1965-02-14,1965,2,14,219
1965-02-15,1965,2,15,222
1965-02-16,1965,2,16,228
1965-02-17,1965,2,17,239
1965-02-18,1965,2,18,233
1965-02-19,1965,2,19,233
1965-02-20,1965,2,20,250
1965-02-21,1965,2,21,237
1965-02-22,1965,2,22,228
1965-02-23,1965,2,23,256
1965-02-24,1965,2,24,222
1965-02-25,1965,2,25,222
1965-02-26,1965,2,26,194
1965-02-27,1965,2,27,212
1965-02-28,1965,2,28,228
1965-03-01,1965,3,1,222
1965-03-02,1965,3,2,228
1965-03-03,1965,3,3,228
1965-03-04,1965,3,4,233
1965-03-05,1965,3,5,228
1965-03-06,1965,3,6,222
1965-03-07,1965,3,7,253
1965-03-08,1965,3,8,261
1965-03-09,1965,3,9,261
1965-03-10,1965,3,10,261
1965-03-11,1965,3,11,256
1965-03-12,1965,3,12,256
1965-03-13,1965,3,13,239
1965-03-14,1965,3,14,231
1965-03-15,1965,3,15,228
1965-03-16,1965,3,16,239
1965-03-17,1965,3,17,239
1965-03-18,1965,3,18,239
1965-03-19,1965,3,19,244
1965-03-20,1965,3,20,228
1965-03-21,1965,3,21,239
1965-03-22,1965,3,22,239
1965-03-23,1965,3,23,239
1965-03-24,1965,3,24,228
1965-03-25,1965,3,25,239
1965-03-26,1965,3,26,244
1965-03-27,1965,3,27,239
1965-03-28,1965,3,28,239
1965-03-29,1965,3,29,239
1965-03-30,1965,3,30,228
1965-03-31,1965,3,31,222
1965-04-01,1965,4,1,257
1965-04-02,1965,4,2,222
1965-04-03,1965,4,3,225
1965-04-04,1965,4,4,222
1965-04-05,1965,4,5,222
1965-04-06,1965,4,6,222
1965-04-07,1965,4,7,222
1965-04-08,1965,4,8,211
1965-04-09,1965,4,9,222
1965-04-10,1965,4,10,228
1965-04-11,1965,4,11,221
1965-04-12,1965,4,12,228
1965-04-13,1965,4,13,239
1965-04-14,1965,4,14,228
1965-04-15,1965,4,15,228
1965-04-16,1965,4,16,228
1965-04-17,1965,4,17,223
1965-04-18,1965,4,18,217
1965-04-19,1965,4,19,218
1965-04-20,1965,4,20,222
1965-04-21,1965,4,21,194
1965-04-22,1965,4,22,194
1965-04-23,1965,4,23,203
1965-04-24,1965,4,24,192
1965-04-25,1965,4,25,194
1965-04-26,1965,4,26,189
1965-04-27,1965,4,27,189
1965-04-28,1965,4,28,211
1965-04-29,1965,4,29,228
1965-04-30,1965,4,30,233
1965-05-01,1965,5,1,237
1965-05-02,1965,5,2,222
1965-05-03,1965,5,3,217
1965-05-04,1965,5,4,217
1965-05-05,1965,5,5,217
1965-05-06,1965,5,6,228
1965-05-07,1965,5,7,228
1965-05-08,1965,5,8,233
1965-05-09,1965,5,9,211
1965-05-10,1965,5,10,211
1965-05-11,1965,5,11,217
1965-05-12,1965,5,12,217
1965-05-13,1965,5,13,217
1965-05-14,1965,5,14,211
1965-05-15,1965,5,15,210
1965-05-16,1965,5,16,221
1965-05-17,1965,5,17,211
1965-05-18,1965,5,18,194
1965-05-19,1965,5,19,178
1965-05-20,1965,5,20,211
1965-05-21,1965,5,21,228
1965-05-22,1965,5,22,242
1965-05-23,1965,5,23,231
1965-05-24,1965,5,24,233
1965-05-25,1965,5,25,228
1965-05-26,1965,5,26,222
1965-05-27,1965,5,27,200
1965-05-28,1965,5,28,172
1965-05-29,1965,5,29,182
1965-05-30,1965,5,30,173
1965-05-31,1965,5,31,183
1965-06-01,1965,6,1,194
1965-06-02,1965,6,2,183
1965-06-03,1965,6,3,189
1965-06-04,1965,6,4,200
1965-06-05,1965,6,5,198
1965-06-06,1965,6,6,190
1965-06-07,1965,6,7,200
1965-06-08,1965,6,8,189
1965-06-09,1965,6,9,200
1965-06-10,1965,6,10,206
1965-06-11,1965,6,11,217
1965-06-12,1965,6,12,223
1965-06-13,1965,6,13,194
1965-06-14,1965,6,14,190
1965-06-15,1965,6,15,189
1965-06-16,1965,6,16,211
1965-06-17,1965,6,17,228
1965-06-18,1965,6,18,233
1965-06-19,1965,6,19,236
1965-06-20,1965,6,20,207
1965-06-21,1965,6,21,200
1965-06-22,1965,6,22,200
1965-06-23,1965,6,23,211
1965-06-24,1965,6,24,189
1965-06-25,1965,6,25,150
1965-06-26,1965,6,26,144
1965-06-27,1965,6,27,139
1965-06-28,1965,6,28,156
1965-06-29,1965,6,29,172
1965-06-30,1965,6,30,178
1965-07-01,1965,7,1,187
1965-07-02,1965,7,2,172
1965-07-03,1965,7,3,178
1965-07-04,1965,7,4,172
1965-07-05,1965,7,5,206
1965-07-06,1965,7,6,200
1965-07-07,1965,7,7,183
1965-07-08,1965,7,8,172
1965-07-09,1965,7,9,178
1965-07-10,1965,7,10,172
1965-07-11,1965,7,11,160
1965-07-12,1965,7,12,161
1965-07-13,1965,7,13,189
1965-07-14,1965,7,14,161
1965-07-15,1965,7,15,150
1965-07-16,1965,7,16,156
1965-07-17,1965,7,17,161
1965-07-18,1965,7,18,168
1965-07-19,1965,7,19,139
1965-07-20,1965,7,20,122
1965-07-21,1965,7,21,106
1965-07-22,1965,7,22,117
1965-07-23,1965,7,23,133
1965-07-24,1965,7,24,153
1965-07-25,1965,7,25,151
1965-07-26,1965,7,26,150
1965-07-27,1965,7,27,154
1965-07-28,1965,7,28,150
1965-07-29,1965,7,29,156
1965-07-30,1965,7,30,156
1965-07-31,1965,7,31,162
1965-08-01,1965,8,1,167
1965-08-02,1965,8,2,161
1965-08-03,1965,8,3,183
1965-08-04,1965,8,4,178
1965-08-05,1965,8,5,186
1965-08-06,1965,8,6,178
1965-08-07,1965,8,7,156
1965-08-08,1965,8,8,147
1965-08-09,1965,8,9,161
1965-08-10,1965,8,10,172
1965-08-11,1965,8,11,167
1965-08-12,1965,8,12,189
1965-08-13,1965,8,13,172
1965-08-14,1965,8,14,190
1965-08-15,1965,8,15,189
1965-08-16,1965,8,16,206
1965-08-17,1965,8,17,200
1965-08-18,1965,8,18,189
1965-08-19,1965,8,19,189
1965-08-20,1965,8,20,161
1965-08-21,1965,8,21,199
1965-08-22,1965,8,22,181
1965-08-23,1965,8,23,189
1965-08-24,1965,8,24,200
1965-08-25,1965,8,25,183
1965-08-26,1965,8,26,200
1965-08-27,1965,8,27,206
1965-08-28,1965,8,28,225
1965-08-29,1965,8,29,186
1965-08-30,1965,8,30,189
1965-08-31,1965,8,31,194
1965-09-01,1965,9,1,194
1965-09-02,1965,9,2,200
1965-09-03,1965,9,3,206
1965-09-04,1965,9,4,206
1965-09-05,1965,9,5,198
1965-09-06,1965,9,6,197
1965-09-07,1965,9,7,206
1965-09-08,1965,9,8,217
1965-09-09,1965,9,9,194
1965-09-10,1965,9,10,200
1965-09-11,1965,9,11,211
1965-09-12,1965,9,12,232
1965-09-13,1965,9,13,222
1965-09-14,1965,9,14,211
1965-09-15,1965,9,15,206
1965-09-16,1965,9,16,206
1965-09-17,1965,9,17,200
1965-09-18,1965,9,18,214
1965-09-19,1965,9,19,206
1965-09-20,1965,9,20,206
1965-09-21,1965,9,21,206
1965-09-22,1965,9,22,217
1965-09-23,1965,9,23,211
1965-09-24,1965,9,24,211
1965-09-25,1965,9,25,231
1965-09-26,1965,9,26,217
1965-09-27,1965,9,27,206
1965-09-28,1965,9,28,206
1965-09-29,1965,9,29,217
1965-09-30,1965,9,30,211
1965-10-01,1965,10,1,211
1965-10-02,1965,10,2,207
1965-10-03,1965,10,3,211
1965-10-04,1965,10,4,206
1965-10-05,1965,10,5,211
1965-10-06,1965,10,6,217
1965-10-07,1965,10,7,222
1965-10-08,1965,10,8,261
1965-10-09,1965,10,9,227
1965-10-10,1965,10,10,227
1965-10-11,1965,10,11,228
1965-10-12,1965,10,12,217
1965-10-13,1965,10,13,217
1965-10-14,1965,10,14,222
1965-10-15,1965,10,15,233
1965-10-16,1965,10,16,216
1965-10-17,1965,10,17,227
1965-10-18,1965,10,18,228
1965-10-19,1965,10,19,228
1965-10-20,1965,10,20,244
1965-10-21,1965,10,21,217
1965-10-22,1965,10,22,228
1965-10-23,1965,10,23,229
1965-10-24,1965,10,24,222
1965-10-25,1965,10,25,228
1965-10-26,1965,10,26,233
1965-10-27,1965,10,27,233
1965-10-28,1965,10,28,211
1965-10-29,1965,10,29,228
1965-10-30,1965,10,30,228
1965-10-31,1965,10,31,229
1965-11-01,1965,11,1,256
1965-11-02,1965,11,2,244
1965-11-03,1965,11,3,222
1965-11-04,1965,11,4,256
1965-11-05,1965,11,5,228
1965-11-06,1965,11,6,253
1965-11-07,1965,11,7,241
1965-11-08,1965,11,8,244
1965-11-09,1965,11,9,239
1965-11-10,1965,11,10,250
1965-11-11,1965,11,11,222
1965-11-12,1965,11,12,250
1965-11-13,1965,11,13,250
1965-11-14,1965,11,14,222
1965-11-15,1965,11,15,233
1965-11-16,1965,11,16,244
1965-11-17,1965,11,17,250
1965-11-18,1965,11,18,256
1965-11-19,1965,11,19,244
1965-11-20,1965,11,20,228
1965-11-21,1965,11,21,236
1965-11-22,1965,11,22,211
1965-11-23,1965,11,23,233
1965-11-24,1965,11,24,256
1965-11-25,1965,11,25,244
1965-11-26,1965,11,26,250
1965-11-27,1965,11,27,236
1965-11-28,1965,11,28,237
1965-11-29,1965,11,29,244
1965-11-30,1965,11,30,233
1965-12-01,1965,12,1,250
1965-12-02,1965,12,2,256
1965-12-03,1965,12,3,261
1965-12-04,1965,12,4,244
1965-12-05,1965,12,5,242
1965-12-06,1965,12,6,244
1965-12-07,1965,12,7,233
1965-12-08,1965,12,8,228
1965-12-09,1965,12,9,250
1965-12-10,1965,12,10,244
1965-12-11,1965,12,11,246
1965-12-12,1965,12,12,247
1965-12-13,1965,12,13,244
1965-12-14,1965,12,14,244
1965-12-15,1965,12,15,254
1965-12-16,1965,12,16,246
1965-12-17,1965,12,17,239
1965-12-18,1965,12,18,233
1965-12-19,1965,12,19,239
1965-12-20,1965,12,20,239
