"date","Year","Month","Day","value"
1971-11-01,1971,11,1,21
1971-11-02,1971,11,2,-9
1971-11-03,1971,11,3,31
1971-11-04,1971,11,4,51
1971-11-05,1971,11,5,31
1971-11-06,1971,11,6,-19
1971-11-07,1971,11,7,1
1971-11-08,1971,11,8,31
1971-11-09,1971,11,9,31
1971-11-10,1971,11,10,11
1971-11-11,1971,11,11,51
1971-11-12,1971,11,12,-9
1971-11-13,1971,11,13,21
1971-11-14,1971,11,14,-9
1971-11-15,1971,11,15,1
1971-11-16,1971,11,16,31
1971-11-17,1971,11,17,-19
1971-11-18,1971,11,18,101
1971-11-19,1971,11,19,31
1971-11-20,1971,11,20,11
1971-11-21,1971,11,21,31
1971-11-22,1971,11,22,31
1971-11-23,1971,11,23,31
1971-11-24,1971,11,24,56
1971-11-25,1971,11,25,39
1971-11-26,1971,11,26,39
1971-11-27,1971,11,27,50
1971-11-28,1971,11,28,44
1971-11-29,1971,11,29,22
1971-11-30,1971,11,30,-9
1971-12-01,1971,12,1,0
1971-12-02,1971,12,2,-22
1971-12-03,1971,12,3,-39
1971-12-04,1971,12,4,-67
1971-12-05,1971,12,5,6
1971-12-06,1971,12,6,-56
1971-12-07,1971,12,7,11
1971-12-08,1971,12,8,6
1971-12-09,1971,12,9,6
1971-12-10,1971,12,10,-33
1971-12-11,1971,12,11,6
1971-12-12,1971,12,12,-67
1971-12-13,1971,12,13,-72
1971-12-14,1971,12,14,6
1971-12-15,1971,12,15,-6
1971-12-16,1971,12,16,6
1971-12-17,1971,12,17,-44
1971-12-18,1971,12,18,-22
1971-12-19,1971,12,19,0
1971-12-20,1971,12,20,-44
1971-12-21,1971,12,21,-56
1971-12-22,1971,12,22,-67
1971-12-23,1971,12,23,-89
1971-12-24,1971,12,24,-72
1971-12-25,1971,12,25,-56
1971-12-26,1971,12,26,-61
1971-12-27,1971,12,27,-17
1971-12-28,1971,12,28,17
1971-12-29,1971,12,29,0
1971-12-30,1971,12,30,6
1971-12-31,1971,12,31,6
1972-01-01,1972,1,1,6
1972-01-02,1972,1,2,-33
1972-01-03,1972,1,3,-17
1972-01-04,1972,1,4,6
1972-01-05,1972,1,5,6
1972-01-06,1972,1,6,-11
1972-01-07,1972,1,7,-11
1972-01-08,1972,1,8,6
1972-01-09,1972,1,9,-33
1972-01-10,1972,1,10,-50
1972-01-11,1972,1,11,-33
1972-01-12,1972,1,12,-61
1972-01-13,1972,1,13,-67
1972-01-14,1972,1,14,-44
1972-01-15,1972,1,15,-28
1972-01-16,1972,1,16,-33
1972-01-17,1972,1,17,-50
1972-01-18,1972,1,18,-39
1972-01-19,1972,1,19,-89
1972-01-20,1972,1,20,-72
1972-01-21,1972,1,21,-61
1972-01-22,1972,1,22,-72
1972-01-23,1972,1,23,-72
1972-01-24,1972,1,24,-94
1972-01-25,1972,1,25,-78
1972-01-26,1972,1,26,-78
1972-01-27,1972,1,27,-78
1972-01-28,1972,1,28,-17
1972-01-29,1972,1,29,-33
1972-01-30,1972,1,30,0
1972-01-31,1972,1,31,0
1972-02-01,1972,2,1,-78
1972-02-02,1972,2,2,-72
1972-02-03,1972,2,3,-50
1972-02-04,1972,2,4,17
1972-02-05,1972,2,5,11
1972-02-06,1972,2,6,17
1972-02-07,1972,2,7,-11
1972-02-08,1972,2,8,-22
1972-02-09,1972,2,9,28
1972-02-10,1972,2,10,-22
1972-02-11,1972,2,11,6
1972-02-12,1972,2,12,17
1972-02-13,1972,2,13,-11
1972-02-14,1972,2,14,-6
1972-02-15,1972,2,15,0
1972-02-16,1972,2,16,-44
1972-02-17,1972,2,17,-33
1972-02-18,1972,2,18,-39
1972-02-19,1972,2,19,-11
1972-02-20,1972,2,20,-22
1972-02-21,1972,2,21,6
1972-02-22,1972,2,22,0
1972-02-23,1972,2,23,-11
1972-02-24,1972,2,24,-56
1972-02-25,1972,2,25,-50
1972-02-26,1972,2,26,-78
1972-02-27,1972,2,27,-72
1972-02-28,1972,2,28,-72
1972-02-29,1972,2,29,-67
1972-03-01,1972,3,1,-22
1972-03-02,1972,3,2,-22
1972-03-03,1972,3,3,-22
1972-03-04,1972,3,4,-44
1972-03-05,1972,3,5,-22
1972-03-06,1972,3,6,-39
1972-03-07,1972,3,7,-61
1972-03-08,1972,3,8,-67
