"date","Year","Month","Day","value"
1961-09-01,1961,9,1,106
1961-09-02,1961,9,2,90
1961-09-03,1961,9,3,30
1961-09-04,1961,9,4,100
1961-09-05,1961,9,5,100
1961-09-06,1961,9,6,100
1961-09-07,1961,9,7,89
1961-09-08,1961,9,8,89
1961-09-09,1961,9,9,89
1961-09-10,1961,9,10,70
1961-09-11,1961,9,11,78
1961-09-12,1961,9,12,83
1961-09-13,1961,9,13,89
1961-09-14,1961,9,14,94
1961-09-15,1961,9,15,122
1961-09-16,1961,9,16,100
1961-09-17,1961,9,17,80
1961-09-18,1961,9,18,89
1961-09-19,1961,9,19,100
1961-09-20,1961,9,20,89
1961-09-21,1961,9,21,50
1961-09-22,1961,9,22,61
1961-09-23,1961,9,23,61
1961-09-24,1961,9,24,120
1961-09-25,1961,9,25,78
1961-09-26,1961,9,26,39
1961-09-27,1961,9,27,67
1961-09-28,1961,9,28,61
1961-09-29,1961,9,29,22
1961-09-30,1961,9,30,80
1961-10-01,1961,10,1,70
1961-10-02,1961,10,2,70
1961-10-03,1961,10,3,0
1961-10-04,1961,10,4,20
1961-10-05,1961,10,5,90
1961-10-06,1961,10,6,10
1961-10-07,1961,10,7,50
1961-10-08,1961,10,8,70
1961-10-09,1961,10,9,40
1961-10-10,1961,10,10,80
1961-10-11,1961,10,11,80
1961-10-12,1961,10,12,80
1961-10-13,1961,10,13,60
1961-10-14,1961,10,14,60
1961-10-15,1961,10,15,30
1961-10-16,1961,10,16,60
1961-10-17,1961,10,17,50
1961-10-18,1961,10,18,100
1961-10-19,1961,10,19,60
1961-10-20,1961,10,20,100
1961-10-21,1961,10,21,70
1961-10-22,1961,10,22,80
1961-10-23,1961,10,23,30
1961-10-24,1961,10,24,30
1961-10-25,1961,10,25,70
1961-10-26,1961,10,26,50
1961-10-27,1961,10,27,60
1961-10-28,1961,10,28,70
1961-10-29,1961,10,29,50
1961-10-30,1961,10,30,50
1961-10-31,1961,10,31,50
1961-11-01,1961,11,1,17
1961-11-02,1961,11,2,-6
1961-11-03,1961,11,3,0
1961-11-04,1961,11,4,26
1961-11-05,1961,11,5,16
1961-11-06,1961,11,6,-6
1961-11-07,1961,11,7,6
1961-11-08,1961,11,8,39
1961-11-09,1961,11,9,56
1961-11-10,1961,11,10,17
1961-11-11,1961,11,11,-24
1961-11-12,1961,11,12,6
1961-11-13,1961,11,13,6
1961-11-14,1961,11,14,28
1961-11-15,1961,11,15,0
1961-11-16,1961,11,16,-11
1961-11-17,1961,11,17,0
1961-11-18,1961,11,18,6
