"date","Year","Month","Day","value"
1973-01-01,1973,1,1,55.462
1973-01-02,1973,1,2,51.969
1973-01-03,1973,1,3,62.886
1973-01-04,1973,1,4,46.291
1973-01-05,1973,1,5,34.937
1973-01-06,1973,1,6,41.051
1973-01-07,1973,1,7,36.684
1973-01-08,1973,1,8,32.317
1973-01-09,1973,1,9,60.266
1973-01-10,1973,1,10,39.304
1973-01-11,1973,1,11,42.798
1973-01-12,1973,1,12,47.601
1973-01-13,1973,1,13,28.823
1973-01-14,1973,1,14,48.038
1973-01-15,1973,1,15,69.437
1973-01-16,1973,1,16,69.437
1973-01-17,1973,1,17,54.589
1973-01-18,1973,1,18,54.589
1973-01-19,1973,1,19,77.734
1973-01-20,1973,1,20,78.608
1973-01-21,1973,1,21,69.874
1973-01-22,1973,1,22,50.658
1973-01-23,1973,1,23,42.361
1973-01-24,1973,1,24,50
1973-01-25,1973,1,25,70
1973-01-26,1973,1,26,90
1973-01-27,1973,1,27,47.601
1973-01-28,1973,1,28,44.544
1973-01-29,1973,1,29,88.215
1973-01-30,1973,1,30,86.469
1973-01-31,1973,1,31,61.576
1973-02-01,1973,2,1,69
1973-02-02,1973,2,2,54.152
1973-02-03,1973,2,3,41.924
1973-02-04,1973,2,4,62.013
1973-02-05,1973,2,5,43.671
1973-02-06,1973,2,6,72.931
1973-02-07,1973,2,7,79.481
1973-02-08,1973,2,8,51.095
1973-02-09,1973,2,9,30.57
1973-02-10,1973,2,10,75.988
1973-02-11,1973,2,11,67.69
1973-02-12,1973,2,12,20.962
1973-02-13,1973,2,13,25.766
1973-02-14,1973,2,14,64.633
1973-02-15,1973,2,15,56.772
1973-02-16,1973,2,16,72.057
1973-02-17,1973,2,17,52.842
1973-02-18,1973,2,18,46.728
1973-02-19,1973,2,19,60.703
1973-02-20,1973,2,20,56.336
1973-02-21,1973,2,21,66.38
1973-02-22,1973,2,22,31.443
1973-02-23,1973,2,23,35.81
1973-02-24,1973,2,24,45.855
1973-02-25,1973,2,25,45.855
1973-02-26,1973,2,26,59.393
1973-02-27,1973,2,27,42.361
1973-02-28,1973,2,28,47.601
1973-03-01,1973,3,1,46.291
1973-03-02,1973,3,2,67.253
1973-03-03,1973,3,3,46.728
1973-03-04,1973,3,4,46.291
1973-03-05,1973,3,5,49.785
1973-03-06,1973,3,6,71.62
1973-03-07,1973,3,7,58.519
1973-03-08,1973,3,8,49.785
1973-03-09,1973,3,9,62.013
1973-03-10,1973,3,10,69.874
1973-03-11,1973,3,11,48.912
1973-03-12,1973,3,12,62.886
1973-03-13,1973,3,13,52.405
1973-03-14,1973,3,14,10
1973-03-15,1973,3,15,46.291
1973-03-16,1973,3,16,44.108
