"date","Year","Month","Day","value"
1954-10-01,1954,10,1,136
1954-10-02,1954,10,2,127
1954-10-03,1954,10,3,106
1954-10-04,1954,10,4,78
1954-10-05,1954,10,5,119
1954-10-06,1954,10,6,58
1954-10-07,1954,10,7,67
1954-10-08,1954,10,8,95
1954-10-09,1954,10,9,95
1954-10-10,1954,10,10,59
1954-10-11,1954,10,11,67
1954-10-12,1954,10,12,83
1954-10-13,1954,10,13,134
1954-10-14,1954,10,14,81
1954-10-15,1954,10,15,84
1954-10-16,1954,10,16,127
1954-10-17,1954,10,17,129
1954-10-18,1954,10,18,157
1954-10-19,1954,10,19,113
1954-10-20,1954,10,20,92
1954-10-21,1954,10,21,60
1954-10-22,1954,10,22,84
1954-10-23,1954,10,23,83
1954-10-24,1954,10,24,34
1954-10-25,1954,10,25,6
1954-10-26,1954,10,26,-4
1954-10-27,1954,10,27,73
1954-10-28,1954,10,28,109
1954-10-29,1954,10,29,104
1954-10-30,1954,10,30,42
1954-10-31,1954,10,31,51
1954-11-01,1954,11,1,38
1954-11-02,1954,11,2,33
1954-11-03,1954,11,3,51
1954-11-04,1954,11,4,62
1954-11-05,1954,11,5,24
1954-11-06,1954,11,6,17
1954-11-07,1954,11,7,-44
1954-11-08,1954,11,8,-8
1954-11-09,1954,11,9,7
1954-11-10,1954,11,10,30
1954-11-11,1954,11,11,52
1954-11-12,1954,11,12,45
1954-11-13,1954,11,13,22
1954-11-14,1954,11,14,46
1954-11-15,1954,11,15,47
1954-11-16,1954,11,16,47
1954-11-17,1954,11,17,-17
1954-11-18,1954,11,18,50
1954-11-19,1954,11,19,64
1954-11-20,1954,11,20,68
1954-11-21,1954,11,21,21
1954-11-22,1954,11,22,21
1954-11-23,1954,11,23,-26
1954-11-24,1954,11,24,-18
1954-11-25,1954,11,25,7
1954-11-26,1954,11,26,8
1954-11-27,1954,11,27,35
1954-11-28,1954,11,28,39
1954-11-29,1954,11,29,17
1954-11-30,1954,11,30,36
1954-12-01,1954,12,1,58
1954-12-02,1954,12,2,66
1954-12-03,1954,12,3,88
1954-12-04,1954,12,4,66
1954-12-05,1954,12,5,44
1954-12-06,1954,12,6,32
1954-12-07,1954,12,7,30
1954-12-08,1954,12,8,0
1954-12-09,1954,12,9,2
1954-12-10,1954,12,10,-10
1954-12-11,1954,12,11,-11
1954-12-12,1954,12,12,17
1954-12-13,1954,12,13,23
1954-12-14,1954,12,14,63
1954-12-15,1954,12,15,38
1954-12-16,1954,12,16,28
1954-12-17,1954,12,17,23
1954-12-18,1954,12,18,38
1954-12-19,1954,12,19,84
1954-12-20,1954,12,20,59
1954-12-21,1954,12,21,44
1954-12-22,1954,12,22,77
1954-12-23,1954,12,23,73
1954-12-24,1954,12,24,38
1954-12-25,1954,12,25,69
1954-12-26,1954,12,26,78
1954-12-27,1954,12,27,66
1954-12-28,1954,12,28,71
1954-12-29,1954,12,29,80
1954-12-30,1954,12,30,59
1954-12-31,1954,12,31,73
1955-01-01,1955,1,1,54
1955-01-02,1955,1,2,23
1955-01-03,1955,1,3,22
1955-01-04,1955,1,4,24
1955-01-05,1955,1,5,4
1955-01-06,1955,1,6,23
1955-01-07,1955,1,7,34
1955-01-08,1955,1,8,-9
1955-01-09,1955,1,9,4
1955-01-10,1955,1,10,39
1955-01-11,1955,1,11,-16
1955-01-12,1955,1,12,-44
1955-01-13,1955,1,13,-52
1955-01-14,1955,1,14,-67
1955-01-15,1955,1,15,-62
1955-01-16,1955,1,16,-5
1955-01-17,1955,1,17,-54
1955-01-18,1955,1,18,-67
1955-01-19,1955,1,19,-66
1955-01-20,1955,1,20,-51
1955-01-21,1955,1,21,39
1955-01-22,1955,1,22,73
1955-01-23,1955,1,23,-34
1955-01-24,1955,1,24,-11
1955-01-25,1955,1,25,78
1955-01-26,1955,1,26,32
1955-01-27,1955,1,27,34
1955-01-28,1955,1,28,49
1955-01-29,1955,1,29,68
1955-01-30,1955,1,30,64
1955-01-31,1955,1,31,46
1955-02-01,1955,2,1,14
1955-02-02,1955,2,2,6
1955-02-03,1955,2,3,13
1955-02-04,1955,2,4,-7
1955-02-05,1955,2,5,-1
1955-02-06,1955,2,6,-28
1955-02-07,1955,2,7,-21
1955-02-08,1955,2,8,56
1955-02-09,1955,2,9,59
1955-02-10,1955,2,10,-12
1955-02-11,1955,2,11,-51
1955-02-12,1955,2,12,-41
1955-02-13,1955,2,13,-35
1955-02-14,1955,2,14,-26
1955-02-15,1955,2,15,-17
1955-02-16,1955,2,16,-14
1955-02-17,1955,2,17,-31
1955-02-18,1955,2,18,-66
1955-02-19,1955,2,19,-53
1955-02-20,1955,2,20,-22
1955-02-21,1955,2,21,-53
1955-02-22,1955,2,22,-44
1955-02-23,1955,2,23,-67
1955-02-24,1955,2,24,-48
1955-02-25,1955,2,25,-14
1955-02-26,1955,2,26,-1
1955-02-27,1955,2,27,4
1955-02-28,1955,2,28,16
1955-03-01,1955,3,1,66
1955-03-02,1955,3,2,-27
1955-03-03,1955,3,3,-16
1955-03-04,1955,3,4,-40
1955-03-05,1955,3,5,-7
1955-03-06,1955,3,6,-36
1955-03-07,1955,3,7,-12
1955-03-08,1955,3,8,-2
1955-03-09,1955,3,9,-29
1955-03-10,1955,3,10,-34
1955-03-11,1955,3,11,-46
1955-03-12,1955,3,12,-16
1955-03-13,1955,3,13,-22
1955-03-14,1955,3,14,-25
1955-03-15,1955,3,15,-35
1955-03-16,1955,3,16,-24
1955-03-17,1955,3,17,-1
1955-03-18,1955,3,18,-4
1955-03-19,1955,3,19,-9
1955-03-20,1955,3,20,-28
1955-03-21,1955,3,21,-32
1955-03-22,1955,3,22,-24
1955-03-23,1955,3,23,33
1955-03-24,1955,3,24,44
1955-03-25,1955,3,25,20
1955-03-26,1955,3,26,3
1955-03-27,1955,3,27,-26
1955-03-28,1955,3,28,-38
1955-03-29,1955,3,29,-28
1955-03-30,1955,3,30,-21
