"date","Year","Month","Day","value"
1961-01-01,1961,1,1,22
1961-01-02,1961,1,2,22
1961-01-03,1961,1,3,-5
1961-01-04,1961,1,4,11
1961-01-05,1961,1,5,-22
1961-01-06,1961,1,6,22
1961-01-07,1961,1,7,-11
1961-01-08,1961,1,8,27
1961-01-09,1961,1,9,11
1961-01-10,1961,1,10,50
1961-01-11,1961,1,11,-27
1961-01-12,1961,1,12,-16
1961-01-13,1961,1,13,55
1961-01-14,1961,1,14,-16
1961-01-15,1961,1,15,-11
1961-01-16,1961,1,16,5
1961-01-17,1961,1,17,27
1961-01-18,1961,1,18,66
1961-01-19,1961,1,19,33
1961-01-20,1961,1,20,-11
1961-01-21,1961,1,21,22
1961-01-22,1961,1,22,61
1961-01-23,1961,1,23,50
1961-01-24,1961,1,24,50
1961-01-25,1961,1,25,5
1961-01-26,1961,1,26,5
1961-01-27,1961,1,27,55
1961-01-28,1961,1,28,27
1961-01-29,1961,1,29,33
1961-01-30,1961,1,30,55
1961-01-31,1961,1,31,22
1961-02-01,1961,2,1,22
1961-02-02,1961,2,2,33
1961-02-03,1961,2,3,11
1961-02-04,1961,2,4,11
1961-02-05,1961,2,5,66
1961-02-06,1961,2,6,22
1961-02-07,1961,2,7,33
1961-02-08,1961,2,8,38
1961-02-09,1961,2,9,66
1961-02-10,1961,2,10,72
1961-02-11,1961,2,11,61
1961-02-12,1961,2,12,83
1961-02-13,1961,2,13,83
1961-02-14,1961,2,14,88
1961-02-15,1961,2,15,38
1961-02-16,1961,2,16,61
1961-02-17,1961,2,17,72
1961-02-18,1961,2,18,77
1961-02-19,1961,2,19,61
1961-02-20,1961,2,20,72
1961-02-21,1961,2,21,61
1961-02-22,1961,2,22,61
1961-02-23,1961,2,23,55
1961-02-24,1961,2,24,55
1961-02-25,1961,2,25,50
1961-02-26,1961,2,26,44
1961-02-27,1961,2,27,33
1961-02-28,1961,2,28,27
1961-03-01,1961,3,1,50
1961-03-02,1961,3,2,72
1961-03-03,1961,3,3,55
1961-03-04,1961,3,4,77
1961-03-05,1961,3,5,55
1961-03-06,1961,3,6,72
1961-03-07,1961,3,7,77
1961-03-08,1961,3,8,83
1961-03-09,1961,3,9,66
1961-03-10,1961,3,10,50
1961-03-11,1961,3,11,50
1961-03-12,1961,3,12,83
1961-03-13,1961,3,13,88
1961-03-14,1961,3,14,66
1961-03-15,1961,3,15,77
1961-03-16,1961,3,16,61
1961-03-17,1961,3,17,50
1961-03-18,1961,3,18,33
1961-03-19,1961,3,19,5
1961-03-20,1961,3,20,16
1961-03-21,1961,3,21,27
1961-03-22,1961,3,22,22
1961-03-23,1961,3,23,61
1961-03-24,1961,3,24,61
1961-03-25,1961,3,25,22
1961-03-26,1961,3,26,77
1961-03-27,1961,3,27,0
1961-03-28,1961,3,28,-5
1961-03-29,1961,3,29,38
1961-03-30,1961,3,30,100
1961-03-31,1961,3,31,66
1961-04-01,1961,4,1,83
1961-04-02,1961,4,2,83
1961-04-03,1961,4,3,27
1961-04-04,1961,4,4,38
1961-04-05,1961,4,5,66
1961-04-06,1961,4,6,83
1961-04-07,1961,4,7,38
1961-04-08,1961,4,8,44
1961-04-09,1961,4,9,83
1961-04-10,1961,4,10,88
1961-04-11,1961,4,11,38
1961-04-12,1961,4,12,88
1961-04-13,1961,4,13,83
1961-04-14,1961,4,14,55
1961-04-15,1961,4,15,44
1961-04-16,1961,4,16,33
1961-04-17,1961,4,17,22
1961-04-18,1961,4,18,61
1961-04-19,1961,4,19,72
1961-04-20,1961,4,20,66
1961-04-21,1961,4,21,77
1961-04-22,1961,4,22,83
1961-04-23,1961,4,23,72
1961-04-24,1961,4,24,38
1961-04-25,1961,4,25,72
1961-04-26,1961,4,26,66
1961-04-27,1961,4,27,44
1961-04-28,1961,4,28,88
1961-04-29,1961,4,29,66
1961-04-30,1961,4,30,88
1961-05-01,1961,5,1,83
1961-05-02,1961,5,2,61
1961-05-03,1961,5,3,72
1961-05-04,1961,5,4,100
1961-05-05,1961,5,5,61
1961-05-06,1961,5,6,83
1961-05-07,1961,5,7,61
1961-05-08,1961,5,8,72
1961-05-09,1961,5,9,38
1961-05-10,1961,5,10,55
1961-05-11,1961,5,11,66
1961-05-12,1961,5,12,38
1961-05-13,1961,5,13,94
1961-05-14,1961,5,14,72
1961-05-15,1961,5,15,66
1961-05-16,1961,5,16,83
1961-05-17,1961,5,17,77
1961-05-18,1961,5,18,44
1961-05-19,1961,5,19,55
1961-05-20,1961,5,20,88
1961-05-21,1961,5,21,66
1961-05-22,1961,5,22,44
1961-05-23,1961,5,23,72
1961-05-24,1961,5,24,88
1961-05-25,1961,5,25,94
1961-05-26,1961,5,26,38
1961-05-27,1961,5,27,11
1961-05-28,1961,5,28,38
1961-05-29,1961,5,29,83
1961-05-30,1961,5,30,83
1961-05-31,1961,5,31,88
1961-06-01,1961,6,1,61
1961-06-02,1961,6,2,94
1961-06-03,1961,6,3,105
1961-06-04,1961,6,4,88
1961-06-05,1961,6,5,111
1961-06-06,1961,6,6,105
1961-06-07,1961,6,7,88
1961-06-08,1961,6,8,72
1961-06-09,1961,6,9,55
1961-06-10,1961,6,10,100
1961-06-11,1961,6,11,105
1961-06-12,1961,6,12,100
1961-06-13,1961,6,13,61
1961-06-14,1961,6,14,77
1961-06-15,1961,6,15,116
1961-06-16,1961,6,16,77
1961-06-17,1961,6,17,133
1961-06-18,1961,6,18,88
1961-06-19,1961,6,19,77
1961-06-20,1961,6,20,72
1961-06-21,1961,6,21,105
1961-06-22,1961,6,22,122
1961-06-23,1961,6,23,122
1961-06-24,1961,6,24,100
1961-06-25,1961,6,25,100
1961-06-26,1961,6,26,122
1961-06-27,1961,6,27,66
1961-06-28,1961,6,28,83
1961-06-29,1961,6,29,100
1961-06-30,1961,6,30,122
1961-07-01,1961,7,1,150
1961-07-02,1961,7,2,122
1961-07-03,1961,7,3,105
1961-07-04,1961,7,4,100
1961-07-05,1961,7,5,66
1961-07-06,1961,7,6,100
1961-07-07,1961,7,7,116
1961-07-08,1961,7,8,144
1961-07-09,1961,7,9,127
1961-07-10,1961,7,10,138
1961-07-11,1961,7,11,133
1961-07-12,1961,7,12,138
1961-07-13,1961,7,13,88
1961-07-14,1961,7,14,94
1961-07-15,1961,7,15,77
1961-07-16,1961,7,16,111
1961-07-17,1961,7,17,111
1961-07-18,1961,7,18,77
1961-07-19,1961,7,19,105
1961-07-20,1961,7,20,83
1961-07-21,1961,7,21,111
1961-07-22,1961,7,22,116
1961-07-23,1961,7,23,116
1961-07-24,1961,7,24,122
1961-07-25,1961,7,25,100
1961-07-26,1961,7,26,133
1961-07-27,1961,7,27,116
1961-07-28,1961,7,28,100
1961-07-29,1961,7,29,100
1961-07-30,1961,7,30,72
1961-07-31,1961,7,31,122
1961-08-01,1961,8,1,100
1961-08-02,1961,8,2,100
1961-08-03,1961,8,3,88
1961-08-04,1961,8,4,138
1961-08-05,1961,8,5,88
1961-08-06,1961,8,6,105
1961-08-07,1961,8,7,72
1961-08-08,1961,8,8,94
1961-08-09,1961,8,9,83
1961-08-10,1961,8,10,77
1961-08-11,1961,8,11,94
1961-08-12,1961,8,12,83
1961-08-13,1961,8,13,100
1961-08-14,1961,8,14,127
1961-08-15,1961,8,15,127
1961-08-16,1961,8,16,127
1961-08-17,1961,8,17,127
1961-08-18,1961,8,18,127
1961-08-19,1961,8,19,116
1961-08-20,1961,8,20,83
1961-08-21,1961,8,21,127
1961-08-22,1961,8,22,122
1961-08-23,1961,8,23,100
1961-08-24,1961,8,24,111
1961-08-25,1961,8,25,116
1961-08-26,1961,8,26,111
1961-08-27,1961,8,27,100
1961-08-28,1961,8,28,138
1961-08-29,1961,8,29,144
1961-08-30,1961,8,30,83
1961-08-31,1961,8,31,55
1961-09-01,1961,9,1,111
1961-09-02,1961,9,2,155
1961-09-03,1961,9,3,138
1961-09-04,1961,9,4,133
1961-09-05,1961,9,5,94
1961-09-06,1961,9,6,88
1961-09-07,1961,9,7,83
1961-09-08,1961,9,8,77
1961-09-09,1961,9,9,105
1961-09-10,1961,9,10,127
1961-09-11,1961,9,11,88
1961-09-12,1961,9,12,83
1961-09-13,1961,9,13,116
1961-09-14,1961,9,14,94
1961-09-15,1961,9,15,138
1961-09-16,1961,9,16,127
1961-09-17,1961,9,17,88
1961-09-18,1961,9,18,50
1961-09-19,1961,9,19,105
1961-09-20,1961,9,20,111
1961-09-21,1961,9,21,127
1961-09-22,1961,9,22,77
1961-09-23,1961,9,23,133
1961-09-24,1961,9,24,61
1961-09-25,1961,9,25,55
1961-09-26,1961,9,26,116
1961-09-27,1961,9,27,72
1961-09-28,1961,9,28,94
1961-09-29,1961,9,29,83
1961-09-30,1961,9,30,66
1961-10-01,1961,10,1,94
1961-10-02,1961,10,2,105
1961-10-03,1961,10,3,111
1961-10-04,1961,10,4,27
1961-10-05,1961,10,5,38
1961-10-06,1961,10,6,72
1961-10-07,1961,10,7,55
1961-10-08,1961,10,8,77
1961-10-09,1961,10,9,66
1961-10-10,1961,10,10,94
1961-10-11,1961,10,11,77
1961-10-12,1961,10,12,50
1961-10-13,1961,10,13,88
1961-10-14,1961,10,14,83
1961-10-15,1961,10,15,105
1961-10-16,1961,10,16,72
1961-10-17,1961,10,17,83
