"date","Year","Month","Day","value"
1966-08-01,1966,8,1,192
1966-08-02,1966,8,2,223
1966-08-03,1966,8,3,173
1966-08-04,1966,8,4,213
1966-08-05,1966,8,5,183
1966-08-06,1966,8,6,206
1966-08-07,1966,8,7,198
1966-08-08,1966,8,8,220
1966-08-09,1966,8,9,176
1966-08-10,1966,8,10,210
1966-08-11,1966,8,11,180
1966-08-12,1966,8,12,192
1966-08-13,1966,8,13,221
1966-08-14,1966,8,14,200
1966-08-15,1966,8,15,193
1966-08-16,1966,8,16,226
1966-08-17,1966,8,17,212
1966-08-18,1966,8,18,210
1966-08-19,1966,8,19,199
1966-08-20,1966,8,20,183
1966-08-21,1966,8,21,192
1966-08-22,1966,8,22,201
1966-08-23,1966,8,23,212
1966-08-24,1966,8,24,172
1966-08-25,1966,8,25,192
1966-08-26,1966,8,26,220
1966-08-27,1966,8,27,250
1966-08-28,1966,8,28,260
1966-08-29,1966,8,29,230
1966-08-30,1966,8,30,250
1966-08-31,1966,8,31,250
1966-09-01,1966,9,1,230
1966-09-02,1966,9,2,240
1966-09-03,1966,9,3,220
1966-09-04,1966,9,4,230
1966-09-05,1966,9,5,230
1966-09-06,1966,9,6,240
1966-09-07,1966,9,7,240
1966-09-08,1966,9,8,230
1966-09-09,1966,9,9,230
1966-09-10,1966,9,10,250
1966-09-11,1966,9,11,236
1966-09-12,1966,9,12,230
1966-09-13,1966,9,13,240
1966-09-14,1966,9,14,220
1966-09-15,1966,9,15,230
1966-09-16,1966,9,16,230
1966-09-17,1966,9,17,236
1966-09-18,1966,9,18,220
1966-09-19,1966,9,19,250
1966-09-20,1966,9,20,226
1966-09-21,1966,9,21,240
1966-09-22,1966,9,22,230
1966-09-23,1966,9,23,236
1966-09-24,1966,9,24,230
1966-09-25,1966,9,25,240
1966-09-26,1966,9,26,230
1966-09-27,1966,9,27,250
1966-09-28,1966,9,28,240
1966-09-29,1966,9,29,230
1966-09-30,1966,9,30,240
1966-10-01,1966,10,1,230
1966-10-02,1966,10,2,240
1966-10-03,1966,10,3,240
1966-10-04,1966,10,4,230
1966-10-05,1966,10,5,240
1966-10-06,1966,10,6,230
1966-10-07,1966,10,7,220
1966-10-08,1966,10,8,240
1966-10-09,1966,10,9,230
1966-10-10,1966,10,10,230
1966-10-11,1966,10,11,250
1966-10-12,1966,10,12,240
1966-10-13,1966,10,13,240
1966-10-14,1966,10,14,220
1966-10-15,1966,10,15,230
1966-10-16,1966,10,16,240
1966-10-17,1966,10,17,240
1966-10-18,1966,10,18,250
1966-10-19,1966,10,19,220
1966-10-20,1966,10,20,200
1966-10-21,1966,10,21,230
1966-10-22,1966,10,22,230
1966-10-23,1966,10,23,246
1966-10-24,1966,10,24,230
1966-10-25,1966,10,25,236
1966-10-26,1966,10,26,240
1966-10-27,1966,10,27,226
1966-10-28,1966,10,28,204
1966-10-29,1966,10,29,213
1966-10-30,1966,10,30,210
1966-10-31,1966,10,31,204
1966-11-01,1966,11,1,206
1966-11-02,1966,11,2,213
1966-11-03,1966,11,3,224
1966-11-04,1966,11,4,210
1966-11-05,1966,11,5,220
1966-11-06,1966,11,6,210
1966-11-07,1966,11,7,210
1966-11-08,1966,11,8,213
1966-11-09,1966,11,9,220
1966-11-10,1966,11,10,200
1966-11-11,1966,11,11,186
1966-11-12,1966,11,12,193
1966-11-13,1966,11,13,214
1966-11-14,1966,11,14,224
1966-11-15,1966,11,15,216
1966-11-16,1966,11,16,214
1966-11-17,1966,11,17,214
1966-11-18,1966,11,18,218
1966-11-19,1966,11,19,204
1966-11-20,1966,11,20,204
1966-11-21,1966,11,21,185
1966-11-22,1966,11,22,176
1966-11-23,1966,11,23,178
1966-11-24,1966,11,24,194
1966-11-25,1966,11,25,180
1966-11-26,1966,11,26,180
1966-11-27,1966,11,27,190
1966-11-28,1966,11,28,198
1966-11-29,1966,11,29,172
1966-11-30,1966,11,30,144
1966-12-01,1966,12,1,178
1966-12-02,1966,12,2,190
1966-12-03,1966,12,3,185
1966-12-04,1966,12,4,184
1966-12-05,1966,12,5,188
1966-12-06,1966,12,6,220
1966-12-07,1966,12,7,200
1966-12-08,1966,12,8,172
1966-12-09,1966,12,9,160
1966-12-10,1966,12,10,140
1966-12-11,1966,12,11,133.365
1966-12-12,1966,12,12,144.962
1966-12-13,1966,12,13,169
1966-12-14,1966,12,14,130
1966-12-15,1966,12,15,160
1966-12-16,1966,12,16,165
1966-12-17,1966,12,17,222
1966-12-18,1966,12,18,184
1966-12-19,1966,12,19,189
1966-12-20,1966,12,20,198
1966-12-21,1966,12,21,180
1966-12-22,1966,12,22,205
1966-12-23,1966,12,23,199
1966-12-24,1966,12,24,188
1966-12-25,1966,12,25,175
