"date","Year","Month","Day","value"
1951-01-01,1951,1,1,-10
1951-01-02,1951,1,2,-30
1951-01-03,1951,1,3,0
1951-01-04,1951,1,4,20
1951-01-05,1951,1,5,10
1951-01-06,1951,1,6,-40
1951-01-07,1951,1,7,10
1951-01-08,1951,1,8,-30
1951-01-09,1951,1,9,-20
1951-01-10,1951,1,10,-40
1951-01-11,1951,1,11,-60
1951-01-12,1951,1,12,-60
1951-01-13,1951,1,13,-30
1951-01-14,1951,1,14,-40
1951-01-15,1951,1,15,-30
1951-01-16,1951,1,16,-50
1951-01-17,1951,1,17,-10
1951-01-18,1951,1,18,-40
1951-01-19,1951,1,19,0
1951-01-20,1951,1,20,-10
1951-01-21,1951,1,21,-30
1951-01-22,1951,1,22,-50
1951-01-23,1951,1,23,-10
1951-01-24,1951,1,24,-20
1951-01-25,1951,1,25,-40
1951-01-26,1951,1,26,-40
1951-01-27,1951,1,27,-70
1951-01-28,1951,1,28,-80
1951-01-29,1951,1,29,-80
1951-01-30,1951,1,30,-40
1951-01-31,1951,1,31,-50
1951-02-01,1951,2,1,-80
1951-02-02,1951,2,2,-40
1951-02-03,1951,2,3,-20
1951-02-04,1951,2,4,-10
1951-02-05,1951,2,5,10
1951-02-06,1951,2,6,-30
1951-02-07,1951,2,7,-30
1951-02-08,1951,2,8,-40
1951-02-09,1951,2,9,-80
1951-02-10,1951,2,10,-90
1951-02-11,1951,2,11,-20
1951-02-12,1951,2,12,-70
1951-02-13,1951,2,13,-150
1951-02-14,1951,2,14,-150
1951-02-15,1951,2,15,-160
1951-02-16,1951,2,16,-150
1951-02-17,1951,2,17,-140
1951-02-18,1951,2,18,-120
1951-02-19,1951,2,19,-10
1951-02-20,1951,2,20,0
1951-02-21,1951,2,21,-10
1951-02-22,1951,2,22,-20
1951-02-23,1951,2,23,-20
1951-02-24,1951,2,24,-30
1951-02-25,1951,2,25,-20
1951-02-26,1951,2,26,-10
1951-02-27,1951,2,27,-30
1951-02-28,1951,2,28,-30
1951-03-01,1951,3,1,-30
1951-03-02,1951,3,2,-30
1951-03-03,1951,3,3,-20
1951-03-04,1951,3,4,30
1951-03-05,1951,3,5,-30
1951-03-06,1951,3,6,-20
1951-03-07,1951,3,7,10
1951-03-08,1951,3,8,-30
1951-03-09,1951,3,9,-30
1951-03-10,1951,3,10,0
1951-03-11,1951,3,11,40
1951-03-12,1951,3,12,40
1951-03-13,1951,3,13,0
1951-03-14,1951,3,14,-20
1951-03-15,1951,3,15,-40
1951-03-16,1951,3,16,-10
1951-03-17,1951,3,17,-30
1951-03-18,1951,3,18,-20
1951-03-19,1951,3,19,-30
1951-03-20,1951,3,20,-10
1951-03-21,1951,3,21,0
1951-03-22,1951,3,22,0
1951-03-23,1951,3,23,-20
1951-03-24,1951,3,24,0
1951-03-25,1951,3,25,-20
1951-03-26,1951,3,26,10
1951-03-27,1951,3,27,-10
1951-03-28,1951,3,28,20
1951-03-29,1951,3,29,-10
1951-03-30,1951,3,30,0
1951-03-31,1951,3,31,-10
1951-04-01,1951,4,1,0
1951-04-02,1951,4,2,0
1951-04-03,1951,4,3,20
1951-04-04,1951,4,4,-10
1951-04-05,1951,4,5,-40
1951-04-06,1951,4,6,0
1951-04-07,1951,4,7,50
1951-04-08,1951,4,8,70
1951-04-09,1951,4,9,50
1951-04-10,1951,4,10,80
1951-04-11,1951,4,11,10
1951-04-12,1951,4,12,20
1951-04-13,1951,4,13,20
1951-04-14,1951,4,14,60
1951-04-15,1951,4,15,30
1951-04-16,1951,4,16,40
1951-04-17,1951,4,17,40
1951-04-18,1951,4,18,70
1951-04-19,1951,4,19,130
1951-04-20,1951,4,20,90
1951-04-21,1951,4,21,30
1951-04-22,1951,4,22,30
1951-04-23,1951,4,23,40
1951-04-24,1951,4,24,60
1951-04-25,1951,4,25,50
1951-04-26,1951,4,26,80
1951-04-27,1951,4,27,40
1951-04-28,1951,4,28,30
1951-04-29,1951,4,29,50
1951-04-30,1951,4,30,30
1951-05-01,1951,5,1,50
1951-05-02,1951,5,2,110
1951-05-03,1951,5,3,40
1951-05-04,1951,5,4,50
1951-05-05,1951,5,5,30
1951-05-06,1951,5,6,70
1951-05-07,1951,5,7,40
1951-05-08,1951,5,8,80
1951-05-09,1951,5,9,50
1951-05-10,1951,5,10,50
1951-05-11,1951,5,11,30
1951-05-12,1951,5,12,30
1951-05-13,1951,5,13,50
1951-05-14,1951,5,14,70
1951-05-15,1951,5,15,110
1951-05-16,1951,5,16,130
1951-05-17,1951,5,17,60
1951-05-18,1951,5,18,60
1951-05-19,1951,5,19,150
1951-05-20,1951,5,20,80
1951-05-21,1951,5,21,40
1951-05-22,1951,5,22,50
1951-05-23,1951,5,23,70
1951-05-24,1951,5,24,70
1951-05-25,1951,5,25,100
1951-05-26,1951,5,26,80
1951-05-27,1951,5,27,70
1951-05-28,1951,5,28,60
1951-05-29,1951,5,29,40
1951-05-30,1951,5,30,160
1951-05-31,1951,5,31,160
1951-06-01,1951,6,1,110
1951-06-02,1951,6,2,120
1951-06-03,1951,6,3,130
1951-06-04,1951,6,4,80
1951-06-05,1951,6,5,140
1951-06-06,1951,6,6,190
1951-06-07,1951,6,7,80
1951-06-08,1951,6,8,90
1951-06-09,1951,6,9,110
1951-06-10,1951,6,10,100
1951-06-11,1951,6,11,60
1951-06-12,1951,6,12,80
1951-06-13,1951,6,13,130
1951-06-14,1951,6,14,140
1951-06-15,1951,6,15,70
1951-06-16,1951,6,16,90
1951-06-17,1951,6,17,90
1951-06-18,1951,6,18,70
1951-06-19,1951,6,19,120
1951-06-20,1951,6,20,90
1951-06-21,1951,6,21,120
1951-06-22,1951,6,22,100
1951-06-23,1951,6,23,100
1951-06-24,1951,6,24,120
1951-06-25,1951,6,25,130
1951-06-26,1951,6,26,140
1951-06-27,1951,6,27,130
1951-06-28,1951,6,28,120
1951-06-29,1951,6,29,130
1951-06-30,1951,6,30,160
1951-07-01,1951,7,1,180
1951-07-02,1951,7,2,140
1951-07-03,1951,7,3,140
1951-07-04,1951,7,4,160
1951-07-05,1951,7,5,150
1951-07-06,1951,7,6,160
1951-07-07,1951,7,7,150
1951-07-08,1951,7,8,160
1951-07-09,1951,7,9,110
1951-07-10,1951,7,10,160
1951-07-11,1951,7,11,160
1951-07-12,1951,7,12,160
1951-07-13,1951,7,13,180
1951-07-14,1951,7,14,190
1951-07-15,1951,7,15,160
