"date","Year","Month","Day","value"
1967-03-01,1967,3,1,103.083
1967-03-02,1967,3,2,52
1967-03-03,1967,3,3,82
1967-03-04,1967,3,4,80
1967-03-05,1967,3,5,72
1967-03-06,1967,3,6,79
1967-03-07,1967,3,7,64
1967-03-08,1967,3,8,48
1967-03-09,1967,3,9,47
1967-03-10,1967,3,10,40
1967-03-11,1967,3,11,74
1967-03-12,1967,3,12,112
1967-03-13,1967,3,13,72
1967-03-14,1967,3,14,94
1967-03-15,1967,3,15,77
1967-03-16,1967,3,16,102
1967-03-17,1967,3,17,72
1967-03-18,1967,3,18,66
1967-03-19,1967,3,19,53
1967-03-20,1967,3,20,69
1967-03-21,1967,3,21,130
1967-03-22,1967,3,22,100
1967-03-23,1967,3,23,85
1967-03-24,1967,3,24,84
1967-03-25,1967,3,25,90
1967-03-26,1967,3,26,52
1967-03-27,1967,3,27,73
1967-03-28,1967,3,28,80
1967-03-29,1967,3,29,80
1967-03-30,1967,3,30,95
1967-03-31,1967,3,31,70
1967-04-01,1967,4,1,74
1967-04-02,1967,4,2,102
1967-04-03,1967,4,3,140
1967-04-04,1967,4,4,105
1967-04-05,1967,4,5,89
1967-04-06,1967,4,6,75
1967-04-07,1967,4,7,90
1967-04-08,1967,4,8,88
1967-04-09,1967,4,9,94
1967-04-10,1967,4,10,108
1967-04-11,1967,4,11,125
1967-04-12,1967,4,12,120
1967-04-13,1967,4,13,120
1967-04-14,1967,4,14,110
1967-04-15,1967,4,15,120
1967-04-16,1967,4,16,150
1967-04-17,1967,4,17,122
1967-04-18,1967,4,18,139
1967-04-19,1967,4,19,98
1967-04-20,1967,4,20,164
1967-04-21,1967,4,21,120
1967-04-22,1967,4,22,96
1967-04-23,1967,4,23,166
1967-04-24,1967,4,24,132
1967-04-25,1967,4,25,106
1967-04-26,1967,4,26,102
1967-04-27,1967,4,27,90
1967-04-28,1967,4,28,110
1967-04-29,1967,4,29,106
1967-04-30,1967,4,30,110
1967-05-01,1967,5,1,170
1967-05-02,1967,5,2,166
1967-05-03,1967,5,3,146
1967-05-04,1967,5,4,113
1967-05-05,1967,5,5,128
1967-05-06,1967,5,6,154
1967-05-07,1967,5,7,132
1967-05-08,1967,5,8,126
1967-05-09,1967,5,9,128
1967-05-10,1967,5,10,127
1967-05-11,1967,5,11,144
1967-05-12,1967,5,12,139
1967-05-13,1967,5,13,140
1967-05-14,1967,5,14,143
1967-05-15,1967,5,15,142
1967-05-16,1967,5,16,163
1967-05-17,1967,5,17,147
1967-05-18,1967,5,18,125
1967-05-19,1967,5,19,140
1967-05-20,1967,5,20,152
1967-05-21,1967,5,21,230
1967-05-22,1967,5,22,188
1967-05-23,1967,5,23,178
1967-05-24,1967,5,24,136
1967-05-25,1967,5,25,140
1967-05-26,1967,5,26,120
1967-05-27,1967,5,27,145
1967-05-28,1967,5,28,150
1967-05-29,1967,5,29,164
1967-05-30,1967,5,30,170
1967-05-31,1967,5,31,167
1967-06-01,1967,6,1,144
1967-06-02,1967,6,2,197
