"date","Year","Month","Day","value"
1946-12-01,1946,12,1,-88
1946-12-02,1946,12,2,-85
1946-12-03,1946,12,3,-58
1946-12-04,1946,12,4,-68
1946-12-05,1946,12,5,-54
1946-12-06,1946,12,6,-103
1946-12-07,1946,12,7,-139
1946-12-08,1946,12,8,-95
1946-12-09,1946,12,9,-102
1946-12-10,1946,12,10,-165
1946-12-11,1946,12,11,-206
1946-12-12,1946,12,12,-221
1946-12-13,1946,12,13,-249
1946-12-14,1946,12,14,-239
1946-12-15,1946,12,15,-202
1946-12-16,1946,12,16,-180
1946-12-17,1946,12,17,-193
1946-12-18,1946,12,18,-201
1946-12-19,1946,12,19,-275
1946-12-20,1946,12,20,-241
1946-12-21,1946,12,21,-226
1946-12-22,1946,12,22,-78
1946-12-23,1946,12,23,-40
1946-12-24,1946,12,24,-54
1946-12-25,1946,12,25,-90
1946-12-26,1946,12,26,-145
1946-12-27,1946,12,27,-88
1946-12-28,1946,12,28,-186
1946-12-29,1946,12,29,-80
1946-12-30,1946,12,30,-113
1946-12-31,1946,12,31,-102
1947-01-01,1947,1,1,-137
1947-01-02,1947,1,2,-153
1947-01-03,1947,1,3,-124
1947-01-04,1947,1,4,-62
1947-01-05,1947,1,5,-80
1947-01-06,1947,1,6,-85
1947-01-07,1947,1,7,-97
1947-01-08,1947,1,8,-85
1947-01-09,1947,1,9,-110
1947-01-10,1947,1,10,-125
1947-01-11,1947,1,11,-190
1947-01-12,1947,1,12,-158
1947-01-13,1947,1,13,-205
1947-01-14,1947,1,14,-178
1947-01-15,1947,1,15,-116
1947-01-16,1947,1,16,-130
1947-01-17,1947,1,17,-126
1947-01-18,1947,1,18,-107
1947-01-19,1947,1,19,-72
1947-01-20,1947,1,20,-107
1947-01-21,1947,1,21,-105
1947-01-22,1947,1,22,-100
1947-01-23,1947,1,23,-76
1947-01-24,1947,1,24,-35
1947-01-25,1947,1,25,-59
1947-01-26,1947,1,26,-120
1947-01-27,1947,1,27,-134
1947-01-28,1947,1,28,-134
1947-01-29,1947,1,29,-10
1947-01-30,1947,1,30,-107
1947-01-31,1947,1,31,-148
1947-02-01,1947,2,1,-138
1947-02-02,1947,2,2,-155
1947-02-03,1947,2,3,-145
1947-02-04,1947,2,4,-143
1947-02-05,1947,2,5,-152
1947-02-06,1947,2,6,-213
1947-02-07,1947,2,7,-205
1947-02-08,1947,2,8,-194
1947-02-09,1947,2,9,-128
1947-02-10,1947,2,10,-125
1947-02-11,1947,2,11,-124
1947-02-12,1947,2,12,-160
1947-02-13,1947,2,13,-217
1947-02-14,1947,2,14,-167
1947-02-15,1947,2,15,-118
1947-02-16,1947,2,16,-130
1947-02-17,1947,2,17,-106
1947-02-18,1947,2,18,-65
1947-02-19,1947,2,19,-93
1947-02-20,1947,2,20,-140
1947-02-21,1947,2,21,-61
1947-02-22,1947,2,22,-54
1947-02-23,1947,2,23,-11
1947-02-24,1947,2,24,-16
1947-02-25,1947,2,25,-40
1947-02-26,1947,2,26,-31
1947-02-27,1947,2,27,-47
1947-02-28,1947,2,28,-16
1947-03-01,1947,3,1,-80
1947-03-02,1947,3,2,-16
1947-03-03,1947,3,3,-14
1947-03-04,1947,3,4,-9
1947-03-05,1947,3,5,-11
1947-03-06,1947,3,6,-16
1947-03-07,1947,3,7,-57
1947-03-08,1947,3,8,-11
1947-03-09,1947,3,9,-9
1947-03-10,1947,3,10,-4
1947-03-11,1947,3,11,29
1947-03-12,1947,3,12,-12
1947-03-13,1947,3,13,-26
1947-03-14,1947,3,14,-14
1947-03-15,1947,3,15,-34
1947-03-16,1947,3,16,-37
1947-03-17,1947,3,17,-25
1947-03-18,1947,3,18,1
1947-03-19,1947,3,19,-2
1947-03-20,1947,3,20,-26
1947-03-21,1947,3,21,21
1947-03-22,1947,3,22,-12
1947-03-23,1947,3,23,33
1947-03-24,1947,3,24,24
1947-03-25,1947,3,25,46
1947-03-26,1947,3,26,77
1947-03-27,1947,3,27,-4
1947-03-28,1947,3,28,34
1947-03-29,1947,3,29,-11
1947-03-30,1947,3,30,25
1947-03-31,1947,3,31,28
1947-04-01,1947,4,1,13
1947-04-02,1947,4,2,19
1947-04-03,1947,4,3,36
1947-04-04,1947,4,4,14
1947-04-05,1947,4,5,50
1947-04-06,1947,4,6,43
1947-04-07,1947,4,7,73
1947-04-08,1947,4,8,-17
1947-04-09,1947,4,9,76
1947-04-10,1947,4,10,52
1947-04-11,1947,4,11,63
1947-04-12,1947,4,12,25
1947-04-13,1947,4,13,43
1947-04-14,1947,4,14,4
1947-04-15,1947,4,15,40
1947-04-16,1947,4,16,37
1947-04-17,1947,4,17,41
1947-04-18,1947,4,18,50
1947-04-19,1947,4,19,29
1947-04-20,1947,4,20,47
1947-04-21,1947,4,21,7
1947-04-22,1947,4,22,-4
1947-04-23,1947,4,23,63
1947-04-24,1947,4,24,13
1947-04-25,1947,4,25,15
1947-04-26,1947,4,26,25
1947-04-27,1947,4,27,33
1947-04-28,1947,4,28,96
1947-04-29,1947,4,29,95
1947-04-30,1947,4,30,88
1947-05-01,1947,5,1,83
1947-05-02,1947,5,2,70
1947-05-03,1947,5,3,72
1947-05-04,1947,5,4,70
1947-05-05,1947,5,5,67
1947-05-06,1947,5,6,67
1947-05-07,1947,5,7,58
1947-05-08,1947,5,8,5
1947-05-09,1947,5,9,-12
1947-05-10,1947,5,10,22
1947-05-11,1947,5,11,36
1947-05-12,1947,5,12,96
1947-05-13,1947,5,13,59
1947-05-14,1947,5,14,104
1947-05-15,1947,5,15,40
1947-05-16,1947,5,16,24
1947-05-17,1947,5,17,45
1947-05-18,1947,5,18,55
1947-05-19,1947,5,19,97
1947-05-20,1947,5,20,94
1947-05-21,1947,5,21,210
1947-05-22,1947,5,22,161
1947-05-23,1947,5,23,158
1947-05-24,1947,5,24,102
1947-05-25,1947,5,25,124
1947-05-26,1947,5,26,118
1947-05-27,1947,5,27,84
1947-05-28,1947,5,28,112
1947-05-29,1947,5,29,125
1947-05-30,1947,5,30,140
