"date","Year","Month","Day","value"
1957-09-01,1957,9,1,225
1957-09-02,1957,9,2,230
1957-09-03,1957,9,3,230
1957-09-04,1957,9,4,230
1957-09-05,1957,9,5,235
1957-09-06,1957,9,6,240
1957-09-07,1957,9,7,240
1957-09-08,1957,9,8,235
1957-09-09,1957,9,9,240
1957-09-10,1957,9,10,240
1957-09-11,1957,9,11,220
1957-09-12,1957,9,12,235
1957-09-13,1957,9,13,205
1957-09-14,1957,9,14,230
1957-09-15,1957,9,15,220
1957-09-16,1957,9,16,240
1957-09-17,1957,9,17,225
1957-09-18,1957,9,18,230
1957-09-19,1957,9,19,225
1957-09-20,1957,9,20,235
1957-09-21,1957,9,21,230
1957-09-22,1957,9,22,230
1957-09-23,1957,9,23,230
1957-09-24,1957,9,24,220
1957-09-25,1957,9,25,220
1957-09-26,1957,9,26,230
1957-09-27,1957,9,27,220
1957-09-28,1957,9,28,220
1957-09-29,1957,9,29,210
1957-09-30,1957,9,30,205
1957-10-01,1957,10,1,215
1957-10-02,1957,10,2,210
1957-10-03,1957,10,3,200
1957-10-04,1957,10,4,200
1957-10-05,1957,10,5,210
1957-10-06,1957,10,6,210
1957-10-07,1957,10,7,220
1957-10-08,1957,10,8,215
1957-10-09,1957,10,9,230
1957-10-10,1957,10,10,220
1957-10-11,1957,10,11,220
1957-10-12,1957,10,12,210
1957-10-13,1957,10,13,210
1957-10-14,1957,10,14,210
1957-10-15,1957,10,15,230
1957-10-16,1957,10,16,235
1957-10-17,1957,10,17,240
1957-10-18,1957,10,18,220
1957-10-19,1957,10,19,210
1957-10-20,1957,10,20,200
1957-10-21,1957,10,21,215
1957-10-22,1957,10,22,225
1957-10-23,1957,10,23,230
1957-10-24,1957,10,24,230
1957-10-25,1957,10,25,210
1957-10-26,1957,10,26,200
1957-10-27,1957,10,27,200
1957-10-28,1957,10,28,180
1957-10-29,1957,10,29,180
1957-10-30,1957,10,30,185
1957-10-31,1957,10,31,190
1957-11-01,1957,11,1,185
1957-11-02,1957,11,2,200
1957-11-03,1957,11,3,225
1957-11-04,1957,11,4,215
1957-11-05,1957,11,5,200
1957-11-06,1957,11,6,190
1957-11-07,1957,11,7,180
1957-11-08,1957,11,8,195
1957-11-09,1957,11,9,200
1957-11-10,1957,11,10,200
1957-11-11,1957,11,11,210
1957-11-12,1957,11,12,210
1957-11-13,1957,11,13,210
1957-11-14,1957,11,14,190
1957-11-15,1957,11,15,190
1957-11-16,1957,11,16,220
1957-11-17,1957,11,17,230
1957-11-18,1957,11,18,220
1957-11-19,1957,11,19,230
1957-11-20,1957,11,20,210
1957-11-21,1957,11,21,215
1957-11-22,1957,11,22,215
1957-11-23,1957,11,23,180
1957-11-24,1957,11,24,170
1957-11-25,1957,11,25,170
1957-11-26,1957,11,26,170
1957-11-27,1957,11,27,170
1957-11-28,1957,11,28,180
1957-11-29,1957,11,29,200
1957-11-30,1957,11,30,200
1957-12-01,1957,12,1,140
1957-12-02,1957,12,2,150
1957-12-03,1957,12,3,160
1957-12-04,1957,12,4,190
1957-12-05,1957,12,5,145
1957-12-06,1957,12,6,160
1957-12-07,1957,12,7,170
1957-12-08,1957,12,8,190
