"date","Year","Month","Day","value"
1966-01-01,1966,1,1,182.892
1966-01-02,1966,1,2,178
1966-01-03,1966,1,3,178
1966-01-04,1966,1,4,183
1966-01-05,1966,1,5,194
1966-01-06,1966,1,6,172
1966-01-07,1966,1,7,178
1966-01-08,1966,1,8,161
1966-01-09,1966,1,9,156
1966-01-10,1966,1,10,150
1966-01-11,1966,1,11,156
1966-01-12,1966,1,12,161
1966-01-13,1966,1,13,156
1966-01-14,1966,1,14,156
1966-01-15,1966,1,15,133
1966-01-16,1966,1,16,150
1966-01-17,1966,1,17,133
1966-01-18,1966,1,18,161
1966-01-19,1966,1,19,194
1966-01-20,1966,1,20,200
1966-01-21,1966,1,21,200
1966-01-22,1966,1,22,178
1966-01-23,1966,1,23,172
1966-01-24,1966,1,24,161
1966-01-25,1966,1,25,161
1966-01-26,1966,1,26,161
1966-01-27,1966,1,27,150
1966-01-28,1966,1,28,161
1966-01-29,1966,1,29,172
1966-01-30,1966,1,30,178
1966-01-31,1966,1,31,183
1966-02-01,1966,2,1,130.008
1966-02-02,1966,2,2,144
1966-02-03,1966,2,3,172
1966-02-04,1966,2,4,150
1966-02-05,1966,2,5,139
1966-02-06,1966,2,6,156
1966-02-07,1966,2,7,156
1966-02-08,1966,2,8,167
1966-02-09,1966,2,9,167
1966-02-10,1966,2,10,172
1966-02-11,1966,2,11,189
1966-02-12,1966,2,12,183
1966-02-13,1966,2,13,161
1966-02-14,1966,2,14,172
1966-02-15,1966,2,15,183
1966-02-16,1966,2,16,189
1966-02-17,1966,2,17,183
1966-02-18,1966,2,18,189
1966-02-19,1966,2,19,217
1966-02-20,1966,2,20,222
1966-02-21,1966,2,21,194
1966-02-22,1966,2,22,200
1966-02-23,1966,2,23,194
1966-02-24,1966,2,24,200
1966-02-25,1966,2,25,217
1966-02-26,1966,2,26,142.127
1966-02-27,1966,2,27,183
1966-02-28,1966,2,28,183
1966-03-01,1966,3,1,183
1966-03-02,1966,3,2,189
1966-03-03,1966,3,3,139
