"date","Year","Month","Day","value"
1948-02-01,1948,2,1,100
1948-02-02,1948,2,2,100
1948-02-03,1948,2,3,100
1948-02-04,1948,2,4,100
1948-02-05,1948,2,5,120
1948-02-06,1948,2,6,110
1948-02-07,1948,2,7,80
1948-02-08,1948,2,8,70
1948-02-09,1948,2,9,90
1948-02-10,1948,2,10,50
1948-02-11,1948,2,11,130
1948-02-12,1948,2,12,90
1948-02-13,1948,2,13,100
1948-02-14,1948,2,14,100
1948-02-15,1948,2,15,90
1948-02-16,1948,2,16,90
1948-02-17,1948,2,17,90
1948-02-18,1948,2,18,100
1948-02-19,1948,2,19,60
1948-02-20,1948,2,20,110
1948-02-21,1948,2,21,100
1948-02-22,1948,2,22,80
1948-02-23,1948,2,23,110
1948-02-24,1948,2,24,100
1948-02-25,1948,2,25,90
1948-02-26,1948,2,26,80
1948-02-27,1948,2,27,90
1948-02-28,1948,2,28,80
1948-02-29,1948,2,29,83
1948-03-01,1948,3,1,100
1948-03-02,1948,3,2,90
1948-03-03,1948,3,3,60
1948-03-04,1948,3,4,70
1948-03-05,1948,3,5,100
1948-03-06,1948,3,6,100
1948-03-07,1948,3,7,100
1948-03-08,1948,3,8,90
1948-03-09,1948,3,9,70
1948-03-10,1948,3,10,80
1948-03-11,1948,3,11,70
1948-03-12,1948,3,12,90
1948-03-13,1948,3,13,90
1948-03-14,1948,3,14,90
1948-03-15,1948,3,15,80
1948-03-16,1948,3,16,60
1948-03-17,1948,3,17,90
1948-03-18,1948,3,18,90
1948-03-19,1948,3,19,80
1948-03-20,1948,3,20,80
1948-03-21,1948,3,21,80
1948-03-22,1948,3,22,90
1948-03-23,1948,3,23,60
1948-03-24,1948,3,24,80
1948-03-25,1948,3,25,100
1948-03-26,1948,3,26,70
1948-03-27,1948,3,27,100
1948-03-28,1948,3,28,80
1948-03-29,1948,3,29,80
1948-03-30,1948,3,30,70
1948-03-31,1948,3,31,100
1948-04-01,1948,4,1,70
1948-04-02,1948,4,2,80
1948-04-03,1948,4,3,100
1948-04-04,1948,4,4,90
1948-04-05,1948,4,5,90
1948-04-06,1948,4,6,80
1948-04-07,1948,4,7,90
1948-04-08,1948,4,8,100
1948-04-09,1948,4,9,80
1948-04-10,1948,4,10,70
1948-04-11,1948,4,11,90
1948-04-12,1948,4,12,70
1948-04-13,1948,4,13,90
1948-04-14,1948,4,14,90
1948-04-15,1948,4,15,80
1948-04-16,1948,4,16,90
1948-04-17,1948,4,17,80
1948-04-18,1948,4,18,90
1948-04-19,1948,4,19,60
1948-04-20,1948,4,20,100
1948-04-21,1948,4,21,100
1948-04-22,1948,4,22,50
1948-04-23,1948,4,23,70
1948-04-24,1948,4,24,90
1948-04-25,1948,4,25,60
1948-04-26,1948,4,26,70
1948-04-27,1948,4,27,110
1948-04-28,1948,4,28,60
1948-04-29,1948,4,29,70
1948-04-30,1948,4,30,50
1948-05-01,1948,5,1,60
1948-05-02,1948,5,2,100
1948-05-03,1948,5,3,50
1948-05-04,1948,5,4,60
1948-05-05,1948,5,5,60
1948-05-06,1948,5,6,50
1948-05-07,1948,5,7,70
1948-05-08,1948,5,8,40
1948-05-09,1948,5,9,70
1948-05-10,1948,5,10,60
1948-05-11,1948,5,11,40
1948-05-12,1948,5,12,80
1948-05-13,1948,5,13,90
1948-05-14,1948,5,14,70
1948-05-15,1948,5,15,90
1948-05-16,1948,5,16,90
1948-05-17,1948,5,17,60
1948-05-18,1948,5,18,90
1948-05-19,1948,5,19,50
1948-05-20,1948,5,20,50
1948-05-21,1948,5,21,60
1948-05-22,1948,5,22,40
1948-05-23,1948,5,23,80
1948-05-24,1948,5,24,70
1948-05-25,1948,5,25,60
1948-05-26,1948,5,26,70
1948-05-27,1948,5,27,50
1948-05-28,1948,5,28,80
1948-05-29,1948,5,29,80
1948-05-30,1948,5,30,100
1948-05-31,1948,5,31,70
1948-06-01,1948,6,1,59
1948-06-02,1948,6,2,39
1948-06-03,1948,6,3,69
1948-06-04,1948,6,4,19
1948-06-05,1948,6,5,59
1948-06-06,1948,6,6,89
1948-06-07,1948,6,7,79
1948-06-08,1948,6,8,69
1948-06-09,1948,6,9,49
1948-06-10,1948,6,10,69
1948-06-11,1948,6,11,89
1948-06-12,1948,6,12,69
1948-06-13,1948,6,13,109
1948-06-14,1948,6,14,9
1948-06-15,1948,6,15,69
1948-06-16,1948,6,16,79
1948-06-17,1948,6,17,69
1948-06-18,1948,6,18,59
1948-06-19,1948,6,19,39
1948-06-20,1948,6,20,69
1948-06-21,1948,6,21,59
1948-06-22,1948,6,22,59
1948-06-23,1948,6,23,59
1948-06-24,1948,6,24,39
1948-06-25,1948,6,25,79
1948-06-26,1948,6,26,79
1948-06-27,1948,6,27,59
1948-06-28,1948,6,28,19
1948-06-29,1948,6,29,79
1948-06-30,1948,6,30,79
1948-07-01,1948,7,1,83
1948-07-02,1948,7,2,43
1948-07-03,1948,7,3,33
1948-07-04,1948,7,4,63
1948-07-05,1948,7,5,53
1948-07-06,1948,7,6,63
1948-07-07,1948,7,7,63
1948-07-08,1948,7,8,23
1948-07-09,1948,7,9,43
1948-07-10,1948,7,10,83
1948-07-11,1948,7,11,73
1948-07-12,1948,7,12,43
1948-07-13,1948,7,13,63
1948-07-14,1948,7,14,43
1948-07-15,1948,7,15,53
1948-07-16,1948,7,16,73
1948-07-17,1948,7,17,53
