"date","Year","Month","Day","value"
1968-01-01,1968,1,1,240
1968-01-02,1968,1,2,239
1968-01-03,1968,1,3,231
1968-01-04,1968,1,4,249
1968-01-05,1968,1,5,243
1968-01-06,1968,1,6,243
1968-01-07,1968,1,7,241
1968-01-08,1968,1,8,237
1968-01-09,1968,1,9,256
1968-01-10,1968,1,10,243
1968-01-11,1968,1,11,247
1968-01-12,1968,1,12,252
1968-01-13,1968,1,13,237
1968-01-14,1968,1,14,246
1968-01-15,1968,1,15,245
1968-01-16,1968,1,16,242
1968-01-17,1968,1,17,257
1968-01-18,1968,1,18,244
1968-01-19,1968,1,19,243
1968-01-20,1968,1,20,233
1968-01-21,1968,1,21,253
1968-01-22,1968,1,22,251
1968-01-23,1968,1,23,248
1968-01-24,1968,1,24,241
1968-01-25,1968,1,25,246
1968-01-26,1968,1,26,241
1968-01-27,1968,1,27,224
1968-01-28,1968,1,28,237
1968-01-29,1968,1,29,240
1968-01-30,1968,1,30,237
1968-01-31,1968,1,31,240
1968-02-01,1968,2,1,232
1968-02-02,1968,2,2,228
1968-02-03,1968,2,3,244
1968-02-04,1968,2,4,236
1968-02-05,1968,2,5,239
1968-02-06,1968,2,6,233
1968-02-07,1968,2,7,236
1968-02-08,1968,2,8,233
1968-02-09,1968,2,9,233
1968-02-10,1968,2,10,243
1968-02-11,1968,2,11,236
1968-02-12,1968,2,12,235
1968-02-13,1968,2,13,243
1968-02-14,1968,2,14,223
1968-02-15,1968,2,15,246
1968-02-16,1968,2,16,242
1968-02-17,1968,2,17,243
1968-02-18,1968,2,18,238
1968-02-19,1968,2,19,245
1968-02-20,1968,2,20,258
1968-02-21,1968,2,21,264
1968-02-22,1968,2,22,217
1968-02-23,1968,2,23,244
1968-02-24,1968,2,24,237
1968-02-25,1968,2,25,239
1968-02-26,1968,2,26,225
1968-02-27,1968,2,27,263
1968-02-28,1968,2,28,233
1968-02-29,1968,2,29,228
1968-03-01,1968,3,1,250
1968-03-02,1968,3,2,236
1968-03-03,1968,3,3,227
1968-03-04,1968,3,4,239
1968-03-05,1968,3,5,237
1968-03-06,1968,3,6,232
1968-03-07,1968,3,7,237
1968-03-08,1968,3,8,242
1968-03-09,1968,3,9,238
1968-03-10,1968,3,10,247
1968-03-11,1968,3,11,228
1968-03-12,1968,3,12,240
1968-03-13,1968,3,13,239
1968-03-14,1968,3,14,245
1968-03-15,1968,3,15,245
1968-03-16,1968,3,16,236
1968-03-17,1968,3,17,253
1968-03-18,1968,3,18,277
1968-03-19,1968,3,19,268
1968-03-20,1968,3,20,273
1968-03-21,1968,3,21,252
1968-03-22,1968,3,22,250
1968-03-23,1968,3,23,255
1968-03-24,1968,3,24,253
1968-03-25,1968,3,25,247
1968-03-26,1968,3,26,250
1968-03-27,1968,3,27,249
1968-03-28,1968,3,28,237
1968-03-29,1968,3,29,241
1968-03-30,1968,3,30,239
1968-03-31,1968,3,31,233
1968-04-01,1968,4,1,228
1968-04-02,1968,4,2,228
1968-04-03,1968,4,3,228
1968-04-04,1968,4,4,265
1968-04-05,1968,4,5,245
1968-04-06,1968,4,6,232
1968-04-07,1968,4,7,249
1968-04-08,1968,4,8,253
1968-04-09,1968,4,9,231
1968-04-10,1968,4,10,264
1968-04-11,1968,4,11,232
1968-04-12,1968,4,12,236
1968-04-13,1968,4,13,241
1968-04-14,1968,4,14,242
1968-04-15,1968,4,15,232
1968-04-16,1968,4,16,238
1968-04-17,1968,4,17,235
1968-04-18,1968,4,18,239
1968-04-19,1968,4,19,237
1968-04-20,1968,4,20,233
1968-04-21,1968,4,21,235
1968-04-22,1968,4,22,236
1968-04-23,1968,4,23,256
1968-04-24,1968,4,24,239
1968-04-25,1968,4,25,247
1968-04-26,1968,4,26,241
1968-04-27,1968,4,27,236
1968-04-28,1968,4,28,256
1968-04-29,1968,4,29,271
1968-04-30,1968,4,30,242
1968-05-01,1968,5,1,261
1968-05-02,1968,5,2,242
1968-05-03,1968,5,3,242
1968-05-04,1968,5,4,249
1968-05-05,1968,5,5,237
1968-05-06,1968,5,6,240
1968-05-07,1968,5,7,237
1968-05-08,1968,5,8,243
1968-05-09,1968,5,9,276
1968-05-10,1968,5,10,229
1968-05-11,1968,5,11,238
1968-05-12,1968,5,12,237
1968-05-13,1968,5,13,243
1968-05-14,1968,5,14,244
1968-05-15,1968,5,15,244
1968-05-16,1968,5,16,263
1968-05-17,1968,5,17,281
1968-05-18,1968,5,18,271
1968-05-19,1968,5,19,240
1968-05-20,1968,5,20,239
1968-05-21,1968,5,21,254
1968-05-22,1968,5,22,259
1968-05-23,1968,5,23,244
1968-05-24,1968,5,24,259
1968-05-25,1968,5,25,252
1968-05-26,1968,5,26,237
1968-05-27,1968,5,27,228
1968-05-28,1968,5,28,230
1968-05-29,1968,5,29,245
1968-05-30,1968,5,30,240
1968-05-31,1968,5,31,259
1968-06-01,1968,6,1,268
1968-06-02,1968,6,2,240
1968-06-03,1968,6,3,241
1968-06-04,1968,6,4,282
1968-06-05,1968,6,5,276
1968-06-06,1968,6,6,268
1968-06-07,1968,6,7,267
1968-06-08,1968,6,8,271
1968-06-09,1968,6,9,251
1968-06-10,1968,6,10,264
1968-06-11,1968,6,11,256
1968-06-12,1968,6,12,268
1968-06-13,1968,6,13,256
1968-06-14,1968,6,14,266
1968-06-15,1968,6,15,242
1968-06-16,1968,6,16,250
1968-06-17,1968,6,17,242
1968-06-18,1968,6,18,261
1968-06-19,1968,6,19,242
1968-06-20,1968,6,20,246
1968-06-21,1968,6,21,275
1968-06-22,1968,6,22,259
1968-06-23,1968,6,23,233
1968-06-24,1968,6,24,241
1968-06-25,1968,6,25,258
1968-06-26,1968,6,26,268
1968-06-27,1968,6,27,256
1968-06-28,1968,6,28,278
1968-06-29,1968,6,29,277
1968-06-30,1968,6,30,263
1968-07-01,1968,7,1,239
1968-07-02,1968,7,2,269
1968-07-03,1968,7,3,256
1968-07-04,1968,7,4,261
1968-07-05,1968,7,5,253
1968-07-06,1968,7,6,252
1968-07-07,1968,7,7,244
1968-07-08,1968,7,8,242
1968-07-09,1968,7,9,235
1968-07-10,1968,7,10,251
1968-07-11,1968,7,11,255
1968-07-12,1968,7,12,247
1968-07-13,1968,7,13,250
1968-07-14,1968,7,14,255
1968-07-15,1968,7,15,251
1968-07-16,1968,7,16,259
1968-07-17,1968,7,17,247
1968-07-18,1968,7,18,269
1968-07-19,1968,7,19,263
1968-07-20,1968,7,20,243
1968-07-21,1968,7,21,247
1968-07-22,1968,7,22,273
1968-07-23,1968,7,23,272
1968-07-24,1968,7,24,263
1968-07-25,1968,7,25,256
1968-07-26,1968,7,26,265
1968-07-27,1968,7,27,248
1968-07-28,1968,7,28,255
1968-07-29,1968,7,29,243
1968-07-30,1968,7,30,250
1968-07-31,1968,7,31,240
1968-08-01,1968,8,1,234
1968-08-02,1968,8,2,234
1968-08-03,1968,8,3,249
1968-08-04,1968,8,4,243
1968-08-05,1968,8,5,276
1968-08-06,1968,8,6,244
1968-08-07,1968,8,7,256
1968-08-08,1968,8,8,241
1968-08-09,1968,8,9,259
1968-08-10,1968,8,10,246
1968-08-11,1968,8,11,239
1968-08-12,1968,8,12,236
1968-08-13,1968,8,13,242
1968-08-14,1968,8,14,244
1968-08-15,1968,8,15,263
1968-08-16,1968,8,16,238
1968-08-17,1968,8,17,244
1968-08-18,1968,8,18,234
1968-08-19,1968,8,19,246
1968-08-20,1968,8,20,238
1968-08-21,1968,8,21,229
1968-08-22,1968,8,22,236
1968-08-23,1968,8,23,242
1968-08-24,1968,8,24,223
1968-08-25,1968,8,25,251
1968-08-26,1968,8,26,236
1968-08-27,1968,8,27,234
1968-08-28,1968,8,28,240
1968-08-29,1968,8,29,254
1968-08-30,1968,8,30,235
1968-08-31,1968,8,31,271
1968-09-01,1968,9,1,278
1968-09-02,1968,9,2,276
1968-09-03,1968,9,3,274
1968-09-04,1968,9,4,277
1968-09-05,1968,9,5,237
1968-09-06,1968,9,6,217
1968-09-07,1968,9,7,249
1968-09-08,1968,9,8,246
1968-09-09,1968,9,9,239
1968-09-10,1968,9,10,239
1968-09-11,1968,9,11,229
1968-09-12,1968,9,12,254
1968-09-13,1968,9,13,227
1968-09-14,1968,9,14,251
1968-09-15,1968,9,15,264
1968-09-16,1968,9,16,237
1968-09-17,1968,9,17,233
1968-09-18,1968,9,18,269
1968-09-19,1968,9,19,240
1968-09-20,1968,9,20,233
1968-09-21,1968,9,21,238
1968-09-22,1968,9,22,236
1968-09-23,1968,9,23,233
1968-09-24,1968,9,24,267
1968-09-25,1968,9,25,273
1968-09-26,1968,9,26,239
1968-09-27,1968,9,27,254
1968-09-28,1968,9,28,242
1968-09-29,1968,9,29,253
1968-09-30,1968,9,30,250
1968-10-01,1968,10,1,238
1968-10-02,1968,10,2,233
1968-10-03,1968,10,3,239
1968-10-04,1968,10,4,231
1968-10-05,1968,10,5,267
1968-10-06,1968,10,6,250
1968-10-07,1968,10,7,234
1968-10-08,1968,10,8,254
1968-10-09,1968,10,9,236
1968-10-10,1968,10,10,230
1968-10-11,1968,10,11,237
1968-10-12,1968,10,12,232
1968-10-13,1968,10,13,233
1968-10-14,1968,10,14,267
1968-10-15,1968,10,15,234
1968-10-16,1968,10,16,239
1968-10-17,1968,10,17,258
1968-10-18,1968,10,18,234
1968-10-19,1968,10,19,239
1968-10-20,1968,10,20,240
1968-10-21,1968,10,21,232
1968-10-22,1968,10,22,252
1968-10-23,1968,10,23,246
1968-10-24,1968,10,24,239
1968-10-25,1968,10,25,266
1968-10-26,1968,10,26,261
1968-10-27,1968,10,27,251
1968-10-28,1968,10,28,272
1968-10-29,1968,10,29,254
1968-10-30,1968,10,30,253
1968-10-31,1968,10,31,244
1968-11-01,1968,11,1,246
1968-11-02,1968,11,2,249
1968-11-03,1968,11,3,238
1968-11-04,1968,11,4,261
1968-11-05,1968,11,5,249
1968-11-06,1968,11,6,242
1968-11-07,1968,11,7,237
1968-11-08,1968,11,8,229
1968-11-09,1968,11,9,234
1968-11-10,1968,11,10,247
1968-11-11,1968,11,11,250
1968-11-12,1968,11,12,237
1968-11-13,1968,11,13,242
1968-11-14,1968,11,14,238
1968-11-15,1968,11,15,241
1968-11-16,1968,11,16,244
1968-11-17,1968,11,17,230
1968-11-18,1968,11,18,233
1968-11-19,1968,11,19,228
1968-11-20,1968,11,20,243
1968-11-21,1968,11,21,243
1968-11-22,1968,11,22,241
1968-11-23,1968,11,23,241
1968-11-24,1968,11,24,238
1968-11-25,1968,11,25,258
1968-11-26,1968,11,26,248
1968-11-27,1968,11,27,248
1968-11-28,1968,11,28,246
1968-11-29,1968,11,29,236
1968-11-30,1968,11,30,241
1968-12-01,1968,12,1,239
1968-12-02,1968,12,2,254
1968-12-03,1968,12,3,246
1968-12-04,1968,12,4,237
1968-12-05,1968,12,5,238
1968-12-06,1968,12,6,243
1968-12-07,1968,12,7,236
1968-12-08,1968,12,8,244
1968-12-09,1968,12,9,252
1968-12-10,1968,12,10,255
1968-12-11,1968,12,11,248
1968-12-12,1968,12,12,240
1968-12-13,1968,12,13,254
1968-12-14,1968,12,14,239
1968-12-15,1968,12,15,244
1968-12-16,1968,12,16,247
1968-12-17,1968,12,17,243
1968-12-18,1968,12,18,244
1968-12-19,1968,12,19,238
1968-12-20,1968,12,20,241
1968-12-21,1968,12,21,228
1968-12-22,1968,12,22,238
1968-12-23,1968,12,23,246
1968-12-24,1968,12,24,252
1968-12-25,1968,12,25,238
1968-12-26,1968,12,26,238
1968-12-27,1968,12,27,233
1968-12-28,1968,12,28,239
1968-12-29,1968,12,29,240
1968-12-30,1968,12,30,246
1968-12-31,1968,12,31,234
1969-01-01,1969,1,1,238
1969-01-02,1969,1,2,245
1969-01-03,1969,1,3,246
1969-01-04,1969,1,4,250
1969-01-05,1969,1,5,246
1969-01-06,1969,1,6,232
1969-01-07,1969,1,7,232
1969-01-08,1969,1,8,249
1969-01-09,1969,1,9,238
1969-01-10,1969,1,10,245
1969-01-11,1969,1,11,238
1969-01-12,1969,1,12,243
1969-01-13,1969,1,13,232
