"date","Year","Month","Day","value"
1951-01-01,1951,1,1,217
1951-01-02,1951,1,2,218
1951-01-03,1951,1,3,233
1951-01-04,1951,1,4,220
1951-01-05,1951,1,5,211
1951-01-06,1951,1,6,206
1951-01-07,1951,1,7,208
1951-01-08,1951,1,8,208
1951-01-09,1951,1,9,208
1951-01-10,1951,1,10,200
1951-01-11,1951,1,11,202
1951-01-12,1951,1,12,188
1951-01-13,1951,1,13,200
1951-01-14,1951,1,14,173
1951-01-15,1951,1,15,186
1951-01-16,1951,1,16,203
1951-01-17,1951,1,17,216
1951-01-18,1951,1,18,188
1951-01-19,1951,1,19,202
1951-01-20,1951,1,20,228
1951-01-21,1951,1,21,208
1951-01-22,1951,1,22,206
1951-01-23,1951,1,23,188
1951-01-24,1951,1,24,197
1951-01-25,1951,1,25,181
1951-01-26,1951,1,26,206
1951-01-27,1951,1,27,217
1951-01-28,1951,1,28,226
1951-01-29,1951,1,29,217
1951-01-30,1951,1,30,221
1951-01-31,1951,1,31,222
1951-02-01,1951,2,1,226
1951-02-02,1951,2,2,208
1951-02-03,1951,2,3,213
1951-02-04,1951,2,4,217
1951-02-05,1951,2,5,218
1951-02-06,1951,2,6,200
1951-02-07,1951,2,7,186
1951-02-08,1951,2,8,182
1951-02-09,1951,2,9,200
1951-02-10,1951,2,10,211
1951-02-11,1951,2,11,206
1951-02-12,1951,2,12,212
1951-02-13,1951,2,13,216
1951-02-14,1951,2,14,223
1951-02-15,1951,2,15,208
1951-02-16,1951,2,16,222
1951-02-17,1951,2,17,228
1951-02-18,1951,2,18,213
1951-02-19,1951,2,19,217
1951-02-20,1951,2,20,188
1951-02-21,1951,2,21,200
1951-02-22,1951,2,22,223
1951-02-23,1951,2,23,218
1951-02-24,1951,2,24,218
1951-02-25,1951,2,25,223
1951-02-26,1951,2,26,213
1951-02-27,1951,2,27,218
1951-02-28,1951,2,28,211
1951-03-01,1951,3,1,211
1951-03-02,1951,3,2,208
1951-03-03,1951,3,3,206
1951-03-04,1951,3,4,211
1951-03-05,1951,3,5,197
1951-03-06,1951,3,6,203
1951-03-07,1951,3,7,223
1951-03-08,1951,3,8,223
1951-03-09,1951,3,9,223
1951-03-10,1951,3,10,218
1951-03-11,1951,3,11,211
1951-03-12,1951,3,12,213
1951-03-13,1951,3,13,206
1951-03-14,1951,3,14,207
1951-03-15,1951,3,15,220
1951-03-16,1951,3,16,223
1951-03-17,1951,3,17,223
1951-03-18,1951,3,18,218
1951-03-19,1951,3,19,221
1951-03-20,1951,3,20,223
