"date","Year","Month","Day","value"
1949-03-01,1949,3,1,-295
1949-03-02,1949,3,2,-251
1949-03-03,1949,3,3,-302
1949-03-04,1949,3,4,-302
1949-03-05,1949,3,5,-326
1949-03-06,1949,3,6,-328
1949-03-07,1949,3,7,-285
1949-03-08,1949,3,8,-266
1949-03-09,1949,3,9,-362
1949-03-10,1949,3,10,-354
1949-03-11,1949,3,11,-345
1949-03-12,1949,3,12,-305
1949-03-13,1949,3,13,-256
1949-03-14,1949,3,14,-275
1949-03-15,1949,3,15,-279
1949-03-16,1949,3,16,-319
1949-03-17,1949,3,17,-337
1949-03-18,1949,3,18,-250
1949-03-19,1949,3,19,-293
1949-03-20,1949,3,20,-282
1949-03-21,1949,3,21,-297
1949-03-22,1949,3,22,-291
1949-03-23,1949,3,23,-336
1949-03-24,1949,3,24,-345
1949-03-25,1949,3,25,-333
1949-03-26,1949,3,26,-304
1949-03-27,1949,3,27,-306
1949-03-28,1949,3,28,-258
1949-03-29,1949,3,29,-232
1949-03-30,1949,3,30,-241
1949-03-31,1949,3,31,-202
1949-04-01,1949,4,1,-257
1949-04-02,1949,4,2,-233
1949-04-03,1949,4,3,-263
1949-04-04,1949,4,4,-288
1949-04-05,1949,4,5,-233
1949-04-06,1949,4,6,-163
1949-04-07,1949,4,7,-143
1949-04-08,1949,4,8,-202
1949-04-09,1949,4,9,-119
1949-04-10,1949,4,10,-83
1949-04-11,1949,4,11,-114
1949-04-12,1949,4,12,-103
1949-04-13,1949,4,13,-53
1949-04-14,1949,4,14,-37
1949-04-15,1949,4,15,-28
1949-04-16,1949,4,16,-14
1949-04-17,1949,4,17,2
1949-04-18,1949,4,18,15
1949-04-19,1949,4,19,9
1949-04-20,1949,4,20,9
1949-04-21,1949,4,21,-24
1949-04-22,1949,4,22,23
1949-04-23,1949,4,23,65
1949-04-24,1949,4,24,45
1949-04-25,1949,4,25,16
1949-04-26,1949,4,26,-61
1949-04-27,1949,4,27,-44
1949-04-28,1949,4,28,52
1949-04-29,1949,4,29,19
1949-04-30,1949,4,30,3
1949-05-01,1949,5,1,30
1949-05-02,1949,5,2,-4
1949-05-03,1949,5,3,24
1949-05-04,1949,5,4,-19
1949-05-05,1949,5,5,7
1949-05-06,1949,5,6,42
1949-05-07,1949,5,7,76
1949-05-08,1949,5,8,98
1949-05-09,1949,5,9,45
1949-05-10,1949,5,10,40
1949-05-11,1949,5,11,-7
1949-05-12,1949,5,12,12
1949-05-13,1949,5,13,15
1949-05-14,1949,5,14,45
1949-05-15,1949,5,15,38
1949-05-16,1949,5,16,-48
1949-05-17,1949,5,17,-5
1949-05-18,1949,5,18,8
1949-05-19,1949,5,19,-49
1949-05-20,1949,5,20,-6
1949-05-21,1949,5,21,-54
1949-05-22,1949,5,22,-10
1949-05-23,1949,5,23,40
1949-05-24,1949,5,24,71
1949-05-25,1949,5,25,62
1949-05-26,1949,5,26,21
1949-05-27,1949,5,27,81
1949-05-28,1949,5,28,66
1949-05-29,1949,5,29,36
1949-05-30,1949,5,30,15
1949-05-31,1949,5,31,68
1949-06-01,1949,6,1,29
1949-06-02,1949,6,2,92
1949-06-03,1949,6,3,55
1949-06-04,1949,6,4,80
1949-06-05,1949,6,5,97
1949-06-06,1949,6,6,119
1949-06-07,1949,6,7,115
1949-06-08,1949,6,8,55
1949-06-09,1949,6,9,65
1949-06-10,1949,6,10,37
1949-06-11,1949,6,11,71
1949-06-12,1949,6,12,19
1949-06-13,1949,6,13,46
1949-06-14,1949,6,14,71
1949-06-15,1949,6,15,65
1949-06-16,1949,6,16,93
1949-06-17,1949,6,17,42
1949-06-18,1949,6,18,75
1949-06-19,1949,6,19,41
1949-06-20,1949,6,20,9
1949-06-21,1949,6,21,27
1949-06-22,1949,6,22,85
1949-06-23,1949,6,23,108
1949-06-24,1949,6,24,65
1949-06-25,1949,6,25,75
1949-06-26,1949,6,26,90
1949-06-27,1949,6,27,104
1949-06-28,1949,6,28,120
1949-06-29,1949,6,29,96
1949-06-30,1949,6,30,137
1949-07-01,1949,7,1,161
1949-07-02,1949,7,2,105
1949-07-03,1949,7,3,138
1949-07-04,1949,7,4,182
1949-07-05,1949,7,5,121
1949-07-06,1949,7,6,97
1949-07-07,1949,7,7,119
1949-07-08,1949,7,8,104
1949-07-09,1949,7,9,113
1949-07-10,1949,7,10,67
1949-07-11,1949,7,11,25
1949-07-12,1949,7,12,81
1949-07-13,1949,7,13,81
1949-07-14,1949,7,14,133
1949-07-15,1949,7,15,81
1949-07-16,1949,7,16,120
1949-07-17,1949,7,17,61
1949-07-18,1949,7,18,83
1949-07-19,1949,7,19,96
1949-07-20,1949,7,20,137
1949-07-21,1949,7,21,144
1949-07-22,1949,7,22,143
1949-07-23,1949,7,23,167
1949-07-24,1949,7,24,154
1949-07-25,1949,7,25,115
1949-07-26,1949,7,26,97
1949-07-27,1949,7,27,49
1949-07-28,1949,7,28,76
1949-07-29,1949,7,29,101
1949-07-30,1949,7,30,106
1949-07-31,1949,7,31,110
1949-08-01,1949,8,1,124
1949-08-02,1949,8,2,127
1949-08-03,1949,8,3,83
1949-08-04,1949,8,4,132
1949-08-05,1949,8,5,112
1949-08-06,1949,8,6,133
1949-08-07,1949,8,7,127
1949-08-08,1949,8,8,151
1949-08-09,1949,8,9,99
1949-08-10,1949,8,10,98
1949-08-11,1949,8,11,69
1949-08-12,1949,8,12,96
1949-08-13,1949,8,13,61
1949-08-14,1949,8,14,72
1949-08-15,1949,8,15,98
1949-08-16,1949,8,16,163
1949-08-17,1949,8,17,146
1949-08-18,1949,8,18,148
1949-08-19,1949,8,19,124
1949-08-20,1949,8,20,68
1949-08-21,1949,8,21,17
1949-08-22,1949,8,22,47
1949-08-23,1949,8,23,52
1949-08-24,1949,8,24,85
1949-08-25,1949,8,25,22
1949-08-26,1949,8,26,31
1949-08-27,1949,8,27,62
1949-08-28,1949,8,28,55
1949-08-29,1949,8,29,115
1949-08-30,1949,8,30,54
1949-08-31,1949,8,31,65
1949-09-01,1949,9,1,31
1949-09-02,1949,9,2,-34
1949-09-03,1949,9,3,26
1949-09-04,1949,9,4,17
1949-09-05,1949,9,5,-24
1949-09-06,1949,9,6,-21
1949-09-07,1949,9,7,6
1949-09-08,1949,9,8,18
1949-09-09,1949,9,9,77
1949-09-10,1949,9,10,81
1949-09-11,1949,9,11,47
1949-09-12,1949,9,12,36
1949-09-13,1949,9,13,-28
1949-09-14,1949,9,14,-17
1949-09-15,1949,9,15,-8
1949-09-16,1949,9,16,17
1949-09-17,1949,9,17,60
1949-09-18,1949,9,18,8
1949-09-19,1949,9,19,1
1949-09-20,1949,9,20,48
1949-09-21,1949,9,21,6
1949-09-22,1949,9,22,-1
1949-09-23,1949,9,23,-23
1949-09-24,1949,9,24,-67
1949-09-25,1949,9,25,-24
1949-09-26,1949,9,26,-7
1949-09-27,1949,9,27,-3
1949-09-28,1949,9,28,-9
1949-09-29,1949,9,29,20
1949-09-30,1949,9,30,-33
1949-10-01,1949,10,1,-44
1949-10-02,1949,10,2,-9
1949-10-03,1949,10,3,-5
1949-10-04,1949,10,4,17
1949-10-05,1949,10,5,3
1949-10-06,1949,10,6,-1
1949-10-07,1949,10,7,-2
1949-10-08,1949,10,8,-9
1949-10-09,1949,10,9,0
1949-10-10,1949,10,10,18
1949-10-11,1949,10,11,-38
1949-10-12,1949,10,12,-8
1949-10-13,1949,10,13,-4
1949-10-14,1949,10,14,-14
1949-10-15,1949,10,15,-60
1949-10-16,1949,10,16,-120
1949-10-17,1949,10,17,-125
1949-10-18,1949,10,18,-105
