"date","Year","Month","Day","value"
1929-02-01,1929,2,1,0
1929-02-02,1929,2,2,0
1929-02-03,1929,2,3,0
1929-02-04,1929,2,4,0
1929-02-05,1929,2,5,0
1929-02-06,1929,2,6,-89
1929-02-07,1929,2,7,0
1929-02-08,1929,2,8,0
1929-02-09,1929,2,9,0
1929-02-10,1929,2,10,171
1929-02-11,1929,2,11,0
1929-02-12,1929,2,12,-29
1929-02-13,1929,2,13,0
1929-02-14,1929,2,14,0
1929-02-15,1929,2,15,31
1929-02-16,1929,2,16,0
1929-02-17,1929,2,17,0
1929-02-18,1929,2,18,0
1929-02-19,1929,2,19,0
1929-02-20,1929,2,20,0
1929-02-21,1929,2,21,-89
1929-02-22,1929,2,22,0
1929-02-23,1929,2,23,0
1929-02-24,1929,2,24,-69
1929-02-25,1929,2,25,271
1929-02-26,1929,2,26,-19
1929-02-27,1929,2,27,201
1929-02-28,1929,2,28,21
1929-03-01,1929,3,1,-81
1929-03-02,1929,3,2,-21
1929-03-03,1929,3,3,0
1929-03-04,1929,3,4,0
1929-03-05,1929,3,5,-11
1929-03-06,1929,3,6,0
1929-03-07,1929,3,7,0
1929-03-08,1929,3,8,0
1929-03-09,1929,3,9,0
1929-03-10,1929,3,10,9
1929-03-11,1929,3,11,0
1929-03-12,1929,3,12,-31
1929-03-13,1929,3,13,0
1929-03-14,1929,3,14,-41
1929-03-15,1929,3,15,0
1929-03-16,1929,3,16,129
1929-03-17,1929,3,17,0
1929-03-18,1929,3,18,-21
1929-03-19,1929,3,19,-1
1929-03-20,1929,3,20,-61
1929-03-21,1929,3,21,29
1929-03-22,1929,3,22,-51
1929-03-23,1929,3,23,-31
1929-03-24,1929,3,24,-81
1929-03-25,1929,3,25,-11
1929-03-26,1929,3,26,39
1929-03-27,1929,3,27,-41
1929-03-28,1929,3,28,-71
1929-03-29,1929,3,29,-11
1929-03-30,1929,3,30,0
1929-03-31,1929,3,31,0
1929-04-01,1929,4,1,10
1929-04-02,1929,4,2,30
1929-04-03,1929,4,3,20
