"date","Year","Month","Day","value"
1941-06-01,1941,6,1,78
1941-06-02,1941,6,2,94
1941-06-03,1941,6,3,133
1941-06-04,1941,6,4,128
1941-06-05,1941,6,5,106
1941-06-06,1941,6,6,133
1941-06-07,1941,6,7,148
1941-06-08,1941,6,8,72
1941-06-09,1941,6,9,39
1941-06-10,1941,6,10,111
1941-06-11,1941,6,11,111
1941-06-12,1941,6,12,128
1941-06-13,1941,6,13,144
1941-06-14,1941,6,14,128
1941-06-15,1941,6,15,128
1941-06-16,1941,6,16,144
1941-06-17,1941,6,17,161
1941-06-18,1941,6,18,156
1941-06-19,1941,6,19,150
1941-06-20,1941,6,20,156
1941-06-21,1941,6,21,128
1941-06-22,1941,6,22,156
1941-06-23,1941,6,23,172
1941-06-24,1941,6,24,183
1941-06-25,1941,6,25,118
1941-06-26,1941,6,26,188
1941-06-27,1941,6,27,188
1941-06-28,1941,6,28,198
1941-06-29,1941,6,29,88
1941-06-30,1941,6,30,138
1941-07-01,1941,7,1,129
1941-07-02,1941,7,2,209
1941-07-03,1941,7,3,149
1941-07-04,1941,7,4,139
1941-07-05,1941,7,5,169
1941-07-06,1941,7,6,209
1941-07-07,1941,7,7,89
1941-07-08,1941,7,8,178
1941-07-09,1941,7,9,178
1941-07-10,1941,7,10,172
1941-07-11,1941,7,11,189
1941-07-12,1941,7,12,149
1941-07-13,1941,7,13,167
1941-07-14,1941,7,14,199
1941-07-15,1941,7,15,200
1941-07-16,1941,7,16,200
1941-07-17,1941,7,17,183
1941-07-18,1941,7,18,172
1941-07-19,1941,7,19,156
1941-07-20,1941,7,20,167
1941-07-21,1941,7,21,194
1941-07-22,1941,7,22,200
1941-07-23,1941,7,23,239
1941-07-24,1941,7,24,178
1941-07-25,1941,7,25,169
1941-07-26,1941,7,26,149
1941-07-27,1941,7,27,133
1941-07-28,1941,7,28,167
1941-07-29,1941,7,29,178
1941-07-30,1941,7,30,161
1941-07-31,1941,7,31,183
1941-08-01,1941,8,1,167
1941-08-02,1941,8,2,161
1941-08-03,1941,8,3,183
1941-08-04,1941,8,4,200
1941-08-05,1941,8,5,183
1941-08-06,1941,8,6,172
1941-08-07,1941,8,7,150
1941-08-08,1941,8,8,156
1941-08-09,1941,8,9,183
1941-08-10,1941,8,10,150
1941-08-11,1941,8,11,139
1941-08-12,1941,8,12,128
1941-08-13,1941,8,13,150
1941-08-14,1941,8,14,172
1941-08-15,1941,8,15,167
1941-08-16,1941,8,16,144
1941-08-17,1941,8,17,156
1941-08-18,1941,8,18,156
1941-08-19,1941,8,19,156
1941-08-20,1941,8,20,189
1941-08-21,1941,8,21,156
1941-08-22,1941,8,22,156
1941-08-23,1941,8,23,150
1941-08-24,1941,8,24,167
1941-08-25,1941,8,25,161
1941-08-26,1941,8,26,161
1941-08-27,1941,8,27,156
1941-08-28,1941,8,28,156
1941-08-29,1941,8,29,172
1941-08-30,1941,8,30,128
1941-08-31,1941,8,31,139
1941-09-01,1941,9,1,161
1941-09-02,1941,9,2,131
1941-09-03,1941,9,3,121
1941-09-04,1941,9,4,122
1941-09-05,1941,9,5,139
1941-09-06,1941,9,6,156
1941-09-07,1941,9,7,189
1941-09-08,1941,9,8,117
1941-09-09,1941,9,9,83
1941-09-10,1941,9,10,117
1941-09-11,1941,9,11,156
1941-09-12,1941,9,12,211
1941-09-13,1941,9,13,41
1941-09-14,1941,9,14,72
1941-09-15,1941,9,15,89
1941-09-16,1941,9,16,94
1941-09-17,1941,9,17,139
1941-09-18,1941,9,18,161
1941-09-19,1941,9,19,133
1941-09-20,1941,9,20,150
1941-09-21,1941,9,21,61
1941-09-22,1941,9,22,50
1941-09-23,1941,9,23,50
1941-09-24,1941,9,24,56
1941-09-25,1941,9,25,121
1941-09-26,1941,9,26,101
1941-09-27,1941,9,27,91
1941-09-28,1941,9,28,161
1941-09-29,1941,9,29,111
1941-09-30,1941,9,30,78
1941-10-01,1941,10,1,83
1941-10-02,1941,10,2,78
1941-10-03,1941,10,3,67
1941-10-04,1941,10,4,72
1941-10-05,1941,10,5,78
1941-10-06,1941,10,6,11
1941-10-07,1941,10,7,44
1941-10-08,1941,10,8,61
1941-10-09,1941,10,9,67
1941-10-10,1941,10,10,83
1941-10-11,1941,10,11,106
1941-10-12,1941,10,12,133
1941-10-13,1941,10,13,100
1941-10-14,1941,10,14,50
1941-10-15,1941,10,15,72
1941-10-16,1941,10,16,86
1941-10-17,1941,10,17,106
1941-10-18,1941,10,18,72
1941-10-19,1941,10,19,78
1941-10-20,1941,10,20,56
1941-10-21,1941,10,21,11
1941-10-22,1941,10,22,28
1941-10-23,1941,10,23,26
1941-10-24,1941,10,24,76
1941-10-25,1941,10,25,126
1941-10-26,1941,10,26,106
1941-10-27,1941,10,27,86
1941-10-28,1941,10,28,106
1941-10-29,1941,10,29,76
1941-10-30,1941,10,30,6
1941-10-31,1941,10,31,0
1941-11-01,1941,11,1,17
1941-11-02,1941,11,2,50
1941-11-03,1941,11,3,67
1941-11-04,1941,11,4,33
1941-11-05,1941,11,5,-7
1941-11-06,1941,11,6,56
1941-11-07,1941,11,7,39
1941-11-08,1941,11,8,33
1941-11-09,1941,11,9,44
1941-11-10,1941,11,10,28
1941-11-11,1941,11,11,39
1941-11-12,1941,11,12,67
1941-11-13,1941,11,13,33
1941-11-14,1941,11,14,39
1941-11-15,1941,11,15,50
1941-11-16,1941,11,16,56
1941-11-17,1941,11,17,11
1941-11-18,1941,11,18,-28
1941-11-19,1941,11,19,-67
1941-11-20,1941,11,20,-61
1941-11-21,1941,11,21,-44
1941-11-22,1941,11,22,-44
1941-11-23,1941,11,23,-50
1941-11-24,1941,11,24,-33
1941-11-25,1941,11,25,-6
1941-11-26,1941,11,26,0
1941-11-27,1941,11,27,3
1941-11-28,1941,11,28,3
1941-11-29,1941,11,29,17
1941-11-30,1941,11,30,56
1941-12-01,1941,12,1,28
1941-12-02,1941,12,2,50
1941-12-03,1941,12,3,50
1941-12-04,1941,12,4,-6
1941-12-05,1941,12,5,-39
1941-12-06,1941,12,6,-17
1941-12-07,1941,12,7,-6
1941-12-08,1941,12,8,0
1941-12-09,1941,12,9,-6
1941-12-10,1941,12,10,11
1941-12-11,1941,12,11,11
1941-12-12,1941,12,12,0
1941-12-13,1941,12,13,33
1941-12-14,1941,12,14,0
1941-12-15,1941,12,15,-6
1941-12-16,1941,12,16,43
1941-12-17,1941,12,17,-57
1941-12-18,1941,12,18,-11
1941-12-19,1941,12,19,0
1941-12-20,1941,12,20,28
1941-12-21,1941,12,21,17
1941-12-22,1941,12,22,-44
1941-12-23,1941,12,23,-61
1941-12-24,1941,12,24,-28
1941-12-25,1941,12,25,-83
1941-12-26,1941,12,26,-39
1941-12-27,1941,12,27,-61
1941-12-28,1941,12,28,-61
1941-12-29,1941,12,29,-22
1941-12-30,1941,12,30,6
1941-12-31,1941,12,31,-17
1942-01-01,1942,1,1,-78
1942-01-02,1942,1,2,-122
1942-01-03,1942,1,3,-111
1942-01-04,1942,1,4,-111
1942-01-05,1942,1,5,-106
1942-01-06,1942,1,6,-50
1942-01-07,1942,1,7,-39
1942-01-08,1942,1,8,-33
1942-01-09,1942,1,9,-22
1942-01-10,1942,1,10,-22
1942-01-11,1942,1,11,-6
1942-01-12,1942,1,12,6
1942-01-13,1942,1,13,6
1942-01-14,1942,1,14,11
1942-01-15,1942,1,15,-11
1942-01-16,1942,1,16,-98
1942-01-17,1942,1,17,22
1942-01-18,1942,1,18,-78
1942-01-19,1942,1,19,22
1942-01-20,1942,1,20,-33
1942-01-21,1942,1,21,-22
1942-01-22,1942,1,22,11
1942-01-23,1942,1,23,0
1942-01-24,1942,1,24,11
1942-01-25,1942,1,25,17
1942-01-26,1942,1,26,11
1942-01-27,1942,1,27,33
1942-01-28,1942,1,28,67
1942-01-29,1942,1,29,0
1942-01-30,1942,1,30,-39
1942-01-31,1942,1,31,-33
1942-02-01,1942,2,1,-6
1942-02-02,1942,2,2,6
1942-02-03,1942,2,3,17
1942-02-04,1942,2,4,-6
1942-02-05,1942,2,5,22
1942-02-06,1942,2,6,33
1942-02-07,1942,2,7,67
1942-02-08,1942,2,8,-19
1942-02-09,1942,2,9,-9
1942-02-10,1942,2,10,-33
1942-02-11,1942,2,11,-56
1942-02-12,1942,2,12,-44
1942-02-13,1942,2,13,-39
1942-02-14,1942,2,14,-39
1942-02-15,1942,2,15,-106
1942-02-16,1942,2,16,-61
1942-02-17,1942,2,17,-39
1942-02-18,1942,2,18,-100
1942-02-19,1942,2,19,-89
1942-02-20,1942,2,20,-72
1942-02-21,1942,2,21,-22
1942-02-22,1942,2,22,0
1942-02-23,1942,2,23,-50
1942-02-24,1942,2,24,-28
1942-02-25,1942,2,25,-17
1942-02-26,1942,2,26,-50
1942-02-27,1942,2,27,-17
1942-02-28,1942,2,28,-11
1942-03-01,1942,3,1,-33
1942-03-02,1942,3,2,-11
1942-03-03,1942,3,3,33
1942-03-04,1942,3,4,-28
1942-03-05,1942,3,5,0
1942-03-06,1942,3,6,6
1942-03-07,1942,3,7,-72
1942-03-08,1942,3,8,-39
1942-03-09,1942,3,9,11
1942-03-10,1942,3,10,28
1942-03-11,1942,3,11,44
1942-03-12,1942,3,12,17
1942-03-13,1942,3,13,56
1942-03-14,1942,3,14,0
1942-03-15,1942,3,15,-11
1942-03-16,1942,3,16,-6
1942-03-17,1942,3,17,-28
1942-03-18,1942,3,18,-11
1942-03-19,1942,3,19,-1
1942-03-20,1942,3,20,-61
1942-03-21,1942,3,21,-33
1942-03-22,1942,3,22,6
1942-03-23,1942,3,23,28
1942-03-24,1942,3,24,17
1942-03-25,1942,3,25,-22
1942-03-26,1942,3,26,-33
1942-03-27,1942,3,27,-33
1942-03-28,1942,3,28,11
1942-03-29,1942,3,29,22
1942-03-30,1942,3,30,44
1942-03-31,1942,3,31,67
1942-04-01,1942,4,1,61
1942-04-02,1942,4,2,44
1942-04-03,1942,4,3,67
1942-04-04,1942,4,4,117
