"date","Year","Month","Day","value"
1992-01-01,1992,1,1,44
1992-01-02,1992,1,2,50
1992-01-03,1992,1,3,33
1992-01-04,1992,1,4,33
1992-01-05,1992,1,5,67
1992-01-06,1992,1,6,11
1992-01-07,1992,1,7,11
1992-01-08,1992,1,8,11
1992-01-09,1992,1,9,28
1992-01-10,1992,1,10,56
1992-01-11,1992,1,11,33
1992-01-12,1992,1,12,50
1992-01-13,1992,1,13,-11
1992-01-14,1992,1,14,6
1992-01-15,1992,1,15,22
1992-01-16,1992,1,16,39
1992-01-17,1992,1,17,39
1992-01-18,1992,1,18,56
1992-01-19,1992,1,19,89
1992-01-20,1992,1,20,67
1992-01-21,1992,1,21,11
1992-01-22,1992,1,22,22
1992-01-23,1992,1,23,33
1992-01-24,1992,1,24,39
1992-01-25,1992,1,25,72
1992-01-26,1992,1,26,72
1992-01-27,1992,1,27,72
1992-01-28,1992,1,28,78
1992-01-29,1992,1,29,100
1992-01-30,1992,1,30,89
1992-01-31,1992,1,31,94
1992-02-01,1992,2,1,111
1992-02-02,1992,2,2,100
1992-02-03,1992,2,3,61
1992-02-04,1992,2,4,100
1992-02-05,1992,2,5,83
1992-02-06,1992,2,6,117
1992-02-07,1992,2,7,83
1992-02-08,1992,2,8,89
1992-02-09,1992,2,9,94
1992-02-10,1992,2,10,83
1992-02-11,1992,2,11,89
1992-02-12,1992,2,12,83
1992-02-13,1992,2,13,67
1992-02-14,1992,2,14,72
1992-02-15,1992,2,15,50
1992-02-16,1992,2,16,50
1992-02-17,1992,2,17,50
1992-02-18,1992,2,18,50
1992-02-19,1992,2,19,61
1992-02-20,1992,2,20,83
1992-02-21,1992,2,21,83
1992-02-22,1992,2,22,111
1992-02-23,1992,2,23,100
1992-02-24,1992,2,24,56
1992-02-25,1992,2,25,78
1992-02-26,1992,2,26,94
1992-02-27,1992,2,27,94
1992-02-28,1992,2,28,94
1992-02-29,1992,2,29,111
1992-03-01,1992,3,1,150
1992-03-02,1992,3,2,89
1992-03-03,1992,3,3,89
1992-03-04,1992,3,4,89
1992-03-05,1992,3,5,72
1992-03-06,1992,3,6,78
1992-03-07,1992,3,7,83
1992-03-08,1992,3,8,56
1992-03-09,1992,3,9,39
1992-03-10,1992,3,10,56
1992-03-11,1992,3,11,83
1992-03-12,1992,3,12,94
1992-03-13,1992,3,13,94
1992-03-14,1992,3,14,111
1992-03-15,1992,3,15,139
1992-03-16,1992,3,16,122
1992-03-17,1992,3,17,78
1992-03-18,1992,3,18,72
1992-03-19,1992,3,19,100
1992-03-20,1992,3,20,144
1992-03-21,1992,3,21,94
1992-03-22,1992,3,22,100
1992-03-23,1992,3,23,89
1992-03-24,1992,3,24,83
1992-03-25,1992,3,25,117
1992-03-26,1992,3,26,100
1992-03-27,1992,3,27,106
1992-03-28,1992,3,28,100
1992-03-29,1992,3,29,94
1992-03-30,1992,3,30,106
1992-03-31,1992,3,31,100
1992-04-01,1992,4,1,111
1992-04-02,1992,4,2,89
1992-04-03,1992,4,3,111
1992-04-04,1992,4,4,122
1992-04-05,1992,4,5,128
1992-04-06,1992,4,6,133
1992-04-07,1992,4,7,133
1992-04-08,1992,4,8,128
1992-04-09,1992,4,9,133
1992-04-10,1992,4,10,128
1992-04-11,1992,4,11,144
1992-04-12,1992,4,12,194
1992-04-13,1992,4,13,183
1992-04-14,1992,4,14,133
1992-04-15,1992,4,15,117
1992-04-16,1992,4,16,139
1992-04-17,1992,4,17,144
1992-04-18,1992,4,18,139
1992-04-19,1992,4,19,106
1992-04-20,1992,4,20,94
1992-04-21,1992,4,21,128
1992-04-22,1992,4,22,122
1992-04-23,1992,4,23,128
1992-04-24,1992,4,24,161
1992-04-25,1992,4,25,194
1992-04-26,1992,4,26,183
1992-04-27,1992,4,27,178
1992-04-28,1992,4,28,172
1992-04-29,1992,4,29,106
1992-04-30,1992,4,30,94
1992-05-01,1992,5,1,39
1992-05-02,1992,5,2,6
1992-05-03,1992,5,3,28
1992-05-04,1992,5,4,67
1992-05-05,1992,5,5,72
1992-05-06,1992,5,6,56
1992-05-07,1992,5,7,28
1992-05-08,1992,5,8,33
1992-05-09,1992,5,9,22
1992-05-10,1992,5,10,11
1992-05-11,1992,5,11,56
1992-05-12,1992,5,12,61
1992-05-13,1992,5,13,28
1992-05-14,1992,5,14,33
1992-05-15,1992,5,15,50
1992-05-16,1992,5,16,39
1992-05-17,1992,5,17,28
1992-05-18,1992,5,18,72
1992-05-19,1992,5,19,67
1992-05-20,1992,5,20,61
1992-05-21,1992,5,21,61
1992-05-22,1992,5,22,44
1992-05-23,1992,5,23,17
1992-05-24,1992,5,24,44
1992-05-25,1992,5,25,39
1992-05-26,1992,5,26,83
1992-05-27,1992,5,27,67
1992-05-28,1992,5,28,67
1992-05-29,1992,5,29,56
1992-05-30,1992,5,30,50
1992-05-31,1992,5,31,67
1992-06-01,1992,6,1,83
1992-06-02,1992,6,2,83
1992-06-03,1992,6,3,89
1992-06-04,1992,6,4,89
1992-06-05,1992,6,5,128
1992-06-06,1992,6,6,67
1992-06-07,1992,6,7,44
1992-06-08,1992,6,8,83
1992-06-09,1992,6,9,67
1992-06-10,1992,6,10,89
1992-06-11,1992,6,11,61
1992-06-12,1992,6,12,44
1992-06-13,1992,6,13,22
1992-06-14,1992,6,14,39
1992-06-15,1992,6,15,-11
1992-06-16,1992,6,16,28
1992-06-17,1992,6,17,11
1992-06-18,1992,6,18,28
1992-06-19,1992,6,19,44
1992-06-20,1992,6,20,50
1992-06-21,1992,6,21,56
1992-06-22,1992,6,22,89
1992-06-23,1992,6,23,100
1992-06-24,1992,6,24,89
1992-06-25,1992,6,25,83
1992-06-26,1992,6,26,67
1992-06-27,1992,6,27,83
1992-06-28,1992,6,28,111
1992-06-29,1992,6,29,133
1992-06-30,1992,6,30,106
1992-07-01,1992,7,1,61
1992-07-02,1992,7,2,33
1992-07-03,1992,7,3,67
1992-07-04,1992,7,4,139
1992-07-05,1992,7,5,133
1992-07-06,1992,7,6,117
1992-07-07,1992,7,7,139
1992-07-08,1992,7,8,128
1992-07-09,1992,7,9,83
