"date","Year","Month","Day","value"
1986-04-01,1986,4,1,-66
1986-04-02,1986,4,2,44
1986-04-03,1986,4,3,-6
1986-04-04,1986,4,4,-6
1986-04-05,1986,4,5,24
1986-04-06,1986,4,6,4
1986-04-07,1986,4,7,24
1986-04-08,1986,4,8,4
1986-04-09,1986,4,9,24
1986-04-10,1986,4,10,-46
1986-04-11,1986,4,11,4
1986-04-12,1986,4,12,4
1986-04-13,1986,4,13,-26
1986-04-14,1986,4,14,24
1986-04-15,1986,4,15,-46
1986-04-16,1986,4,16,4
1986-04-17,1986,4,17,24
1986-04-18,1986,4,18,24
1986-04-19,1986,4,19,-6
1986-04-20,1986,4,20,44
1986-04-21,1986,4,21,44
1986-04-22,1986,4,22,14
1986-04-23,1986,4,23,24
1986-04-24,1986,4,24,78
1986-04-25,1986,4,25,83
1986-04-26,1986,4,26,-50
1986-04-27,1986,4,27,-67
1986-04-28,1986,4,28,17
1986-04-29,1986,4,29,61
1986-04-30,1986,4,30,50
1986-05-01,1986,5,1,56
1986-05-02,1986,5,2,67
1986-05-03,1986,5,3,78
1986-05-04,1986,5,4,17
1986-05-05,1986,5,5,-39
1986-05-06,1986,5,6,6
1986-05-07,1986,5,7,-17
1986-05-08,1986,5,8,11
1986-05-09,1986,5,9,-33
1986-05-10,1986,5,10,39
1986-05-11,1986,5,11,56
1986-05-12,1986,5,12,17
1986-05-13,1986,5,13,39
1986-05-14,1986,5,14,83
1986-05-15,1986,5,15,61
1986-05-16,1986,5,16,39
1986-05-17,1986,5,17,-6
1986-05-18,1986,5,18,6
1986-05-19,1986,5,19,61
1986-05-20,1986,5,20,83
1986-05-21,1986,5,21,117
1986-05-22,1986,5,22,61
1986-05-23,1986,5,23,33
1986-05-24,1986,5,24,56
1986-05-25,1986,5,25,56
1986-05-26,1986,5,26,67
1986-05-27,1986,5,27,78
1986-05-28,1986,5,28,133
1986-05-29,1986,5,29,89
1986-05-30,1986,5,30,83
1986-05-31,1986,5,31,100
1986-06-01,1986,6,1,94
1986-06-02,1986,6,2,128
1986-06-03,1986,6,3,89
1986-06-04,1986,6,4,133
1986-06-05,1986,6,5,139
1986-06-06,1986,6,6,122
1986-06-07,1986,6,7,89
1986-06-08,1986,6,8,94
1986-06-09,1986,6,9,83
1986-06-10,1986,6,10,50
1986-06-11,1986,6,11,72
1986-06-12,1986,6,12,100
1986-06-13,1986,6,13,117
1986-06-14,1986,6,14,40
1986-06-15,1986,6,15,150
1986-06-16,1986,6,16,70
1986-06-17,1986,6,17,90
1986-06-18,1986,6,18,178
1986-06-19,1986,6,19,94
1986-06-20,1986,6,20,83
1986-06-21,1986,6,21,111
1986-06-22,1986,6,22,67
1986-06-23,1986,6,23,106
1986-06-24,1986,6,24,172
1986-06-25,1986,6,25,106
1986-06-26,1986,6,26,111
1986-06-27,1986,6,27,133
1986-06-28,1986,6,28,161
1986-06-29,1986,6,29,167
1986-06-30,1986,6,30,144
1986-07-01,1986,7,1,128
1986-07-02,1986,7,2,133
1986-07-03,1986,7,3,183
1986-07-04,1986,7,4,183
1986-07-05,1986,7,5,156
1986-07-06,1986,7,6,144
1986-07-07,1986,7,7,172
1986-07-08,1986,7,8,161
1986-07-09,1986,7,9,133
1986-07-10,1986,7,10,133
1986-07-11,1986,7,11,161
1986-07-12,1986,7,12,156
1986-07-13,1986,7,13,117
1986-07-14,1986,7,14,161
1986-07-15,1986,7,15,161
1986-07-16,1986,7,16,156
1986-07-17,1986,7,17,156
1986-07-18,1986,7,18,139
1986-07-19,1986,7,19,122
1986-07-20,1986,7,20,139
1986-07-21,1986,7,21,122
1986-07-22,1986,7,22,133
1986-07-23,1986,7,23,133
1986-07-24,1986,7,24,106
1986-07-25,1986,7,25,128
1986-07-26,1986,7,26,111
1986-07-27,1986,7,27,83
1986-07-28,1986,7,28,106
1986-07-29,1986,7,29,161
1986-07-30,1986,7,30,106
1986-07-31,1986,7,31,100
1986-08-01,1986,8,1,122
1986-08-02,1986,8,2,189
1986-08-03,1986,8,3,172
1986-08-04,1986,8,4,144
1986-08-05,1986,8,5,172
1986-08-06,1986,8,6,139
1986-08-07,1986,8,7,133
1986-08-08,1986,8,8,161
1986-08-09,1986,8,9,172
1986-08-10,1986,8,10,128
1986-08-11,1986,8,11,172
1986-08-12,1986,8,12,178
1986-08-13,1986,8,13,167
1986-08-14,1986,8,14,133
1986-08-15,1986,8,15,161
1986-08-16,1986,8,16,133
1986-08-17,1986,8,17,117
1986-08-18,1986,8,18,150
1986-08-19,1986,8,19,128
1986-08-20,1986,8,20,156
1986-08-21,1986,8,21,178
1986-08-22,1986,8,22,133
1986-08-23,1986,8,23,133
1986-08-24,1986,8,24,161
1986-08-25,1986,8,25,156
1986-08-26,1986,8,26,117
1986-08-27,1986,8,27,150
1986-08-28,1986,8,28,117
1986-08-29,1986,8,29,150
1986-08-30,1986,8,30,128
1986-08-31,1986,8,31,133
1986-09-01,1986,9,1,83
1986-09-02,1986,9,2,106
1986-09-03,1986,9,3,89
1986-09-04,1986,9,4,83
1986-09-05,1986,9,5,106
1986-09-06,1986,9,6,106
1986-09-07,1986,9,7,117
1986-09-08,1986,9,8,150
1986-09-09,1986,9,9,144
1986-09-10,1986,9,10,78
1986-09-11,1986,9,11,11
1986-09-12,1986,9,12,67
1986-09-13,1986,9,13,133
1986-09-14,1986,9,14,94
1986-09-15,1986,9,15,83
1986-09-16,1986,9,16,72
1986-09-17,1986,9,17,61
1986-09-18,1986,9,18,111
1986-09-19,1986,9,19,83
1986-09-20,1986,9,20,72
1986-09-21,1986,9,21,33
1986-09-22,1986,9,22,83
1986-09-23,1986,9,23,61
1986-09-24,1986,9,24,22
1986-09-25,1986,9,25,61
1986-09-26,1986,9,26,44
1986-09-27,1986,9,27,50
1986-09-28,1986,9,28,56
1986-09-29,1986,9,29,22
1986-09-30,1986,9,30,-11
1986-10-01,1986,10,1,56
1986-10-02,1986,10,2,44
1986-10-03,1986,10,3,33
1986-10-04,1986,10,4,0
1986-10-05,1986,10,5,22
