"date","Year","Month","Day","value"
1998-10-01,1998,10,1,-13
1998-10-02,1998,10,2,-33
1998-10-03,1998,10,3,-3
1998-10-04,1998,10,4,67
1998-10-05,1998,10,5,-3
1998-10-06,1998,10,6,17
1998-10-07,1998,10,7,27
1998-10-08,1998,10,8,37
1998-10-09,1998,10,9,-3
1998-10-10,1998,10,10,-13
1998-10-11,1998,10,11,37
1998-10-12,1998,10,12,47
1998-10-13,1998,10,13,7
1998-10-14,1998,10,14,77
1998-10-15,1998,10,15,47
1998-10-16,1998,10,16,-3
1998-10-17,1998,10,17,7
1998-10-18,1998,10,18,7
1998-10-19,1998,10,19,7
1998-10-20,1998,10,20,97
1998-10-21,1998,10,21,7
1998-10-22,1998,10,22,67
1998-10-23,1998,10,23,17
1998-10-24,1998,10,24,-23
1998-10-25,1998,10,25,17
1998-10-26,1998,10,26,-3
1998-10-27,1998,10,27,7
1998-10-28,1998,10,28,-3
1998-10-29,1998,10,29,-513
1998-10-30,1998,10,30,-54
1998-10-31,1998,10,31,-50
1998-11-01,1998,11,1,-28
1998-11-02,1998,11,2,-59
1998-11-03,1998,11,3,1
1998-11-04,1998,11,4,-10
1998-11-05,1998,11,5,-36
1998-11-06,1998,11,6,-46
1998-11-07,1998,11,7,-31
1998-11-08,1998,11,8,-62
1998-11-09,1998,11,9,-85
1998-11-10,1998,11,10,-33
1998-11-11,1998,11,11,-56
1998-11-12,1998,11,12,-98
1998-11-13,1998,11,13,-44
1998-11-14,1998,11,14,-18
1998-11-15,1998,11,15,6
1998-11-16,1998,11,16,-9
1998-11-17,1998,11,17,-22
1998-11-18,1998,11,18,-42
1998-11-19,1998,11,19,-66
1998-11-20,1998,11,20,0
1998-11-21,1998,11,21,6
1998-11-22,1998,11,22,-3
1998-11-23,1998,11,23,-3
1998-11-24,1998,11,24,-17
1998-11-25,1998,11,25,1
1998-11-26,1998,11,26,10
1998-11-27,1998,11,27,-12
1998-11-28,1998,11,28,-25
1998-11-29,1998,11,29,-23
1998-11-30,1998,11,30,-10
1998-12-01,1998,12,1,-27
1998-12-02,1998,12,2,-20
1998-12-03,1998,12,3,-86
1998-12-04,1998,12,4,-135
1998-12-05,1998,12,5,-164
1998-12-06,1998,12,6,-110
1998-12-07,1998,12,7,-106
1998-12-08,1998,12,8,-130
1998-12-09,1998,12,9,-161
1998-12-10,1998,12,10,-77
1998-12-11,1998,12,11,-77
1998-12-12,1998,12,12,12
1998-12-13,1998,12,13,0
1998-12-14,1998,12,14,-39
1998-12-15,1998,12,15,-57
1998-12-16,1998,12,16,-42
1998-12-17,1998,12,17,-40
1998-12-18,1998,12,18,-79
1998-12-19,1998,12,19,-111
1998-12-20,1998,12,20,-210
1998-12-21,1998,12,21,-244
1998-12-22,1998,12,22,-183
1998-12-23,1998,12,23,-196
1998-12-24,1998,12,24,-93
1998-12-25,1998,12,25,-33
1998-12-26,1998,12,26,-44
1998-12-27,1998,12,27,-54
1998-12-28,1998,12,28,4
1998-12-29,1998,12,29,-38
1998-12-30,1998,12,30,-42
1998-12-31,1998,12,31,-39
