"date","Year","Month","Day","value"
1973-01-01,1973,1,1,-153
1973-01-02,1973,1,2,-33
1973-01-03,1973,1,3,-163
1973-01-04,1973,1,4,-3
1973-01-05,1973,1,5,-63
1973-01-06,1973,1,6,-163
1973-01-07,1973,1,7,-123
1973-01-08,1973,1,8,-73
1973-01-09,1973,1,9,-103
1973-01-10,1973,1,10,-100
1973-01-11,1973,1,11,-103
1973-01-12,1973,1,12,-113
1973-01-13,1973,1,13,-23
1973-01-14,1973,1,14,-83
1973-01-15,1973,1,15,-53
1973-01-16,1973,1,16,7
1973-01-17,1973,1,17,-53
1973-01-18,1973,1,18,-33
1973-01-19,1973,1,19,-13
1973-01-20,1973,1,20,-143
1973-01-21,1973,1,21,-93
1973-01-22,1973,1,22,-83
1973-01-23,1973,1,23,-53
1973-01-24,1973,1,24,-133
1973-01-25,1973,1,25,-33
1973-01-26,1973,1,26,-13
1973-01-27,1973,1,27,-13
1973-01-28,1973,1,28,-123
1973-01-29,1973,1,29,-123
1973-01-30,1973,1,30,-123
1973-01-31,1973,1,31,-113
1973-02-01,1973,2,1,-87
1973-02-02,1973,2,2,-27
1973-02-03,1973,2,3,-57
1973-02-04,1973,2,4,-187
1973-02-05,1973,2,5,23
1973-02-06,1973,2,6,-17
1973-02-07,1973,2,7,-57
1973-02-08,1973,2,8,-87
1973-02-09,1973,2,9,-27
1973-02-10,1973,2,10,-87
1973-02-11,1973,2,11,-47
1973-02-12,1973,2,12,-57
1973-02-13,1973,2,13,-37
1973-02-14,1973,2,14,13
1973-02-15,1973,2,15,-67
1973-02-16,1973,2,16,-177
1973-02-17,1973,2,17,3
1973-02-18,1973,2,18,-77
1973-02-19,1973,2,19,-127
1973-02-20,1973,2,20,-57
1973-02-21,1973,2,21,-177
1973-02-22,1973,2,22,-57
1973-02-23,1973,2,23,-177
1973-02-24,1973,2,24,-67
1973-02-25,1973,2,25,-37
1973-02-26,1973,2,26,-37
1973-02-27,1973,2,27,-77
1973-02-28,1973,2,28,-27
1973-03-01,1973,3,1,-27
1973-03-02,1973,3,2,-77
1973-03-03,1973,3,3,-7
1973-03-04,1973,3,4,-77
1973-03-05,1973,3,5,-17
1973-03-06,1973,3,6,-57
1973-03-07,1973,3,7,3
1973-03-08,1973,3,8,-37
1973-03-09,1973,3,9,-57
1973-03-10,1973,3,10,-17
1973-03-11,1973,3,11,-17
1973-03-12,1973,3,12,23
1973-03-13,1973,3,13,-57
1973-03-14,1973,3,14,-87
1973-03-15,1973,3,15,3
1973-03-16,1973,3,16,3
1973-03-17,1973,3,17,-17
1973-03-18,1973,3,18,-207
1973-03-19,1973,3,19,-7
1973-03-20,1973,3,20,-47
1973-03-21,1973,3,21,43
1973-03-22,1973,3,22,23
1973-03-23,1973,3,23,-7
1973-03-24,1973,3,24,3
1973-03-25,1973,3,25,-27
1973-03-26,1973,3,26,3
1973-03-27,1973,3,27,23
1973-03-28,1973,3,28,13
1973-03-29,1973,3,29,3
1973-03-30,1973,3,30,-57
1973-03-31,1973,3,31,-27
1973-04-01,1973,4,1,4
1973-04-02,1973,4,2,44
1973-04-03,1973,4,3,-36
1973-04-04,1973,4,4,-6
1973-04-05,1973,4,5,-46
1973-04-06,1973,4,6,14
1973-04-07,1973,4,7,44
1973-04-08,1973,4,8,64
1973-04-09,1973,4,9,44
1973-04-10,1973,4,10,54
1973-04-11,1973,4,11,34
1973-04-12,1973,4,12,14
1973-04-13,1973,4,13,34
1973-04-14,1973,4,14,34
1973-04-15,1973,4,15,-36
1973-04-16,1973,4,16,74
1973-04-17,1973,4,17,54
1973-04-18,1973,4,18,124
1973-04-19,1973,4,19,44
1973-04-20,1973,4,20,64
1973-04-21,1973,4,21,24
1973-04-22,1973,4,22,64
1973-04-23,1973,4,23,54
1973-04-24,1973,4,24,-6
1973-04-25,1973,4,25,84
1973-04-26,1973,4,26,104
1973-04-27,1973,4,27,-26
1973-04-28,1973,4,28,54
1973-04-29,1973,4,29,-6
1973-04-30,1973,4,30,54
1973-05-01,1973,5,1,106
1973-05-02,1973,5,2,76
1973-05-03,1973,5,3,56
1973-05-04,1973,5,4,46
1973-05-05,1973,5,5,76
1973-05-06,1973,5,6,66
1973-05-07,1973,5,7,46
1973-05-08,1973,5,8,76
1973-05-09,1973,5,9,76
1973-05-10,1973,5,10,96
1973-05-11,1973,5,11,86
1973-05-12,1973,5,12,86
1973-05-13,1973,5,13,-4
1973-05-14,1973,5,14,76
1973-05-15,1973,5,15,116
1973-05-16,1973,5,16,66
1973-05-17,1973,5,17,116
1973-05-18,1973,5,18,86
1973-05-19,1973,5,19,86
1973-05-20,1973,5,20,86
1973-05-21,1973,5,21,76
1973-05-22,1973,5,22,46
1973-05-23,1973,5,23,86
1973-05-24,1973,5,24,126
1973-05-25,1973,5,25,76
1973-05-26,1973,5,26,66
1973-05-27,1973,5,27,56
1973-05-28,1973,5,28,66
1973-05-29,1973,5,29,-14
1973-05-30,1973,5,30,56
1973-05-31,1973,5,31,96
1973-06-01,1973,6,1,138
1973-06-02,1973,6,2,78
1973-06-03,1973,6,3,58
1973-06-04,1973,6,4,98
1973-06-05,1973,6,5,108
1973-06-06,1973,6,6,118
1973-06-07,1973,6,7,128
1973-06-08,1973,6,8,100
1973-06-09,1973,6,9,88
1973-06-10,1973,6,10,98
1973-06-11,1973,6,11,108
1973-06-12,1973,6,12,108
1973-06-13,1973,6,13,138
1973-06-14,1973,6,14,158
1973-06-15,1973,6,15,118
1973-06-16,1973,6,16,158
1973-06-17,1973,6,17,98
1973-06-18,1973,6,18,108
1973-06-19,1973,6,19,88
1973-06-20,1973,6,20,128
1973-06-21,1973,6,21,98
1973-06-22,1973,6,22,108
1973-06-23,1973,6,23,98
1973-06-24,1973,6,24,88
1973-06-25,1973,6,25,98
1973-06-26,1973,6,26,128
1973-06-27,1973,6,27,178
1973-06-28,1973,6,28,88
1973-06-29,1973,6,29,118
1973-06-30,1973,6,30,68
1973-07-01,1973,7,1,98
1973-07-02,1973,7,2,148
1973-07-03,1973,7,3,138
1973-07-04,1973,7,4,168
1973-07-05,1973,7,5,158
1973-07-06,1973,7,6,98
1973-07-07,1973,7,7,128
1973-07-08,1973,7,8,118
1973-07-09,1973,7,9,138
