"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"AJ000037947" "TMIN" "1959" "1" "-39" NA NA "-72" "-78" NA "-28" NA NA "-39" "-28" "-28" "-28" NA NA NA NA "-22" "-11" NA NA NA NA NA "-39" NA NA "-22" NA "-11" NA
"AJ000037947" "TMIN" "1959" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-128" NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1959" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "111" NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1959" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "150" NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1960" "2" NA NA NA NA NA "-39" NA NA NA NA NA NA NA NA NA "-39" NA NA NA "22" NA NA "0" NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1960" "8" NA "228" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1960" "10" NA NA "161" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "72" NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1960" "12" NA NA NA NA NA "-22" "-22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1961" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "161" NA NA NA NA
"AJ000037947" "TMIN" "1962" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "50" NA NA NA NA NA
"AJ000037947" "TMIN" "1969" "10" NA "122" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "122" NA NA "100" NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1969" "11" NA NA NA NA NA NA NA NA NA NA "0" NA NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1969" "12" NA NA "22" NA NA NA "11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "11" NA NA NA "-11" "28" NA NA NA NA
"AJ000037947" "TMIN" "1970" "1" "22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1970" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA NA NA NA NA NA "-11" NA NA "11" "11" NA NA NA NA
"AJ000037947" "TMIN" "1970" "3" NA "61" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1970" "4" NA NA NA "61" "128" NA NA NA NA NA NA "100" NA NA NA "78" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1973" "1" NA NA NA NA NA NA NA NA NA NA NA "-70" NA NA NA "-40" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1973" "2" "-180" NA "-100" NA NA NA NA NA NA "-110" NA NA NA "-80" "-60" NA NA NA NA NA NA NA "0" NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1973" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "30" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1973" "4" NA NA "70" "70" NA "50" NA NA NA NA NA NA "60" NA NA NA NA NA NA "70" NA "80" NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1973" "5" NA NA NA NA NA NA NA NA NA "110" NA NA NA NA NA "130" NA "110" NA NA "70" NA NA "120" "120" NA NA NA NA NA NA
"AJ000037947" "TMIN" "1975" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "140" NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1976" "2" NA "-60" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-140" NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1976" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "40" NA NA "0" NA NA "30" NA NA NA NA NA "10" "30" NA "60"
"AJ000037947" "TMIN" "1976" "4" NA NA "40" NA NA "70" NA NA "40" "100" NA NA "80" NA NA "100" "110" NA NA "60" NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1976" "5" NA NA NA NA NA NA "140" "100" NA NA NA NA NA "130" "130" "150" NA NA NA NA NA "140" "130" NA NA NA NA NA NA "130" NA
"AJ000037947" "TMIN" "1976" "6" NA "190" NA NA "180" "200" NA "130" NA NA "130" NA "110" "160" NA NA NA NA NA NA NA "190" NA NA NA NA NA NA "220" NA NA
"AJ000037947" "TMIN" "1976" "7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "230" NA NA NA NA NA NA
"AJ000037947" "TMIN" "1976" "8" NA NA NA "260" "270" NA NA "260" NA NA NA NA "220" NA "260" NA "200" NA "250" NA NA NA NA NA "260" NA NA NA NA NA NA
"AJ000037947" "TMIN" "1976" "9" NA "200" NA "230" NA "240" NA NA "200" NA NA NA NA NA "140" "170" NA NA NA "170" NA "150" NA NA NA "130" "140" NA NA NA NA
"AJ000037947" "TMIN" "1976" "10" "90" NA "110" NA NA NA NA NA NA NA "80" NA NA "150" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1976" "12" NA NA NA NA NA NA NA NA NA NA NA NA "-10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"AJ000037947" "TMIN" "1977" "2" NA NA NA NA NA NA NA NA "20" NA "-20" "0" "0" NA NA NA NA NA NA "-20" NA NA "-50" "-50" NA NA NA NA NA NA NA
