"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"AQC00914397" "TMIN" "1967" "8" "178" "228" "239" "183" "178" "200" "222" "222" "222" "211" "206" "233" "217" "217" "222" "200" "211" "206" "222" "217" "244" "239" "250" "239" "239" "239" "239" "239" "222" "239" "261"
"AQC00914397" "TMIN" "1967" "9" "194" "211" "206" "200" "217" "233" "244" "261" "233" "222" "228" "244" "228" "211" "233" "239" "228" "222" "228" "244" "233" "211" "211" "206" "211" "239" "228" "211" "233" "239" NA
"AQC00914397" "TMIN" "1967" "10" "239" "222" "206" "222" "211" "211" "211" "200" "222" "211" "206" "211" "206" "211" "206" "211" "228" "217" "239" "211" "206" "217" "211" "217" "217" "217" "239" "217" "228" "217" "217"
"AQC00914397" "TMIN" "1967" "11" "217" "217" "222" "222" "222" "222" "222" "206" "211" "228" "222" "200" "211" "211" "217" "211" "217" "200" "211" "211" "194" "200" "206" "233" "206" "194" "206" "211" "206" "222" NA
"AQC00914397" "TMIN" "1967" "12" "206" "206" NA "200" "206" "222" "222" "222" "228" "222" "222" "222" "211" "222" "222" "211" "228" "200" "156" "200" "183" "211" "211" "217" "222" "222" "183" "244" "233" "228" "244"
"AQC00914397" "TMIN" "1968" "1" "200" "194" "189" "178" "178" NA "200" "200" "200" "206" "200" "200" "206" "206" NA NA NA NA NA NA NA NA NA NA "217" "206" "217" "211" "222" "222" "217"
"AQC00914397" "TMIN" "1968" "2" "206" "200" "206" "206" "206" "200" "200" "200" "200" NA "211" "200" "200" "206" "211" "206" "200" "206" "206" "206" "189" "189" "217" "200" "200" "200" "200" "200" "206" NA NA
"AQC00914397" "TMIN" "1968" "3" "200" "200" "200" "206" "200" "211" "206" "200" "200" "200" "211" "194" "189" "189" "211" "194" "189" "206" "200" "189" "200" "200" "200" "189" "194" "194" "189" "194" "183" "172" "183"
"AQC00914397" "TMIN" "1968" "4" "194" "206" "200" "194" "194" "189" "189" "194" "206" "178" "178" "183" "189" "189" "189" "206" "183" "178" "183" "189" "183" "167" "172" "172" "172" "161" "183" "167" "172" "172" NA
"AQC00914397" "TMIN" "1968" "5" "200" "178" "228" "222" "222" "200" "206" "206" "222" "233" "233" "228" "222" "228" "233" "222" "217" "222" "217" "222" "222" "217" "211" "217" "228" "211" "211" "211" "211" "200" "200"
"AQC00914397" "TMIN" "1968" "6" "200" "194" "194" "211" "222" "183" "239" "217" "206" "211" "200" "217" "222" "233" "250" "233" "233" "239" "233" "239" "244" "244" "228" "211" "217" "239" "206" "233" "239" "217" NA
"AQC00914397" "TMIN" "1968" "7" "200" "228" "200" "206" "217" "222" "228" "228" "217" "217" "206" "206" "206" "200" "206" "206" "200" "200" "217" "228" "222" "222" "228" "228" "222" "233" "228" "222" NA "206" "222"
"AQC00914397" "TMIN" "1968" "8" "217" "217" "200" "206" "222" "233" "222" "222" "239" "222" "211" "222" "228" "183" "194" "194" "183" "189" "200" "206" "222" "233" "211" "172" "211" "172" "233" "250" "217" "200" "183"
