"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"BP000091503" "TMIN" "1944" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "235" NA NA
"BP000091503" "TMIN" "1976" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "230" NA NA
"BP000091503" "TMIN" "1983" "4" NA NA "230" NA NA NA NA NA "250" NA "230" NA "250" "240" "240" "240" "250" "240" NA NA NA "240" "240" NA "240" NA "250" "230" NA "240" NA
"BP000091503" "TMIN" "1983" "5" NA "240" "230" "230" "240" "240" "240" NA "240" NA NA "230" "240" "250" "240" NA "240" NA NA "240" "240" NA "140" "250" NA NA NA NA NA NA NA
"BP000091503" "TMIN" "1983" "6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "240" "250" "240" NA "240" "250" NA "250" NA
"BP000091503" "TMIN" "1983" "7" "250" "250" NA NA "240" "230" NA "240" "240" "250" NA "240" NA "240" NA NA NA "240" "230" "230" NA "250" "240" NA NA "240" NA "240" "240" "240" "250"
"BP000091503" "TMIN" "1983" "8" "240" "250" "220" "250" NA "240" "250" NA "240" NA "250" "250" "240" "250" "240" NA "240" NA "250" NA NA NA "240" "240" "250" "230" NA "230" NA "250" "240"
"BP000091503" "TMIN" "1983" "9" NA NA NA "250" "250" "250" "250" "230" "240" NA "230" "250" "250" "240" "240" NA "240" "230" NA "230" NA NA "230" "250" "240" NA NA "240" NA NA NA
"BP000091503" "TMIN" "1983" "10" NA NA "240" "240" "240" "250" "250" NA NA NA NA NA "240" "240" NA NA "240" "240" NA "250" NA NA NA "240" NA "240" "240" "250" "250" "240" NA
"BP000091503" "TMIN" "1983" "11" "240" "250" "230" "240" NA "240" NA NA NA "240" NA NA NA NA NA "240" "240" "240" "240" "240" "240" NA "240" "240" NA "240" NA "240" "240" "240" NA
"BP000091503" "TMIN" "1983" "12" NA NA "240" "240" "240" "240" "250" NA NA "250" "250" NA "240" NA "240" "240" "240" "240" "240" NA "250" "250" NA NA "240" "260" "250" "240" "250" "250" "250"
"BP000091503" "TMIN" "1984" "1" "250" NA "230" NA NA NA NA "240" NA "240" "240" NA "240" NA "240" "240" "240" NA NA NA "240" "240" NA "230" NA "240" NA "230" "250" "240" "250"
"BP000091503" "TMIN" "1984" "2" "250" NA "240" NA NA "240" NA NA "240" "240" NA NA "240" "240" "250" NA "240" "240" NA "240" "240" NA "230" NA NA "250" "240" NA "230" NA NA
"BP000091503" "TMIN" "1984" "3" "240" "230" "240" NA NA "240" "240" "240" NA "240" "240" "230" NA NA "240" NA NA "240" "240" NA NA "230" NA "240" "240" "250" "250" NA NA "240" "250"
"BP000091503" "TMIN" "1984" "4" "230" NA "240" "240" "240" "240" NA "230" "240" "260" "230" "240" "240" NA NA "240" "240" "250" "240" "250" NA NA "240" NA NA NA "240" NA "240" "240" NA
"BP000091503" "TMIN" "1984" "5" "240" "250" NA "240" "240" "240" NA "240" "240" "250" "240" NA "250" NA "240" "230" NA NA "250" "250" "230" "240" "230" "240" "250" "240" "240" "240" "240" NA "250"
"BP000091503" "TMIN" "1984" "6" "240" "240" NA "230" NA "240" "240" "240" "260" NA "240" "240" "230" "230" "230" "220" NA NA "230" "240" NA "230" "240" "240" "230" "250" "240" "230" "240" "240" NA
"BP000091503" "TMIN" "1984" "7" "240" "240" "240" NA "250" "230" "230" "250" "240" NA "240" "240" "240" NA "250" "240" "250" "260" "240" "230" "230" NA NA "240" "230" "230" NA "220" "240" "220" "230"
"BP000091503" "TMIN" "1984" "8" "240" "220" "230" "240" NA NA NA NA NA NA NA NA NA "230" "250" "230" "220" NA "230" "240" "240" NA "240" NA "220" "230" NA NA "230" "230" "230"
