"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"CA006113580" "TMIN" "1966" "1" "-33" "-67" "-17" "-44" "-33" "-106" "-167" "-206" "-211" "-78" "-206" "-295" "-211" "-133" "-211" "-245" "-150" "-111" "-111" "-89" "-61" "-128" "-56" "-89" "-267" "-239" "-189" "-222" "-256" "-211" "-145"
"CA006113580" "TMIN" "1966" "2" "-111" "-139" "-106" "-100" "-211" "-189" "-150" "-78" "-50" "33" "6" "-28" "-33" "-89" "-133" "-72" "-145" "-189" "-239" "-256" "-172" "-128" "-122" "-89" "-56" "-61" "-95" "-28" NA NA NA
"CA006113580" "TMIN" "1966" "3" "-6" "-17" "-56" "-6" "-17" "-56" "-145" "-189" "-61" "0" "-72" "-56" "-22" "-17" "-83" "-78" "-22" "11" "-6" "-17" "-22" "-17" "11" "-6" "-67" "-145" "-161" "-139" "-56" "-11" "-83"
"CA006113580" "TMIN" "1966" "4" "-33" "-78" "-22" "-33" "-17" "-39" "-17" "-28" "-11" "-22" "-28" "0" "6" "11" "-33" "-28" "-17" "44" "67" "89" "39" "-33" "0" "11" "0" "-28" "-44" "-17" "-6" "0" NA
"CA006113580" "TMIN" "1967" "7" "122" "161" "106" "50" "72" "56" "128" "200" "189" "178" "189" "156" "89" "89" "72" "122" "122" "156" "145" "150" "156" "156" "183" "211" "167" "150" "161" "172" "111" "161" "122"
"CA006113580" "TMIN" "1967" "8" "122" "161" "167" "172" "122" "100" "133" "161" "156" "128" "67" "95" "100" "106" "117" "150" "183" "189" "106" "133" "122" "117" "72" "89" "145" "156" "161" "128" "139" "100" "61"
"CA006113580" "TMIN" "1967" "9" "78" "50" "111" "128" "139" "150" "133" "156" "133" "33" "56" "56" "89" "89" "111" "117" "128" "128" "139" "145" "156" "28" "6" "56" "0" "106" "83" "22" "39" "33" NA
"CA006113580" "TMIN" "1967" "10" "39" "61" "167" "95" "117" "17" "-22" "56" "78" "61" "39" "33" "11" "78" "83" "106" "83" "83" "67" "28" "0" "11" "11" "89" "78" "28" "22" "-11" "-6" "33" "39"
"CA006113580" "TMIN" "1967" "11" "56" "72" "33" "0" "-28" "-39" "-56" "-89" "-22" "0" "22" "56" "-39" "-83" "-156" "-156" "-39" "11" "-28" "-72" "-117" "-17" "6" "-22" "-11" "6" "-17" "-61" "-89" "-106" NA
"CA006113580" "TMIN" "1967" "12" "-133" "-78" "-56" "-67" "-56" "-22" "-33" "-28" "-89" "-111" "-44" "11" "0" "-28" "-50" "-67" "-33" "11" "6" "-11" "17" "-28" "-72" "-111" "-122" "-195" "-145" "-117" "-167" "-100" "-89"
"CA006113580" "TMIN" "1968" "1" "-239" "-161" "-78" "-72" "-206" "-139" "-239" "-272" "-272" "-200" "-245" "-217" "-161" "-83" "-150" "-245" "-156" "-39" "-11" "-28" "-50" "-67" "-95" "-200" "-167" "-56" "-39" "-50" "-50" "-22" "-67"
"CA006113580" "TMIN" "1968" "2" "-22" "0" "-72" "-139" "-83" "-95" "-67" "-128" "-111" "-234" "-284" "-256" "-234" "-117" "-133" "-133" "-172" "-183" "-150" "-228" "-250" "-178" "-172" "-178" "-167" "-150" "-106" "-39" "-89" NA NA
"CA006113580" "TMIN" "1968" "3" "-122" "-111" "-183" "-83" "-106" "-128" "-161" "-56" "-6" "-6" "-106" "-111" "-139" "-139" "-39" "22" "-11" "-22" "17" "39" "-17" "-39" "-44" "-100" "-95" "0" "0" "67" "61" "11" "28"
