"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"CD000064753" "TMIN" "1973" "2" NA NA NA NA NA NA NA NA NA NA NA "150" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1973" "4" NA NA NA NA "250" NA NA NA NA NA NA NA NA NA NA NA NA "220" NA NA NA "300" "290" NA "250" NA NA NA NA NA NA
"CD000064753" "TMIN" "1973" "5" NA NA "230" NA "270" "250" "220" NA NA "230" NA NA NA NA NA NA NA NA NA "230" NA NA NA "260" NA NA NA NA "270" NA NA
"CD000064753" "TMIN" "1973" "6" NA "270" NA NA NA "280" NA NA NA NA NA NA NA NA NA "300" NA NA NA NA NA "260" NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1973" "7" NA "230" NA NA NA "220" NA "290" NA NA NA NA NA NA NA NA NA NA NA NA "240" NA NA NA NA "230" NA NA NA NA NA
"CD000064753" "TMIN" "1973" "8" NA NA NA NA "280" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "270" "270" "270" NA NA
"CD000064753" "TMIN" "1973" "9" NA NA "270" "270" "230" "270" NA NA "280" NA "280" NA NA NA NA NA NA "260" NA NA "260" "260" NA NA "260" NA NA "240" "250" NA NA
"CD000064753" "TMIN" "1973" "10" NA NA "240" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" "250" NA NA NA "220" NA NA "210" NA NA "220" NA
"CD000064753" "TMIN" "1973" "11" NA NA NA NA NA NA "150" NA NA NA NA NA NA NA NA NA NA "170" NA "150" NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1973" "12" NA NA NA NA NA NA NA "160" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "1" NA NA NA NA NA NA NA NA NA NA "140" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "150" NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "3" NA NA NA NA NA NA NA NA NA NA "160" NA NA "190" NA "210" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "4" NA NA NA "230" NA NA NA NA NA "210" NA NA NA NA NA NA "180" NA NA "190" "210" NA NA "290" NA "240" NA NA NA NA NA
"CD000064753" "TMIN" "1974" "5" "200" NA NA NA "270" "260" NA NA NA NA NA "260" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "6" NA "270" NA NA NA NA "250" "200" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "280" "270" NA NA NA NA NA
"CD000064753" "TMIN" "1974" "7" "240" NA NA NA NA NA NA NA NA NA NA NA NA "280" NA NA NA NA NA "270" NA NA NA NA NA NA NA NA NA "250" "270"
"CD000064753" "TMIN" "1974" "8" "260" NA NA NA NA "300" "280" "290" NA "280" NA "290" "290" "240" "260" NA NA NA "250" NA "240" NA NA "250" "280" "310" NA NA NA "280" "270"
"CD000064753" "TMIN" "1974" "9" NA NA "270" NA NA NA NA "200" NA NA NA "260" NA "250" NA NA NA "270" NA NA NA NA NA NA NA NA "250" NA NA NA NA
"CD000064753" "TMIN" "1974" "10" NA NA "240" NA NA "220" NA NA NA NA NA NA "240" NA NA NA NA NA "240" "250" NA "240" NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "180" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1974" "12" NA NA NA NA NA NA NA NA NA NA NA "120" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1975" "1" NA NA NA "110" NA NA NA NA NA NA NA NA NA NA "100" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1975" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "230" "210" NA "180" NA NA NA "170" NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1975" "3" NA NA "130" NA NA NA NA NA NA NA NA NA NA NA NA "190" NA NA NA "210" NA NA "190" NA NA NA NA NA NA NA NA
"CD000064753" "TMIN" "1975" "4" NA NA NA NA NA "240" NA NA NA NA NA NA NA NA NA NA NA NA "240" "250" NA NA NA NA NA NA NA NA NA NA NA
