"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"CI000085934" "TMIN" "1963" "7" NA "0" NA NA NA NA NA NA NA NA NA "-22" NA NA NA NA NA "0" NA NA NA NA NA NA NA "-22" "-39" "-39" NA NA NA
"CI000085934" "TMIN" "1963" "8" NA NA NA NA NA NA NA NA NA NA "-61" NA NA NA NA NA NA NA NA "0" NA NA NA NA NA NA "-11" NA NA NA "0"
"CI000085934" "TMIN" "1963" "11" NA NA NA "61" NA NA NA "78" NA NA NA NA NA NA NA NA NA "22" NA NA NA NA NA NA "39" NA NA NA NA NA NA
"CI000085934" "TMIN" "1963" "12" NA NA NA NA NA NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "72" NA NA
"CI000085934" "TMIN" "1964" "3" NA NA NA NA NA NA "28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1964" "4" NA "61" NA NA NA NA NA NA NA NA "50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1964" "5" NA NA NA NA NA NA NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "22" NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1964" "6" NA NA NA NA NA NA NA "-11" NA "-22" "-72" NA NA "-28" NA "11" NA NA NA "-39" NA NA NA "-128" NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1964" "7" "28" "-11" NA "-22" "-50" "11" NA NA NA NA NA "-22" NA NA "-39" NA NA NA NA NA NA "-11" NA "0" NA NA NA NA NA "-28" NA
"CI000085934" "TMIN" "1964" "8" NA NA NA NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA "-22" "11" NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1964" "9" NA NA NA "-39" NA "-89" NA NA NA "11" NA "11" NA NA "0" NA NA "-11" NA NA NA "39" NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1964" "10" NA "22" "22" "50" "28" "-11" NA NA "22" NA NA "50" NA "39" NA "39" NA NA NA "22" NA "61" NA NA NA "11" "0" NA NA "22" NA
"CI000085934" "TMIN" "1964" "11" "61" NA NA "61" NA NA "39" NA NA "28" NA NA NA NA NA NA NA NA "50" NA NA "50" NA "-28" NA "39" NA NA NA "72" NA
"CI000085934" "TMIN" "1964" "12" "28" NA "11" NA NA "78" "39" NA NA "22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1965" "2" NA NA NA NA NA NA "39" NA NA NA NA NA NA NA NA "89" NA NA NA NA NA NA NA NA "39" NA NA NA NA NA NA
"CI000085934" "TMIN" "1965" "3" NA NA NA NA NA "-11" NA NA NA NA NA "39" NA NA NA NA NA NA NA NA NA NA "78" "89" NA "78" "72" NA "39" "72" NA
"CI000085934" "TMIN" "1965" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "39" NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1965" "5" NA NA "22" NA NA NA "39" NA NA "-11" NA "0" NA NA NA "-28" "-28" NA NA NA NA NA "0" NA NA NA "11" "-22" NA NA NA
"CI000085934" "TMIN" "1965" "6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-61" NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1965" "7" "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-11" "0" NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1965" "8" NA NA NA NA NA NA NA "22" NA NA NA NA "28" NA NA NA NA NA NA NA NA NA NA NA "22" "-11" NA NA NA NA NA
"CI000085934" "TMIN" "1965" "9" NA NA NA NA NA NA NA NA NA NA NA "22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1965" "12" NA "72" NA NA NA NA "39" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CI000085934" "TMIN" "1966" "4" NA NA NA NA NA NA "39" "0" NA NA "-11" "50" NA NA "11" "0" NA "22" NA "78" "78" NA NA NA NA "0" "28" "28" NA "22" NA
"CI000085934" "TMIN" "1966" "5" NA NA "61" NA NA "22" NA NA "50" NA "28" "28" "22" "28" "-28" NA "11" "11" "-39" "-72" NA NA NA "0" "0" "0" NA "0" NA "-28" "11"
"CI000085934" "TMIN" "1966" "6" "22" NA NA "28" NA NA NA "50" "0" NA NA NA NA "-78" NA "-100" "-78" "-39" NA NA "-22" "-11" NA NA NA NA "-28" NA "-11" NA NA
"CI000085934" "TMIN" "1966" "7" "-72" NA "-78" "-128" NA "-39" NA NA "0" NA NA NA NA "-61" "28" "22" NA "-39" NA "-72" "-61" NA "-61" "-89" "-122" "-28" "-22" "-22" "28" "11" "11"
"CI000085934" "TMIN" "1966" "8" NA "0" "0" "28" "28" "11" NA "22" "-50" NA NA "-39" "22" "-11" NA "-11" "-28" "-61" "-28" NA "11" "11" NA NA "-22" "-22" "0" "0" NA "0" NA
"CI000085934" "TMIN" "1966" "9" NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-50" "11" NA NA NA NA "-22" NA "11" NA NA NA NA NA NA
"CI000085934" "TMIN" "1966" "10" "-39" "0" "-28" "22" "61" "28" "22" "22" "11" "-28" NA NA NA NA "0" NA NA NA NA NA NA NA NA "11" NA NA "22" NA NA NA NA
"CI000085934" "TMIN" "1966" "11" NA "-28" "72" NA NA NA NA "39" NA NA "0" NA NA NA "61" "28" NA NA NA "11" NA NA "72" "89" "28" NA "61" NA NA NA NA
