"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"CO000080001" "TMIN" "1965" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA NA NA "250" NA NA
"CO000080001" "TMIN" "1965" "5" "250" "250" "250" "250" "261" "261" NA "261" "250" "228" "250" "228" "239" "250" "261" "250" NA "228" "261" "250" "261" NA NA NA "261" "228" "250" NA "250" "239" "239"
"CO000080001" "TMIN" "1965" "6" NA "261" NA "272" "250" NA NA "261" "228" "250" "250" NA NA "272" "261" "272" "261" NA "250" "250" "250" NA NA NA NA "239" "239" NA "250" "239" NA
"CO000080001" "TMIN" "1965" "7" "250" "261" "250" "239" "261" NA "250" NA "261" NA NA NA NA NA NA "272" "261" "250" NA NA "250" "261" NA "261" NA "261" "261" NA NA NA "250"
"CO000080001" "TMIN" "1965" "8" NA "250" "261" "261" "250" "250" NA "261" NA NA "261" "250" NA "261" "239" "261" NA "239" "239" NA NA "250" "272" NA NA "250" NA "250" NA NA "239"
"CO000080001" "TMIN" "1965" "9" NA "239" "250" NA NA NA "250" "261" "239" NA NA "272" NA "228" "250" "250" "261" NA "250" "250" NA NA "239" NA NA NA NA NA "261" NA NA
"CO000080001" "TMIN" "1965" "10" NA "272" NA "261" "228" "272" NA NA NA NA "272" "228" "228" "250" NA "261" "261" NA "261" NA NA "228" NA "261" NA NA "250" NA NA NA NA
"CO000080001" "TMIN" "1965" "11" NA "250" "250" NA NA NA "250" NA NA "250" NA NA NA NA NA "272" NA NA NA NA NA "228" NA "250" "239" NA NA "239" "239" NA NA
"CO000080001" "TMIN" "1965" "12" NA NA "250" NA NA NA "250" "261" "222" NA NA "250" "239" "261" NA NA "228" NA NA "261" NA NA NA NA NA "250" NA "250" NA "239" "250"
"CO000080001" "TMIN" "1966" "1" "250" NA "239" "261" NA "250" "250" NA NA NA NA NA "250" "211" NA NA "250" "250" NA "239" NA NA NA NA "250" NA NA "211" "250" "250" NA
"CO000080001" "TMIN" "1966" "2" NA NA NA "250" NA NA NA NA NA NA NA NA NA "239" NA NA NA "250" "239" NA NA NA NA "261" "239" "261" "250" NA NA NA NA
"CO000080001" "TMIN" "1966" "3" NA NA NA NA NA "250" NA NA "211" "250" NA "250" NA NA NA "250" NA NA "228" "250" NA NA NA "250" NA "250" "250" "261" NA NA NA
"CO000080001" "TMIN" "1966" "5" "250" "222" "250" "239" "250" "250" "250" "261" NA "239" "261" "261" "228" "261" "272" "261" "250" "261" "250" "250" NA NA NA NA "239" "228" "239" "239" "250" "250" "261"
"CO000080001" "TMIN" "1966" "6" "250" "250" "228" "239" "272" "272" NA "272" "250" "250" "250" "261" "250" NA NA "239" "200" "250" NA "239" NA "239" "250" "250" NA "261" "239" "239" NA "261" NA
"CO000080001" "TMIN" "1966" "7" "261" "261" "272" "261" "261" "250" NA "250" "261" "250" "261" NA "228" NA "239" "261" "250" "261" "261" "250" NA "250" "228" NA "261" "250" "261" "272" "239" NA NA
"CO000080001" "TMIN" "1966" "8" "228" NA "261" "250" "250" "250" "261" "272" NA NA NA "261" "272" "272" NA "239" NA "222" NA "261" "272" NA "261" "250" NA "228" "250" "239" "250" "250" "272"
"CO000080001" "TMIN" "1966" "9" "272" "272" NA "272" "272" NA "261" "261" "250" NA "250" NA NA NA "211" "261" "261" "261" NA "239" NA "250" "250" NA "261" NA NA "250" "239" "239" NA
"CO000080001" "TMIN" "1966" "10" NA NA NA NA "261" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"CO000080001" "TMIN" "1966" "11" "250" NA NA "250" "250" "239" "228" "239" "261" NA "239" "228" "250" NA NA "228" "239" "228" "261" "261" "250" "261" NA "228" "250" NA "261" NA "239" NA NA
"CO000080001" "TMIN" "1966" "12" NA NA NA "222" "239" "239" "250" "250" "239" "250" "228" "250" NA "228" "239" "250" "239" "239" "222" "228" "239" NA "250" "228" "250" "250" NA "250" "239" NA NA
"CO000080001" "TMIN" "1967" "1" "261" "250" NA "261" NA NA "250" "250" "239" "250" "239" "239" NA "239" "261" "261" "239" "222" "228" "239" "250" "239" "239" NA NA "239" "250" NA "222" "228" "239"
"CO000080001" "TMIN" "1967" "2" "228" "250" "250" "239" NA "250" "211" "239" "228" "228" "250" NA "228" "228" NA "239" "250" NA "239" NA "239" "239" NA NA NA NA NA NA NA NA NA
"CO000080001" "TMIN" "1967" "3" NA NA NA "261" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "228" NA NA "211" NA NA "239" NA "228" "250" NA NA NA
"CO000080001" "TMIN" "1967" "4" NA NA NA NA "250" NA "250" "222" NA NA NA NA NA "272" "239" "239" NA NA "250" "239" "250" NA NA "250" "250" NA NA NA "250" "250" NA
"CO000080001" "TMIN" "1967" "5" "250" "250" NA NA "250" "250" "250" NA NA "239" "250" NA "239" NA "261" "239" NA "228" "228" "239" NA "261" "261" NA "250" "261" "250" "250" "250" NA NA
"CO000080001" "TMIN" "1967" "6" NA "250" NA "239" "239" "250" "239" NA "239" "239" "250" NA "239" "250" NA "239" "228" NA NA "239" "272" "239" "272" NA "239" "239" "272" "239" "261" NA NA
"CO000080001" "TMIN" "1967" "7" "239" NA NA NA NA NA "239" "272" NA "261" "239" "239" "261" NA "239" "239" "228" "239" NA "261" "239" "261" NA "239" "239" "261" "200" NA "261" NA "239"
"CO000080001" "TMIN" "1967" "8" NA "272" "250" "250" "222" "261" "261" NA "250" "228" "228" "228" NA NA "228" "250" "250" NA "239" "239" "261" "239" NA "239" "250" NA "261" "261" NA "239" "261"
"CO000080001" "TMIN" "1967" "9" NA "228" NA "250" "261" NA NA "228" "222" "239" "250" "261" NA "239" "239" NA NA NA "228" "228" "250" NA "228" NA "250" "239" NA NA NA NA NA
"CO000080001" "TMIN" "1967" "10" "250" NA "228" "261" "261" "250" "250" "239" "250" "228" NA "239" "250" "250" "228" "250" "239" "239" "250" "239" NA NA "239" "250" "239" "250" "239" "250" "239" "250" "250"
"CO000080001" "TMIN" "1967" "11" "239" "228" NA "272" NA "272" "239" NA NA "239" NA "228" NA "261" NA "261" "250" "239" NA "239" "228" "228" "250" "239" NA "239" "250" NA "239" NA NA
"CO000080001" "TMIN" "1967" "12" "250" "239" NA NA NA NA NA NA NA NA NA NA NA NA "250" "222" "239" "250" NA "261" "239" "228" "250" "239" "239" "228" "228" NA "239" "250" "228"
"CO000080001" "TMIN" "1968" "1" NA NA "222" "228" NA "250" "228" NA "222" NA "228" "261" "228" "239" "228" "239" "239" "239" "228" "239" "228" NA "228" "228" NA NA NA "250" "228" "239" "239"
"CO000080001" "TMIN" "1968" "2" NA "250" "228" "239" "239" NA "228" "222" "239" NA "239" NA "239" "250" NA NA NA "250" NA NA "222" "239" NA "239" "250" "239" "239" "239" "239" NA NA
"CO000080001" "TMIN" "1968" "3" "239" "239" NA NA NA NA NA "250" "239" "228" "228" "228" "250" "250" "239" "239" "250" "239" "250" "239" "239" "250" "239" "239" "228" "250" "239" "239" "250" "239" "261"
"CO000080001" "TMIN" "1968" "4" "250" "239" NA "239" "239" "250" "239" NA NA NA "239" "239" "239" "239" "239" "239" NA "200" "250" "228" "250" "250" "250" "239" "250" "239" "239" "239" "250" "228" NA
"CO000080001" "TMIN" "1968" "5" "261" "239" "239" NA "239" "261" "250" "250" "228" NA "239" "239" "250" "239" "250" NA "239" "239" "239" "239" "250" "250" "239" "250" "250" "239" NA "250" "239" "228" "228"
"CO000080001" "TMIN" "1968" "6" NA "239" NA NA "239" "239" "239" "228" "250" "239" "211" NA "239" "228" "261" "239" NA NA NA NA NA NA NA NA "272" NA NA NA NA NA NA
"CO000080001" "TMIN" "1968" "7" NA "250" "239" "239" NA "261" "250" NA "250" NA NA "239" "250" "261" "261" "239" "239" NA "239" NA "239" "239" "250" NA "239" "261" "261" "239" "272" "261" "239"
"CO000080001" "TMIN" "1968" "8" "261" NA "239" "228" "239" "250" "261" "239" "239" "250" "250" "239" NA "250" "239" "250" "228" "239" "228" "239" NA "228" "250" NA "250" "261" "239" "239" "239" "250" "239"
"CO000080001" "TMIN" "1968" "9" NA "228" "239" "250" "239" "228" "239" "239" "228" "250" "239" "239" "250" "239" NA "239" "239" "228" "239" "239" "250" NA NA "239" "239" "228" "261" NA "239" NA NA
"CO000080001" "TMIN" "1968" "10" "272" NA NA "228" "261" NA "261" "250" "239" NA NA NA NA NA NA NA "228" "228" "222" NA "239" NA NA "239" NA NA "239" "261" "250" "239" NA
"CO000080001" "TMIN" "1968" "11" "250" NA "239" NA "239" NA NA "239" NA "211" "228" NA "239" "239" NA NA NA "250" "222" "250" NA "250" NA "228" NA "239" "250" "261" NA "239" NA
"CO000080001" "TMIN" "1968" "12" NA "239" "239" "211" "239" "228" NA "239" "211" "222" NA NA "239" "239" "239" NA NA "239" "250" "239" "250" "250" NA "250" NA NA "239" NA NA NA "261"
"CO000080001" "TMIN" "1969" "1" NA NA NA NA NA "250" "239" "250" "239" NA "239" "239" NA "250" "222" "250" "250" NA NA "250" "228" "239" "228" NA NA "250" "239" "250" "228" NA NA
"CO000080001" "TMIN" "1969" "2" "239" "228" "228" NA "211" "228" NA "250" NA NA "239" "250" NA "239" NA NA "222" "239" "239" NA "250" "239" NA NA NA NA NA NA NA NA NA
"CO000080001" "TMIN" "1969" "3" NA NA NA NA "250" NA NA NA NA NA "250" "261" NA NA "261" "250" NA "261" "250" "239" "239" "261" "250" "261" "250" "250" "272" "261" "239" "250" "261"
"CO000080001" "TMIN" "1969" "4" "239" "250" "239" "261" "261" "272" "261" NA NA "261" "250" NA "250" NA NA "261" "261" NA NA "261" "250" "272" "261" "239" "239" "272" NA NA "272" NA NA
"CO000080001" "TMIN" "1969" "5" "272" "250" "239" "250" "250" NA NA "250" "272" NA "250" NA NA "250" NA NA NA NA NA "272" "250" NA NA NA "272" NA "239" NA "272" NA NA
"CO000080001" "TMIN" "1969" "6" NA NA NA NA NA "228" NA "228" NA "239" NA "239" NA "239" "250" NA NA "239" NA "250" "228" NA "239" "239" "250" NA "239" NA NA NA NA
"CO000080001" "TMIN" "1969" "7" "228" NA "250" NA "239" "250" "228" NA "250" NA "239" NA "250" NA NA "239" "250" NA NA "261" NA NA NA NA NA NA "272" NA NA NA NA
"CO000080001" "TMIN" "1969" "8" "239" NA NA "250" "239" NA NA "261" "239" NA NA NA NA NA NA "250" NA NA NA NA NA NA "250" NA NA NA NA NA NA "250" "261"
"CO000080001" "TMIN" "1969" "9" "250" NA "239" "250" NA NA NA NA NA NA NA NA "261" "250" "228" NA NA "222" NA "239" NA "250" NA "239" NA "272" NA "250" "239" "228" NA
"CO000080001" "TMIN" "1969" "10" NA NA NA "239" NA NA NA "228" "239" NA "239" "250" "250" "239" "239" "228" NA "250" "261" "239" "261" "250" "250" "222" "250" "239" NA "239" "250" "239" "239"
"CO000080001" "TMIN" "1969" "11" NA "250" "239" "250" "250" "250" NA NA NA NA NA "250" NA NA NA NA NA NA "222" NA "239" NA "239" "250" "261" "239" "239" NA "239" NA NA
"CO000080001" "TMIN" "1969" "12" "239" "261" NA "239" NA NA "222" NA "250" NA NA NA NA NA NA "239" "228" "250" NA NA NA NA NA "250" "261" NA NA NA NA "250" NA
"CO000080001" "TMIN" "1970" "1" "239" NA NA NA NA NA NA "250" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA NA NA NA NA NA "239"
"CO000080001" "TMIN" "1970" "2" NA NA NA NA "222" "228" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA NA NA NA NA NA NA
"CO000080001" "TMIN" "1970" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA "261"
"CO000080001" "TMIN" "1970" "4" "250" "261" NA NA NA NA NA "239" NA NA "250" NA "250" NA "250" NA NA NA NA NA "272" NA NA "228" NA NA NA NA "250" "250" NA
"CO000080001" "TMIN" "1970" "5" NA "261" "261" NA NA NA "261" NA NA "239" NA NA NA "239" NA NA "239" NA NA "239" "250" "239" "250" NA NA NA NA NA NA NA NA
"CO000080001" "TMIN" "1970" "6" "239" NA "250" "261" NA "250" NA "261" NA NA "261" "250" "239" NA NA NA NA NA NA NA NA NA "261" "250" NA NA NA NA NA "228" NA
