"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"DRW00011650" "TMIN" "1965" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA "217" "222" "222" "217" "211" "222" "222" "222" "222" "222" "228" "217" "228" "217" "217" "217" "233" "233"
"DRW00011650" "TMIN" "1965" "6" "233" "233" "228" "228" "228" "228" "228" "228" "222" "233" "222" "211" "228" "239" "233" "239" "233" "228" "228" "244" "228" "233" "222" "233" "233" "228" "228" "222" "228" "222" NA
"DRW00011650" "TMIN" "1965" "7" "233" "233" "233" "239" "233" "233" "228" "222" "233" "228" "233" "239" "233" "233" "233" "222" "228" "233" "233" "239" "239" "228" "233" "233" "233" "228" "233" "228" "222" "233" "228"
"DRW00011650" "TMIN" "1965" "8" "222" "239" "233" "222" "222" "233" "228" "222" "228" "228" "222" "222" "228" "222" "228" "239" "244" "233" "239" "222" "239" "222" "222" "233" "233" "228" "233" "239" "239" "239" "228"
"DRW00011650" "TMIN" "1965" "9" "233" "239" "233" "233" "228" "228" "228" "228" "228" "233" "228" "228" "228" "239" "228" "233" "222" "222" "222" "222" "228" "228" "222" "239" "233" "233" "222" "217" "233" "233" NA
"DRW00011650" "TMIN" "1965" "10" "228" "228" "228" "222" "233" "228" "233" "239" "239" "239" "228" "233" "222" "222" "217" "222" "211" "222" "222" "222" "211" "228" "228" "222" "233" "222" "228" "233" "222" "222" "228"
"DRW00011650" "TMIN" "1965" "11" "228" "222" "222" "222" "222" "222" "211" "228" "211" "211" "217" "222" "222" "211" "211" "200" "206" "200" "217" "217" "211" "211" "222" "222" "211" "200" "211" "206" "194" "194" NA
"DRW00011650" "TMIN" "1965" "12" "211" "194" "211" "200" "200" "194" "211" "222" "206" "194" "206" "206" "206" "211" "200" "206" "200" "200" "217" "200" "222" "189" "200" "206" "178" "183" "200" "206" "211" "211" "206"
"DRW00011650" "TMIN" "1966" "1" "200" "200" "211" "217" "206" "211" "211" "200" "194" "194" "194" "206" "189" "194" "206" "211" "217" "211" "211" "206" "211" "200" "211" "200" "183" "189" "206" "206" "189" "211" "206"
"DRW00011650" "TMIN" "1966" "2" "194" "189" "189" "206" "200" "183" "183" "167" "161" "161" "167" "183" "178" "194" "200" "200" "206" "200" "200" "206" "200" "200" "200" "206" "194" "194" "211" "200" NA NA NA
"DRW00011650" "TMIN" "1966" "3" "194" "189" "211" "200" "200" "200" "211" "183" "194" "183" "206" "200" "194" "200" "200" "211" "222" "222" "200" "183" "183" "189" "183" "183" "206" "217" "222" "222" "228" "206" "228"
"DRW00011650" "TMIN" "1966" "4" "211" "200" "200" "222" "211" "217" "211" "222" "206" "211" "228" "222" "228" "222" "222" "228" "228" "222" "222" "222" "222" "200" "189" "189" "194" "189" "189" "217" "222" "211" NA
"DRW00011650" "TMIN" "1966" "5" "200" "211" "217" "217" "211" "206" "211" "222" "233" "239" "217" "233" "222" "228" "222" "228" "222" "217" "222" "228" "228" "217" "233" "228" "228" "228" "233" "233" "222" "233" "217"
"DRW00011650" "TMIN" "1966" "6" "222" "217" "222" "222" "222" "217" "228" "228" "228" "233" "228" "228" "228" "222" "228" "228" "222" "222" "217" "239" "228" "228" "228" "233" "228" "244" "228" "222" "222" "239" NA
"DRW00011650" "TMIN" "1966" "7" "233" "233" "222" "233" NA "222" "228" "222" "228" "228" "228" "228" "233" "239" "233" "244" "233" "233" "239" "239" "239" "228" "222" "228" "228" "228" "217" "233" "233" "239" "233"
"DRW00011650" "TMIN" "1966" "8" "239" "239" "222" "228" "228" "233" "228" "228" "239" "228" "233" "233" "228" "233" "222" "228" "239" "239" "228" "228" "233" "233" "244" "233" "239" "239" "239" "256" "256" "228" "228"
"DRW00011650" "TMIN" "1966" "9" "233" "239" "228" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
