"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"EGE00147724" "TMIN" "1919" "12" NA NA NA "60" NA NA NA NA NA NA "40" "70" "50" "60" "50" NA NA "80" "50" NA NA NA NA NA NA "30" NA NA NA NA NA
"EGE00147724" "TMIN" "1920" "1" NA "20" NA NA NA NA NA "40" "110" "80" "100" NA "90" "100" "90" "90" NA "80" "90" "100" "110" "100" "90" "90" NA NA NA NA "100" "100" "110"
"EGE00147724" "TMIN" "1920" "2" "110" "100" "100" "100" "110" "90" "100" "100" "90" "90" "60" "80" "100" "90" "110" "100" "100" "100" "100" "100" "100" "100" "120" NA "80" "90" "90" "90" "70" NA NA
"EGE00147724" "TMIN" "1920" "3" "70" "90" "90" "100" NA "100" "110" "100" "110" "130" "120" "130" "110" "120" "120" "130" "140" "140" "130" NA "120" "90" "90" "100" "50" "120" "140" NA NA "110" "140"
"EGE00147724" "TMIN" "1920" "4" "140" "170" "140" "150" "150" "120" "130" NA "120" "140" "130" "120" "120" "120" NA "120" NA "140" "110" "140" NA NA "140" NA NA NA NA NA NA NA NA
"EGE00147724" "TMIN" "1924" "1" "70" "70" "60" "60" "60" "60" "60" "60" "60" "70" "70" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "60" "30" "30" "30" "30"
"EGE00147724" "TMIN" "1924" "2" "30" "30" "30" "30" "30" "30" "90" "90" "50" "50" "50" "50" "50" "50" "50" "50" "50" "50" NA "100" "100" "100" "100" "100" "100" "80" "70" "70" "130" NA NA
"EGE00147724" "TMIN" "1924" "3" "80" "80" "70" "120" "120" "140" "140" "140" "140" "90" "90" "120" "120" "80" "80" "110" "120" "90" "90" "100" "90" "110" "110" "130" "110" "140" "140" "150" "140" "150" "150"
"EGE00147724" "TMIN" "1924" "4" "140" "140" "160" "140" "140" "120" "110" "150" "180" "160" "110" "120" "150" "130" "110" "120" "110" "130" NA "160" NA "140" "170" NA "150" "120" "120" "150" "150" "170" NA
"EGE00147724" "TMIN" "1924" "5" "150" "150" "150" "140" "150" "150" "160" "160" "170" "170" "180" "180" "180" "180" "180" "150" "150" "150" "160" NA "170" "160" "160" "150" "170" "180" "170" "180" "200" "200" "200"
"EGE00147724" "TMIN" "1924" "6" "190" "200" "180" "190" "170" "190" "200" "220" "200" "190" "210" "190" "190" "190" "210" "240" "230" "210" "200" "200" "200" "200" "220" "200" "210" "210" "200" "210" "220" "210" NA
"EGE00147724" "TMIN" "1924" "7" "210" "210" "210" "210" "220" "220" "220" "230" "240" "230" "220" "220" "230" "230" "200" "210" "230" "220" "200" "200" "220" "230" "220" "200" "210" "220" "230" "220" "220" "210" "200"
"EGE00147724" "TMIN" "1924" "8" "220" "220" "210" "200" "210" "230" "230" "220" "210" NA "210" "220" "210" "220" "220" "200" "210" "230" "220" "210" "210" "220" "220" "230" "220" "240" "240" "220" "220" "240" "210"
"EGE00147724" "TMIN" "1924" "9" "200" "210" "200" "210" "220" "220" "240" "230" NA "230" "230" "170" "200" "200" "210" "210" "210" "210" "210" NA "210" "160" "120" NA "190" "190" "190" "210" "220" "190" NA
"EGE00147724" "TMIN" "1924" "10" "210" "200" "200" "210" "200" NA "190" "210" "210" "220" "230" "200" "190" "200" "220" "190" "200" "210" "170" "190" "220" "150" "190" "190" "190" "180" NA "190" "180" "170" "160"
"EGE00147724" "TMIN" "1924" "11" "170" "160" "160" "170" "180" NA "160" "160" "170" "160" "160" "170" "150" NA "140" "140" "150" "140" "120" "150" "150" "90" "100" NA NA NA NA "110" "120" "110" NA
