"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"FMC00914761" "TMIN" "1986" "9" "239" "256" "250" "244" "239" "239" "239" "250" "244" "239" "211" "233" "228" "217" "239" "239" "244" "239" "233" "222" "256" "267" "261" "244" "244" "244" "228" "233" "217" "217" NA
"FMC00914761" "TMIN" "1986" "10" "228" "256" "250" "267" "250" "233" "233" "250" "244" "256" "239" "239" "239" "239" "233" "233" "244" "244" "244" "244" "239" "239" "250" "239" "239" "239" NA "250" "233" "239" "239"
"FMC00914761" "TMIN" "1986" "11" "244" "233" "206" "250" "239" "256" "261" "233" "256" "250" "250" "233" "233" "239" "233" "239" "250" "250" "244" "250" "244" "239" "239" "239" "244" "244" "250" "239" "244" "244" NA
"FMC00914761" "TMIN" "1986" "12" "228" "222" "233" "239" "244" "244" "244" "239" "239" "233" "239" "239" "250" "244" "233" "233" "239" "256" "239" "250" "256" "239" NA "239" "239" "250" "250" "239" "250" "239" "250"
"FMC00914761" "TMIN" "1987" "1" "239" "233" "244" "239" "239" "239" "244" "239" "239" "256" "239" "244" "222" "244" "239" "250" "250" "256" "244" "244" "244" "250" "250" "250" "250" "256" "244" "233" "239" "261" "250"
"FMC00914761" "TMIN" "1987" "2" "250" "239" "244" "244" "244" "233" "239" "256" "256" "239" "256" "261" "250" "239" "256" "239" "256" "244" "256" "250" "261" "244" "250" "250" "244" "239" "250" "239" NA NA NA
"FMC00914761" "TMIN" "1987" "3" "239" "250" "244" "250" "239" "233" "244" "250" "261" "250" "239" "250" "244" "244" "239" "239" "222" "239" "250" "233" "239" "250" "244" "244" "244" "239" "244" "239" "250" "244" NA
"FMC00914761" "TMIN" "1987" "4" "244" "250" "250" "267" "250" "239" "233" "239" "239" "239" "250" "256" "239" "244" "244" "239" "244" "250" "244" "244" "239" "239" "256" "239" "256" "233" "244" "250" "239" "244" NA
"FMC00914761" "TMIN" "1987" "5" "239" "267" "222" "256" "239" "250" "244" "256" "250" "244" "250" "261" "233" "250" "250" "256" "239" "244" "250" "239" "244" "250" "250" "239" "239" "261" "261" "244" "233" "239" "250"
"FMC00914761" "TMIN" "1987" "6" "261" "250" "267" "250" "228" "244" "250" "250" "250" "250" NA "244" "233" "239" "250" "244" "261" "244" "250" "244" "228" "239" "239" "250" "239" "261" "239" "239" "256" "239" NA
"FMC00914761" "TMIN" "1987" "7" "239" "233" "233" "233" "239" "244" "233" "222" "250" "261" "261" "250" "233" "239" "239" "244" "244" "239" "233" "244" "261" "261" "261" "239" "250" "250" "250" "244" "250" "250" "250"
"FMC00914761" "TMIN" "1987" "8" "244" "239" "239" "233" "233" "233" "239" "233" "244" "244" "239" "239" "239" "244" "250" "244" "250" "250" "239" "233" "244" "233" "228" "244" "244" "239" "250" "250" "233" "228" "239"
"FMC00914761" "TMIN" "1987" "10" "250" "244" "239" "244" "239" "239" "256" "244" "250" "256" "239" "250" "244" "256" "250" NA "239" "250" "244" "244" "244" "256" "267" "261" "256" "250" "261" "250" "239" "250" "250"
"FMC00914761" "TMIN" "1987" "11" "250" "244" "244" "250" "244" "250" "250" "244" "244" "244" "250" "250" "233" "256" "244" "244" "244" "239" "267" "228" "228" "239" "239" "233" "239" "239" "261" "256" "244" "250" NA
"FMC00914761" "TMIN" "1987" "12" "239" "261" "244" "256" "250" "261" "267" "261" "239" "244" "239" "261" "239" "244" "261" "256" "239" "267" "250" "244" "244" "256" "239" "250" "244" "250" "261" "261" "250" "256" "256"
"FMC00914761" "TMIN" "1988" "1" "239" "250" "239" "250" "256" "239" "244" "256" "244" "244" "250" "239" "256" "256" "261" "250" "239" "250" "239" "250" "239" "250" "261" "261" "261" "244" "244" "239" "250" "256" "261"
"FMC00914761" "TMIN" "1988" "2" "261" "239" "244" "261" "250" "250" "244" "244" "244" "244" "244" "261" "261" "261" "261" "250" "239" "250" "256" "250" "244" "250" "233" "233" "244" "250" "250" "250" "261" NA NA
"FMC00914761" "TMIN" "1988" "3" "239" "233" "256" "256" "267" "250" "261" "250" "256" "239" "244" "261" "250" "250" "244" "256" "267" "261" "261" "250" "272" "256" "267" "239" "261" "250" "244" "239" "244" "250" "256"
"FMC00914761" "TMIN" "1988" "4" "244" "250" "239" "261" "239" "261" "250" "261" "261" "239" "239" "239" "261" "239" "244" "250" "250" "250" "239" "261" "239" "256" "239" "261" "239" "256" "239" "261" "256" "267" NA
