"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"FMW00040308" "TMIN" "1951" "7" "250" "244" "244" "233" "228" "233" "233" "244" "239" "239" "250" "244" "244" "233" "250" "233" "244" "244" "250" "239" "239" "233" "256" "256" "261" "233" "233" "250" "233" "239" "233"
"FMW00040308" "TMIN" "1951" "8" "239" "228" "239" "250" "250" "239" "244" "244" "233" "250" "250" "228" "250" "239" "222" "256" "250" "244" "244" "239" "244" "244" "239" "250" "239" "244" "222" "250" "256" "250" "233"
"FMW00040308" "TMIN" "1951" "9" "233" "233" "239" "239" "244" "244" "244" "244" "244" "250" "250" "250" "250" "244" "250" "239" "256" "239" "222" "233" "256" "250" "244" "250" "256" "250" "250" "239" "244" "244" NA
"FMW00040308" "TMIN" "1951" "10" "250" "239" "244" "250" "250" "244" "244" "250" "228" "228" "239" "233" "239" "222" "211" "244" "250" "244" "239" "239" "250" "244" "244" "244" "239" "244" "239" "244" "244" "244" "244"
"FMW00040308" "TMIN" "1951" "11" "250" "250" "250" "244" "244" "244" "267" "250" "261" "239" "261" "244" "256" "250" "250" "250" "244" "261" "261" "250" "239" "244" "267" "261" "239" "233" "250" "244" "250" "244" NA
"FMW00040308" "TMIN" "1951" "12" "250" "250" "256" "244" "244" "233" "256" "267" "239" "233" "244" "239" "244" "244" "244" "244" "250" "239" "244" "250" "244" "244" "217" "222" "244" "233" "233" "261" "244" "261" "244"
"FMW00040308" "TMIN" "1952" "1" "244" "250" "244" "250" "239" "244" "228" "239" "239" "244" "250" "250" "250" "233" "244" "239" "250" "228" "228" "233" "250" "256" "256" "244" "244" "250" "250" "244" "239" "261" "233"
"FMW00040308" "TMIN" "1952" "2" "233" "239" "250" "256" "250" "244" "239" "233" "256" "244" "244" "256" "250" "250" "256" "256" "256" "239" "233" "239" "250" "233" "239" "233" "233" "256" "250" "239" "239" NA NA
"FMW00040308" "TMIN" "1952" "3" "244" "222" "239" "250" "250" "250" "244" "244" "250" "250" "244" "239" "256" "256" "256" "239" "250" "233" "228" "228" "261" "250" "256" "261" "261" "256" "239" "256" "239" "244" "256"
"FMW00040308" "TMIN" "1952" "4" "239" "233" "239" "239" "261" "261" "244" "256" "261" "256" "256" "250" "250" "244" "261" "256" "261" "261" "261" "250" "250" "267" "261" "256" "244" "239" "250" "239" "239" "233" NA
"FMW00040308" "TMIN" "1952" "5" "244" "250" "244" "228" "233" "244" "250" "233" "233" "239" "233" "244" "250" "250" "239" "256" "250" "244" "256" "267" "250" "244" "244" "250" "250" "239" "278" "267" "256" "256" "256"
"FMW00040308" "TMIN" "1952" "6" "244" "244" "250" "244" "244" "239" "244" "256" "261" "239" "250" "239" "239" "244" "250" "239" "239" "239" "239" "228" "239" "233" "233" "239" "239" "244" "239" "239" "233" "239" NA
"FMW00040308" "TMIN" "1952" "7" "256" "233" "239" "244" "250" "244" "239" "250" "244" "244" "250" "256" "250" "244" "244" "244" "228" "244" "239" "233" "250" "250" "239" "244" "239" "233" "233" "228" "239" "244" "233"
"FMW00040308" "TMIN" "1952" "8" "233" "239" "228" "239" "256" "228" "244" "228" "239" "233" "239" "239" "233" "239" "233" "233" "233" "244" "239" "250" "244" "233" "250" "239" "244" "244" "250" "244" "233" "233" "228"
"FMW00040308" "TMIN" "1952" "9" "228" "256" "250" "233" "233" "233" "228" "217" "244" "244" "233" "228" "244" "228" "233" "244" "244" "244" "239" "239" "244" "244" "244" "239" "244" "244" "239" "244" "244" "250" NA
"FMW00040308" "TMIN" "1952" "10" "239" "233" "250" "239" "233" "239" "239" "239" "250" "244" "244" "239" "239" "239" "233" "233" "250" "250" "250" "244" "250" "239" "233" "228" "228" "244" "244" "256" "244" "222" "228"
"FMW00040308" "TMIN" "1952" "11" "261" "261" "256" "250" "244" "244" "233" "244" "239" "250" "239" "250" "250" "244" "250" "239" "239" "244" "239" "228" "244" "250" "244" "250" "233" "233" "244" "261" "250" "267" NA
"FMW00040308" "TMIN" "1952" "12" "256" "250" "244" "256" "256" "244" "261" "261" "256" "250" "267" "244" "250" "250" "244" "244" "239" "244" "250" "261" "250" "244" "233" "239" "222" "228" "228" "239" "250" "233" "250"
"FMW00040308" "TMIN" "1953" "1" "261" "244" "239" "233" "233" "228" "233" "239" "256" "239" "261" "256" "256" "244" "256" "261" "261" "228" "256" "244" "256" "3589" "256" "239" "233" "250" "250" "239" "256" "239" "233"
"FMW00040308" "TMIN" "1953" "2" "256" "239" "256" "233" "233" "222" "233" "244" "256" "250" "239" "256" "244" "244" "233" "244" "239" "233" "233" "244" "244" "239" "233" "244" "233" "256" "250" "256" NA NA NA
"FMW00040308" "TMIN" "1953" "3" "256" "233" "250" "256" "250" "250" "233" "244" "256" "244" "250" "256" "256" "256" "256" "256" "256" "256" "261" "261" "261" "261" "239" "233" "244" "239" "250" "261" "256" "256" "250"
"FMW00040308" "TMIN" "1953" "4" "244" "239" "250" "261" "250" "250" "250" "250" "244" "239" "244" "239" "250" "250" "244" "256" "256" "256" "233" "256" "261" "250" "239" "233" "244" "250" "256" "250" "250" "250" NA
"FMW00040308" "TMIN" "1953" "5" "244" "250" "250" "267" "267" "250" "244" "250" "250" "250" "272" "267" "250" "239" "256" "250" "250" "239" "250" "239" "239" "244" "239" "267" "267" "256" "256" "250" "250" "239" "239"
"FMW00040308" "TMIN" "1953" "6" "239" "239" "250" "261" "272" "239" "228" "239" "256" "267" "267" "272" "244" "267" "261" "250" "239" "256" "239" "244" "239" "239" "228" "233" "239" "233" "233" "233" "228" "233" NA
"FMW00040308" "TMIN" "1953" "7" "228" "228" "250" "244" "250" "250" "239" "244" "239" "244" "239" "239" "233" "228" "228" "239" "228" "244" "239" "239" "239" "239" "239" "250" "250" "244" "244" "250" "250" "250" "244"
"FMW00040308" "TMIN" "1953" "8" "244" "233" "239" "244" "222" "233" "233" "233" "233" "233" "222" "261" "267" "250" "250" "239" "239" "228" "228" "239" "239" "244" "239" "256" "228" "244" "233" "239" "217" "217" "228"
"FMW00040308" "TMIN" "1953" "9" "233" "244" "250" "244" "233" "239" "239" "239" "244" "239" "239" "244" "239" "244" "239" "239" "233" "239" "233" "239" "256" "250" "256" "222" "228" "233" "244" "233" "233" "244" NA
"FMW00040308" "TMIN" "1953" "10" "256" "244" "244" "222" "244" "239" "239" "239" "244" "244" "244" "244" "239" "239" "244" "256" "244" "250" "250" "233" "239" "250" "250" "228" "233" "239" "244" "239" "239" "261" "256"
"FMW00040308" "TMIN" "1953" "11" "244" "244" "244" "244" "250" "244" "244" "239" "250" "250" "233" "244" "244" "222" "250" "239" "256" "244" "261" "250" "244" "250" "222" "256" "244" "267" "250" "239" "233" "228" NA
