"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"IN023550300" "TMIN" "1973" "1" NA NA NA NA NA "120" NA NA NA NA NA NA NA NA "90" NA NA NA NA NA NA NA NA "60" NA NA NA NA NA "40" NA
"IN023550300" "TMIN" "1973" "2" NA NA NA NA "150" "110" "50" NA NA NA NA "110" "110" "120" NA NA NA "140" NA NA NA NA NA NA NA "180" NA NA NA NA NA
"IN023550300" "TMIN" "1973" "3" NA NA NA NA NA NA NA NA NA "170" "180" NA NA NA NA NA NA NA NA NA NA NA "150" "140" NA NA "180" NA NA NA NA
"IN023550300" "TMIN" "1973" "4" NA NA "190" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "220" NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1973" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "290" NA NA NA NA NA
"IN023550300" "TMIN" "1973" "7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "280" NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1973" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "250" NA NA NA "240" NA NA NA NA
"IN023550300" "TMIN" "1973" "10" NA "240" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1973" "11" NA NA NA NA NA NA NA NA NA NA NA "170" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1973" "12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "90" NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "1" NA NA NA "70" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "100" NA NA NA "70" NA NA NA NA NA
"IN023550300" "TMIN" "1974" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "90" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "3" NA NA NA NA NA NA NA NA NA "170" NA NA NA NA NA NA NA NA "150" NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "4" NA NA NA NA "220" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "260" NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "240" NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "10" NA "240" "230" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "11" NA NA NA NA NA NA NA NA "130" NA NA NA NA NA NA "110" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1974" "12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "50" NA NA NA NA "50" NA NA NA NA
"IN023550300" "TMIN" "1975" "1" NA NA NA NA "80" NA NA "0" "90" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"IN023550300" "TMIN" "1975" "2" NA NA NA NA NA NA NA "110" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
