"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"KSW00043201" "TMIN" "1949" "1" "0" "11" "-78" "-106" "-122" "-128" "-128" "-111" "-122" "-56" "-44" "-56" "-39" "-56" "-106" "-128" "-111" "-83" "-122" "-89" "-28" "-17" "-17" "-61" "-33" "-67" "-78" "-50" "-17" "0" "-11"
"KSW00043201" "TMIN" "1949" "2" "-11" "-11" "-11" "-39" "-67" "-72" "-94" "-72" "-39" "-39" "-22" "-6" "-11" "-67" "-100" "-89" "-39" "-39" "-33" "0" "-17" "-6" "-11" "17" "39" "22" "-6" "-33" NA NA NA
"KSW00043201" "TMIN" "1949" "3" "-50" "-22" "-61" "-22" "-17" "-44" "-11" "-33" "6" "-6" "-39" "-6" "17" "-11" "6" "-6" "33" "-11" "-33" "-11" "-17" "-28" "-28" "-33" "-17" "-22" "-11" "-6" "44" "11" "50"
"KSW00043201" "TMIN" "1949" "4" "39" "44" "44" "17" "33" "17" "11" "11" "61" "22" "11" "28" "28" "22" "33" "17" "44" "56" "50" "78" "78" "56" "100" "78" "67" "100" "111" "89" "61" "100" NA
"KSW00043201" "TMIN" "1949" "5" "89" "89" "78" "72" "111" "111" "67" "89" "111" "122" "161" "128" "89" "78" "72" "111" "122" "144" "156" "150" "144" "144" "133" "117" "117" "117" "111" "139" "161" "139" "167"
"KSW00043201" "TMIN" "1949" "6" "144" "183" "178" "172" "172" "167" "128" "128" "133" "128" "117" "161" "172" "161" "167" "139" "161" "178" "178" "161" "161" "167" "139" "156" "167" "183" "156" "167" "183" "172" NA
"KSW00043201" "TMIN" "1949" "7" "172" "189" "200" "211" "222" "178" "189" "183" "183" "178" "194" "200" "206" "200" "206" "222" "222" "239" "222" "222" "222" "239" "239" "222" "239" "244" "228" "222" "222" "244" "222"
"KSW00043201" "TMIN" "1950" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "100" "106" "111" "106" "139" "144" "111" "83" NA NA
"KSW00043201" "TMIN" "1950" "10" NA "94" "94" "117" "83" "89" "89" "133" "89" "67" "106" "111" "122" "128" "128" "144" "150" "133" "128" "139" "122" "78" "50" "22" "28" "50" "22" "-6" "56" "72" "61"
"KSW00043201" "TMIN" "1950" "11" "56" "44" "67" "39" "22" "33" "28" "33" "33" "50" "56" "33" "-11" "-83" "-100" "-6" "44" "28" "6" "33" "28" "-11" "6" "-33" "-56" "-78" "-50" "-83" "-39" "-56" NA
"KSW00043201" "TMIN" "1950" "12" "-72" "-83" "-11" "-78" "-94" "-56" "-17" "-22" "-56" "-61" "-28" "28" "17" "-11" "-28" "-44" "-72" "-89" "-122" "-50" "-67" "-56" "-44" "-72" "-33" "-67" "-89" "-111" "-72" "-89" "-100"
"KSW00043201" "TMIN" "1951" "3" "-17" "-28" "-50" "-72" "-72" "-33" "11" "0" "-17" "-28" "-44" "-44" "-11" "-11" "-11" "-6" "6" NA "11" "-11" "17" "17" "-11" "-17" "-11" "6" "17" NA NA "39" "50"
"KSW00043201" "TMIN" "1951" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "72" "122" "117" "106" "128" "161" "167" "133" "144" "144" "150" "139"
