"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"KZ000035941" "TMIN" "1961" "3" NA NA NA NA NA "-89" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1961" "4" NA NA NA NA NA NA "39" "28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "28" NA NA NA NA NA NA
"KZ000035941" "TMIN" "1961" "6" NA NA "178" NA NA NA NA NA NA "161" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1961" "7" NA NA NA "211" NA NA NA NA NA NA NA NA NA NA NA "178" NA NA NA NA NA "250" NA NA NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1961" "8" NA NA "222" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1961" "9" NA NA NA NA "128" NA "139" NA NA NA NA NA NA NA "161" NA NA NA NA NA NA "150" NA NA NA NA NA NA "150" NA NA
"KZ000035941" "TMIN" "1961" "10" NA NA NA "122" NA NA NA NA NA "72" NA NA NA NA NA NA NA NA NA NA NA NA "0" "39" NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1961" "11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-61" NA NA NA NA
"KZ000035941" "TMIN" "1962" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "50" NA NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1962" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "111" NA NA NA NA "122" NA NA "122" NA NA NA NA NA NA NA
"KZ000035941" "TMIN" "1962" "6" NA NA "200" NA NA NA NA NA NA NA NA NA NA NA NA NA "178" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
