"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"LAW00041062" "TMIN" "1967" "8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "178" "178" "178" "178" "178" "200"
"LAW00041062" "TMIN" "1967" "9" "189" "178" "189" "189" "189" "178" "172" "172" "178" "178" "178" "178" "178" "178" "161" "161" "161" "161" "161" "161" "178" "172" "161" "161" "161" "172" "161" "172" "172" "172" NA
"LAW00041062" "TMIN" "1967" "10" "172" "150" "139" "128" "128" "139" "139" "139" "128" "150" "161" "172" "172" "178" "139" "150" "161" "128" "122" "139" "122" "128" "150" "139" "150" "139" "128" "139" "150" "161" "161"
"LAW00041062" "TMIN" "1967" "11" "172" "161" "139" "128" "139" "150" "139" "128" "128" "128" "161" "139" "111" "122" "128" "122" "128" "122" "139" "122" "122" NA "128" "139" "139" "122" "122" "128" "150" "111" NA
"LAW00041062" "TMIN" "1967" "12" NA "111" "111" "111" "128" "128" "122" "100" "122" "89" "72" "61" "39" NA "39" "72" "89" "89" "111" "111" "111" "111" "128" "122" "122" "111" "122" "122" "89" "72" "89"
"LAW00041062" "TMIN" "1968" "1" "72" "100" "72" "61" "72" "111" "111" "100" "89" "122" "100" "111" "100" "111" "89" "78" "78" "89" "72" "89" "100" "111" "128" "139" NA NA NA NA NA "150" "150"
"LAW00041062" "TMIN" "1968" "3" NA NA NA NA NA NA NA "139" "122" "139" "139" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAW00041062" "TMIN" "1968" "6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "189" NA
"LAW00041062" "TMIN" "1968" "8" "200" "189" "189" "178" "189" "189" "189" "189" "178" "189" "189" "189" "189" "189" "189" "189" "189" "189" NA NA NA NA NA NA NA NA NA "178" "189" "189" "189"
"LAW00041062" "TMIN" "1968" "9" "178" "189" "189" "189" "189" "178" "189" "189" "172" "189" "178" "178" "178" "189" "189" "189" "178" "189" "178" "189" "189" "178" "172" "172" "178" "172" "178" "189" "178" "161" NA
"LAW00041062" "TMIN" "1968" "10" "161" "161" "178" "172" "178" "172" "178" "178" "172" "172" "161" "161" "161" "161" "150" "161" "161" "150" "128" "122" "122" "128" "128" "139" "128" "128" "128" "128" "139" "150" "150"
"LAW00041062" "TMIN" "1968" "11" "161" "161" "161" "172" "172" "150" "161" NA NA NA NA "161" "161" "150" "150" "161" "161" "150" "150" "139" "139" "128" "128" "128" "128" "128" "139" "122" "122" "122" NA
"LAW00041062" "TMIN" "1968" "12" "128" "128" "128" "128" "139" "122" "139" "128" "139" "128" "128" "122" "122" "122" "128" "100" "128" "128" "122" "122" "111" "100" "78" "89" "122" "89" "89" "122" "100" NA NA
