"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"MOE00147754" "TMIN" "1965" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "110" "110" "120" NA
"MOE00147754" "TMIN" "1965" "5" "140" "140" "150" "140" "170" "140" "150" "160" "150" "170" "150" "160" "140" "180" "160" "140" "190" "170" "140" "170" "140" "150" "160" "150" "150" "160" "160" "150" "150" "150" "140"
"MOE00147754" "TMIN" "1965" "6" "160" "190" "170" "180" "160" "170" "160" "160" "170" "190" "170" "180" "180" "180" "200" "180" "220" "210" "210" "210" "210" "230" "220" "210" "220" "210" "220" "240" "230" "230" NA
"MOE00147754" "TMIN" "1965" "7" "210" "210" "210" "210" "170" "180" "210" "220" "180" "190" "180" "230" "210" "200" "200" "210" "200" "200" "190" "200" "190" "200" "200" "230" "220" "210" "200" "230" "200" "210" "210"
"MOE00147754" "TMIN" "1965" "8" "210" "180" "200" "220" "230" "200" "230" "200" "180" "130" "210" "230" "210" "220" "220" "230" "220" "200" "230" "230" "220" "220" "200" "180" "200" "180" "190" "200" "200" "210" "210"
"MOE00147754" "TMIN" "1965" "9" "200" "190" "210" "150" "170" "150" "140" "170" "170" "180" "150" "150" "160" "170" "180" "210" "180" "180" "180" "200" "180" "180" "180" "180" "200" "170" "200" "150" "150" "150" NA
"MOE00147754" "TMIN" "1966" "1" "60" "90" "80" "70" "60" "90" "120" "80" "100" "80" "80" "90" "90" "110" "110" "120" "130" "100" "150" "120" "150" "130" "130" "100" "100" "130" "100" "90" "110" "120" "110"
"MOE00147754" "TMIN" "1966" "2" "110" "130" "130" "80" "80" "80" "110" "120" "130" "170" "130" "90" "80" "90" "80" "110" "90" "90" "120" "100" "130" "110" "90" "80" "90" "80" "90" "120" NA NA NA
"MOE00147754" "TMIN" "1966" "3" "90" "70" "80" "130" "100" "100" "70" "80" "70" "90" "90" "120" "120" "140" "60" "80" "100" "80" "90" "130" "90" "110" "90" "100" "100" "100" "110" "120" "100" "90" "130"
"MOE00147754" "TMIN" "1966" "4" "140" "140" "100" "120" "110" "120" "120" "130" "140" "110" "110" "110" "120" "130" "130" "160" "110" "110" "120" "150" "100" "90" "100" "140" "130" "110" "120" "170" "130" "130" NA
"MOE00147754" "TMIN" "1966" "5" "120" "110" "140" "130" "130" "150" "150" "100" "100" "140" "150" "150" "110" "130" "130" "140" "150" "140" "150" "150" "150" "170" "180" "150" "110" "180" "180" "180" "180" "180" "160"
