"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"MX000020014" "TMIN" "1948" "10" "200" "200" "200" "180" "200" "185" "210" "215" "215" "215" "230" "235" "220" "215" "210" "220" "215" "210" "200" "200" "205" "195" "190" "190" "160" "175" "195" "165" "180" "175" "190"
"MX000020014" "TMIN" "1948" "11" "200" "220" "205" "210" "220" "210" "175" "200" "210" "200" "200" "210" "180" "190" "215" "215" "220" "215" "210" "165" "175" "195" "195" "185" "195" "200" "200" "205" "205" "145" NA
"MX000020014" "TMIN" "1948" "12" "150" "160" "125" "190" "180" "190" "170" "180" "195" "195" "170" "170" "175" "210" "200" "205" "210" "210" "170" "175" "180" "180" "200" "165" "200" "190" "210" "220" "230" "205" "150"
"MX000020014" "TMIN" "1949" "1" "155" "125" "135" "120" "135" "180" "160" "155" "160" "140" "160" "190" "200" "200" "160" "160" "170" "175" "195" "170" "185" "180" "155" "160" "180" "185" "180" "190" "210" "145" "135"
"MX000020014" "TMIN" "1949" "2" "145" "175" "170" "160" "165" "195" "215" "210" "190" "190" "195" "160" "175" "170" "170" "180" "200" "160" "175" "185" "195" "170" "155" "150" "160" "180" "185" "195" NA NA NA
"MX000020014" "TMIN" "1949" "3" "190" "190" "195" "175" "180" "180" "160" "170" "145" "160" "175" "175" "190" "200" "205" "205" "165" "175" "188" "185" "175" "190" "205" "210" "215" "215" "210" "210" "195" "200" "210"
"MX000020014" "TMIN" "1949" "4" "215" "190" "205" "210" "190" "145" "125" "145" "170" "195" "220" "205" "185" "190" "210" "220" "190" "210" "220" "225" "225" "220" "235" "230" "205" "215" "220" "210" "200" "210" NA
"MX000020014" "TMIN" "1949" "5" "215" "220" "235" "185" "210" "215" "215" "215" "235" "235" "225" "230" "220" "225" "230" "225" "230" "235" "240" "215" "205" "220" "240" "230" "215" "220" "215" "230" "225" "220" "235"
"MX000020014" "TMIN" "1949" "6" "220" "235" "220" "210" "215" "220" "225" "245" "240" "235" "210" "230" "225" "230" "225" "210" "220" "225" "205" "205" "205" "215" "220" "225" "230" "225" "225" "205" "200" "218" NA
"MX000020014" "TMIN" "1949" "7" "205" "215" "210" "220" "205" "220" "210" "220" "210" "213" "210" "200" "210" "205" "220" "225" "220" "218" "218" "210" "215" "227" "220" "205" "205" "220" "225" "215" "200" "195" "190"
