"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"PPW00080431" "TMIN" "1945" "4" "239" "217" "222" "228" "228" "233" "244" "244" "222" "222" "211" "228" "233" "233" "228" "222" "233" "244" "233" "228" "250" "233" "233" "244" "239" "233" "239" "233" "244" "239" NA
"PPW00080431" "TMIN" "1945" "5" "222" "239" "233" "222" "233" "244" "222" "217" "222" "228" "233" "228" "233" "239" "239" "244" "239" "239" "233" "228" "239" "233" "233" "222" "217" "233" "228" "233" "233" "244" "250"
"PPW00080431" "TMIN" "1945" "6" "233" "233" "233" "233" "233" "233" "239" "239" "244" "244" "244" "233" "211" "233" "228" "222" "222" "228" "244" "244" "250" "250" "228" "217" "233" "233" "233" "222" "222" "233" NA
"PPW00080431" "TMIN" "1945" "7" "233" "239" "239" "233" "228" "222" "233" "244" "222" "211" "222" "228" "228" "228" "233" "233" "233" "228" "233" "211" "217" "222" "233" "233" "239" "228" "228" "228" "228" "233" "250"
"PPW00080431" "TMIN" "1945" "8" "239" "250" "233" "256" "239" "233" "222" "222" "222" "222" "228" "228" "233" "233" "244" "239" "233" "228" "244" "228" "244" "239" "233" "228" "233" "233" "228" "222" "228" "233" "233"
"PPW00080431" "TMIN" "1945" "9" "233" "244" "228" "228" "222" "211" "222" "222" "217" "228" "233" "233" "233" "233" "222" "222" "228" "233" "239" "233" "239" "239" "239" "228" "222" "233" "233" "233" "244" "233" NA
"PPW00080431" "TMIN" "1945" "10" "233" "228" "244" "233" "250" "239" "233" "228" "233" "244" "250" "233" "233" "228" "239" "256" "256" "267" "233" "239" "239" "222" "239" "222" "239" "239" "261" "244" "233" "239" "250"
"PPW00080431" "TMIN" "1945" "11" "256" "256" "239" "244" "250" "244" "233" "239" "239" "239" "239" "239" "239" "233" "239" "233" "239" "239" "267" "256" "272" "228" "244" "239" "250" "239" "239" "233" "228" "211" NA
"PPW00080431" "TMIN" "1945" "12" "244" "256" "244" "250" "244" "250" "228" "233" "239" "233" "228" "244" "244" "228" "244" "233" "244" "239" "256" "228" "233" "239" "228" "233" "222" "233" "233" "233" "250" "233" "233"
"PPW00080431" "TMIN" "1946" "1" "233" "244" "244" "233" "233" "233" "233" "244" "244" "261" "250" "250" "244" "244" "256" "250" "233" "239" "244" "250" "239" "239" "222" "239" "244" "244" "239" "233" "228" "233" "250"
"PPW00080431" "TMIN" "1946" "2" "250" "244" "239" "261" "244" "244" "239" "233" "244" "239" "244" "244" "250" "233" "239" "244" "250" "239" "239" "239" "250" "244" "239" "261" "239" "267" "261" "261" NA NA NA
"PPW00080431" "TMIN" "1946" "3" "239" "244" "267" "267" "250" "244" "250" "250" "256" "250" "244" "244" "222" "233" "239" "228" "244" "239" "250" "239" "233" "261" "250" "250" "239" "244" "244" "239" "228" "244" "244"
"PPW00080431" "TMIN" "1946" "4" "233" "228" "239" "244" "233" "256" "244" "217" "239" "244" "250" "261" "261" "244" "244" "233" "244" "244" "228" "239" "239" "244" "233" "239" "239" "239" "244" "244" "250" "244" NA
"PPW00080431" "TMIN" "1946" "5" "250" "250" "250" "244" "244" "228" "244" "244" "244" "239" "239" "250" "261" "239" "239" "239" "233" "222" "233" "250" "250" "244" "233" "239" "239" "250" NA NA NA NA NA
"PPW00080431" "TMIN" "1946" "9" NA NA NA NA "261" "261" "256" "261" "272" "261" "267" "239" "267" "239" "250" "244" "239" "233" "256" "222" "272" "267" "244" "272" "211" NA "250" "272" "228" "244" NA
"PPW00080431" "TMIN" "1946" "10" "261" "261" "267" "261" "256" "222" "256" "233" "244" "244" "233" "244" "239" "256" "267" "250" "250" "267" "250" "239" "244" "261" "239" "228" "261" "244" "256" "256" "250" "256" "261"
"PPW00080431" "TMIN" "1946" "11" "256" "256" "256" "250" "256" "250" "267" "256" "256" "250" "256" "250" "256" "250" "244" "250" "272" "233" "250" "233" "250" "250" "244" "261" "244" "250" "250" "244" "261" "256" NA
"PPW00080431" "TMIN" "1946" "12" "250" "261" "250" "250" "250" "256" "217" "244" "239" "233" "239" "244" "250" "250" "244" "250" "256" "244" "239" "222" "239" "256" "244" "250" "217" "250" "256" "256" "250" "250" "261"
"PPW00080431" "TMIN" "1947" "1" "261" "272" "267" "256" "239" "256" "244" "244" "256" "267" "256" "250" "228" "244" "239" "267" "278" "256" "244" "267" "267" "256" "244" "239" "250" "244" "250" "244" "250" "250" "244"
