"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"RMC00914399" "TMIN" "1990" "8" "261" "233" "239" "244" "244" "228" "239" "272" "267" "233" "239" "250" "256" "244" "233" "250" "256" "233" "244" "233" NA "217" "239" "228" "239" "233" "233" "250" "244" "244" "244"
"RMC00914399" "TMIN" "1990" "9" "233" "233" "233" "233" "239" "233" "239" "244" "239" "233" "239" "244" "244" "250" "244" "239" "244" "233" "239" "244" "244" "233" "233" "239" "239" "233" "250" "250" "239" "250" NA
"RMC00914399" "TMIN" "1990" "10" "228" "233" "239" "239" "256" "244" "239" "233" "244" "233" "233" "239" "250" "239" "228" "233" "239" "239" "267" "256" "256" "250" "250" "228" "228" "244" "250" "244" "233" "239" "233"
"RMC00914399" "TMIN" "1990" "11" "233" "239" "239" "244" "239" "239" "233" "233" "233" "239" "233" "228" "244" "244" "244" "244" "244" "244" "244" "261" "250" "239" "244" "239" "239" "239" "239" "228" "256" "244" NA
"RMC00914399" "TMIN" "1991" "2" "244" "244" "244" "244" "244" "239" "239" "239" "239" "244" "239" "233" "233" "228" "228" "233" "233" "239" "233" "233" "233" "233" "228" "228" "228" "228" "228" "228" NA NA NA
"RMC00914399" "TMIN" "1991" "3" "228" "239" "233" "239" "233" "228" "244" "256" "244" "250" "250" "244" "261" "250" "250" "261" "250" "239" "239" "233" "261" "250" "261" "233" "233" "261" "244" "244" "256" "233" "239"
"RMC00914399" "TMIN" "1991" "4" "244" "239" "239" "233" "256" "256" "250" "239" "239" "244" "256" "256" "239" "244" "244" "261" "250" "239" "239" "233" "239" "239" "256" "239" "261" "261" "267" "256" "250" "239" NA
"RMC00914399" "TMIN" "1991" "7" "250" "244" "256" "222" "222" "261" "256" "233" "244" "239" "239" "244" "239" "239" "239" "239" "267" "261" "261" "267" "244" "244" "250" "239" "233" "250" "244" "256" "244" "233" "239"
"RMC00914399" "TMIN" "1991" "8" "228" "233" "233" "239" "267" "244" "233" "228" "239" "233" "233" "239" "244" NA "239" "244" "250" "250" "250" "272" "244" "250" "244" "250" "239" "250" "233" "239" "239" "256" "256"
"RMC00914399" "TMIN" "1991" "9" "233" "239" "244" "239" "239" "256" "244" "239" "244" "244" "222" "239" "239" "244" "239" "239" "233" NA "239" "244" "222" "233" "228" "228" "233" "244" "261" "239" "244" "244" NA
"RMC00914399" "TMIN" "1991" "10" "228" "233" "244" "244" "239" "228" "233" "233" "256" "239" "239" "244" "256" "233" "239" "244" "244" "228" "233" "233" "228" "228" "233" "244" "256" "239" "233" "239" "233" "233" "256"
"RMC00914399" "TMIN" "1991" "11" "239" "233" "239" "239" "244" "244" "239" "239" "233" "244" "233" "239" "239" "233" "244" "256" "244" NA "244" "261" "244" "261" "261" "239" "261" "239" "261" "222" "267" "256" NA
"RMC00914399" "TMIN" "1991" "12" "244" "261" "233" "239" "222" "217" "233" "261" "244" "250" "250" "217" "228" "250" "250" "261" "233" "244" "261" "256" "250" "250" "250" "256" "250" "256" "239" "261" "261" "244" "239"
"RMC00914399" "TMIN" "1992" "1" "244" "233" "222" "244" "250" "250" NA NA "261" "256" "244" "244" "239" "256" "250" "239" "244" "250" "250" "244" "244" "250" "244" "250" "244" "244" "250" "244" "256" "233" "228"
"RMC00914399" "TMIN" "1992" "2" "222" "244" "256" "256" "239" "239" "256" "261" "256" "250" "250" "244" "250" "250" "250" "250" "256" "250" "244" "250" "250" "250" "250" "244" "250" "244" NA "267" "244" NA NA
"RMC00914399" "TMIN" "1992" "3" "250" "244" "244" "256" "250" "256" "250" "250" "244" "244" "256" "256" "256" "250" "250" "256" "244" "256" "244" "256" "239" "239" "244" "256" "256" "256" "256" "256" "250" "256" "250"
"RMC00914399" "TMIN" "1992" "4" "256" "261" NA "256" "250" "250" "267" "267" "261" "261" "256" "256" "256" "256" "261" "267" "261" "261" "261" "250" "261" "256" "261" "261" "256" "256" "256" "261" "256" NA NA
"RMC00914399" "TMIN" "1992" "5" "256" "256" "261" "250" "244" "250" "261" "256" "261" "261" "256" "261" "256" "261" "261" "261" "244" "244" "244" "239" "233" "228" "233" "250" "261" "267" "239" "244" "244" "250" "250"
"RMC00914399" "TMIN" "1992" "6" "233" "267" "261" "256" "261" "261" "250" "233" "256" "267" "239" "261" "267" "239" "250" "256" "261" "256" "256" "239" "244" "244" "256" "256" "267" "250" "261" "261" "261" "261" NA
"RMC00914399" "TMIN" "1992" "7" "244" "244" "256" "233" "233" "233" "233" "233" "239" "244" "244" "244" "267" "239" "244" "233" "233" "239" "250" "239" "239" "256" "244" "250" "250" "256" "233" "244" "233" "233" "256"
"RMC00914399" "TMIN" "1992" "8" NA "239" "244" "244" "233" "244" "239" "233" "239" "239" "239" "244" "233" "244" "250" "250" "261" "228" "244" NA "250" "244" "233" "233" "250" "244" "233" "256" "250" "256" "233"
"RMC00914399" "TMIN" "1992" "10" "250" "233" "250" "239" "250" "233" "239" "239" "250" "233" "250" "228" "233" "239" "239" "250" "250" "244" "244" "244" "239" "239" "244" "239" "250" "239" "239" "244" "250" "239" "244"
"RMC00914399" "TMIN" "1993" "1" "250" "256" "244" "222" "228" "250" "250" "256" "244" "250" "256" "250" "250" "244" "256" "250" "250" "244" "239" "233" "250" "256" "239" "239" "250" "239" "250" "250" "244" "250" "250"
"RMC00914399" "TMIN" "1993" "2" NA "239" "250" "256" NA "256" "267" "267" "233" "244" NA "244" "250" "233" "244" "228" "272" "250" "256" "233" "244" "244" "239" "244" "244" "233" "267" "250" NA NA NA
"RMC00914399" "TMIN" "1993" "3" "244" "244" "244" "250" "239" NA "233" "239" "261" NA "233" "250" "250" "256" "261" "256" "250" "250" "250" "250" "250" "250" "233" "233" "261" "256" "233" "239" "239" "244" "239"
"RMC00914399" "TMIN" "1993" "4" "211" NA "239" "256" "267" NA "261" "261" NA "250" "267" "272" "239" "244" "244" "250" NA "239" "256" "256" "256" "244" "233" "261" "256" "272" "256" "250" "256" "250" NA
"RMC00914399" "TMIN" "1993" "5" "239" "250" "233" "256" "256" "261" "250" "256" "228" "250" "239" "250" "239" "261" "239" "256" "244" "256" "261" "261" "228" "256" "250" "228" "250" "250" "256" "261" "239" "244" "250"
"RMC00914399" "TMIN" "1993" "6" "233" "261" "233" "250" "267" "261" "267" "256" "239" "267" "233" "256" "250" "250" "261" "250" NA NA "250" "239" "256" "244" "283" "233" "239" "239" "244" "250" "250" "256" NA
"RMC00914399" "TMIN" "1993" "7" "244" "250" "239" "250" "228" "256" "239" "250" "222" "267" "250" "239" "239" "239" "244" "239" "244" "256" "228" "267" "233" "267" "261" "239" "228" "233" "239" "272" "233" "272" "228"
