"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"RPW00041207" "TMIN" "1949" "1" "206" "217" "211" "194" "211" "211" "189" "183" "183" "189" "167" "178" "222" "211" "217" "211" "183" "178" "189" "183" "189" "228" "211" "211" "200" "211" "211" "222" "200" "200" "183"
"RPW00041207" "TMIN" "1949" "2" "189" "178" "200" "206" "189" "183" "189" "211" "211" "228" "222" "206" "211" "217" "217" "189" "178" "200" "189" "211" "222" "200" "200" "200" "206" "194" "189" "217" NA NA NA
"RPW00041207" "TMIN" "1949" "3" "217" "217" "211" "217" "222" "222" "217" "211" "217" "217" "211" "206" "211" "233" "233" "233" "222" "222" "217" "222" "200" "211" "222" "233" "239" "211" "239" "211" "217" "217" "206"
"RPW00041207" "TMIN" "1949" "4" "211" "222" "211" "211" "228" "244" "239" "222" "222" "228" "250" "250" "233" "256" "244" "250" "233" "228" "222" "239" "233" "211" "222" "244" "233" "233" "244" "233" "233" "244" NA
"RPW00041207" "TMIN" "1949" "5" "256" "250" "250" "239" "250" "239" "233" "239" "233" "239" "233" "228" "250" "233" "244" "250" "233" "239" "239" "256" "261" "244" "256" "256" "244" "244" "250" "250" "239" "239" "244"
"RPW00041207" "TMIN" "1949" "6" "250" "217" "239" "244" "244" "244" "256" "244" "239" "222" "239" "239" "250" "228" "233" "228" "222" "239" "239" "233" "228" "222" "222" "239" "239" "239" "228" "222" "239" "239" NA
"RPW00041207" "TMIN" "1949" "7" "239" "233" "239" "239" "239" "244" "244" "239" "228" "228" "222" "233" "233" "228" "222" "233" "233" "228" "239" "228" "222" "233" "233" "222" "222" "217" "217" "217" "222" "239" "233"
"RPW00041207" "TMIN" "1949" "8" "239" "239" "228" "233" "228" "233" "239" "228" "233" "233" "228" "233" "222" "228" "228" "217" "222" "222" "222" "228" "239" "222" "228" "239" "222" "217" "222" "217" "228" "228" "233"
"RPW00041207" "TMIN" "1949" "9" "228" "228" "222" "222" "222" "228" "233" "233" "222" "228" "228" "233" "239" "239" "228" "233" "244" "233" "228" "228" "222" "228" "222" "228" "233" "239" "239" "222" "222" "217" NA
"RPW00041207" "TMIN" "1949" "10" "228" "228" "228" "228" "228" "222" "228" "233" "250" "239" "239" "222" "222" "217" "228" "222" "228" "211" "211" "233" "228" "222" "233" "239" "228" "228" "233" "228" "228" "233" "239"
"RPW00041207" "TMIN" "1949" "11" "239" "239" "239" "228" "239" "233" "239" "239" "233" "228" "233" "217" "233" "222" "233" "239" "233" "222" "222" "228" "200" "189" "200" "217" "200" "200" "206" "228" "228" "222" NA
"RPW00041207" "TMIN" "1949" "12" "222" "228" "217" "217" "222" "222" "211" "211" "211" "217" "211" "228" "217" "217" "228" "211" "206" "217" "211" "222" "217" "222" "217" "222" "217" "217" "217" "217" "211" "217" "228"
"RPW00041207" "TMIN" "1950" "1" "211" "211" "211" "217" "217" "211" "222" "211" "217" "211" "211" "200" "222" "206" "200" "217" "206" "194" "206" "211" "200" "189" "211" "211" "211" "217" "211" "228" "217" "217" "217"
"RPW00041207" "TMIN" "1950" "2" "211" "194" "211" "222" "200" "222" "222" "217" "228" "211" "206" "206" "194" "194" "206" "211" "222" "222" "211" "206" "189" "211" "222" "211" "222" "211" "222" "206" NA NA NA
"RPW00041207" "TMIN" "1950" "3" "206" "206" "211" "200" "211" "222" "228" "222" "228" "222" "211" "228" "217" "211" "211" "217" "222" "222" "222" "222" "233" "233" "228" "233" "217" "228" "222" "233" "250" "233" "233"
"RPW00041207" "TMIN" "1950" "4" "250" "222" "233" "228" "239" "228" "239" "239" "228" "244" "239" "250" "244" "250" "233" "233" "239" "233" "228" "233" "244" "233" "228" NA "228" "228" "239" "239" "239" "244" NA
"RPW00041207" "TMIN" "1950" "5" "244" "239" "239" "233" "239" "256" "233" "233" "239" "239" "233" "228" "233" "239" "244" "239" "233" "244" "250" "228" "228" "228" "239" "244" "239" "244" "250" "244" "244" "239" "239"
"RPW00041207" "TMIN" "1950" "6" "239" "239" "250" "244" "233" "233" "222" "239" "239" "250" "244" "244" "244" "244" "239" "233" "239" "233" "228" "244" "233" "233" "233" "233" "233" "228" "228" "228" "239" "228" NA
