"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"SYE00147765" "TMIN" "1928" "9" "180" "155" "191" "193" "202" "151" "139" "123" "134" "123" "197" "158" "156" "121" "148" "132" "148" "168" "189" "181" "174" "151" "131" "122" "127" "145" "205" "141" "150" "151" NA
"SYE00147765" "TMIN" "1928" "10" "179" "220" "198" "175" "155" "129" "96" "110" "120" "111" "150" "89" "138" "105" "112" "92" "121" "141" "83" NA NA NA NA NA NA NA NA "94" "85" "106" "127"
"SYE00147765" "TMIN" "1928" "11" "120" "120" "70" "70" "70" "90" "90" "90" "80" "100" "90" "90" "90" "90" "70" "120" "70" "80" "100" "60" "110" "90" "90" "80" "20" "40" "50" "60" "60" "60" NA
"SYE00147765" "TMIN" "1928" "12" "62" "65" "109" "70" "47" "79" "49" "32" "-3" "5" "30" "32" "25" "45" "75" "54" "40" "55" "53" "39" "50" "26" "20" "19" "38" "59" "63" "75" "38" "52" "85"
"SYE00147765" "TMIN" "1929" "1" "36" "56" "38" "18" "28" "37" "21" "45" "21" "4" "12" "-21" "15" "5" "12" "14" "41" "22" "30" "50" "-8" "14" "-17" "23" "-31" "-20" "-12" "27" "20" "19" "42"
"SYE00147765" "TMIN" "1929" "2" "34" "35" "25" "-3" "20" "18" "5" "20" "22" "20" "5" "20" "24" "13" "18" "26" "29" "45" "26" "50" "45" NA NA NA NA NA NA NA NA NA NA
"SYE00147765" "TMIN" "1929" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "30" "10" "0" "-20" "-12" "-20" "0" "10" "-10" "-10" "10" "30" "70" NA
"SYE00147765" "TMIN" "1929" "4" "30" "60" "0" "50" "100" "110" "30" "30" "70" "60" "0" "15" "80" "90" "65" "45" "20" "70" "90" "40" "75" "30" "60" "55" "70" "100" "40" "60" "140" "150" NA
"SYE00147765" "TMIN" "1929" "5" "90" "120" "140" "150" "150" "190" "160" "160" "90" "90" "120" "150" NA NA "110" "120" "130" "120" "150" "250" "150" "160" "150" "130" "170" "130" "130" "150" "150" "119" "110"
"SYE00147765" "TMIN" "1929" "6" "110" NA NA NA NA "150" "120" "90" NA "190" "220" "190" "180" "140" "150" "160" "160" "190" "210" "170" "180" "190" "140" "150" "210" "140" "160" "170" "190" "180" NA
"SYE00147765" "TMIN" "1929" "7" "190" "180" "150" "210" "180" "210" "150" "160" "180" "210" "280" "180" "140" "160" "160" "160" "180" "180" "220" "170" "150" "100" "210" "210" "140" "130" "130" "150" "150" NA NA
"SYE00147765" "TMIN" "1929" "9" NA "200" "190" "220" NA NA NA NA "180" "140" "110" "130" "150" "160" "160" "130" "170" "130" "120" "45" "130" "130" "90" "120" "130" "150" "140" "160" "170" "150" NA
"SYE00147765" "TMIN" "1929" "10" "140" "80" "90" "160" "80" "70" "70" "110" "110" "120" "110" "140" "130" "130" "80" "80" "60" "80" "90" "80" "110" "100" "120" "90" "90" "110" "110" "120" "120" "140" "100"
"SYE00147765" "TMIN" "1929" "11" "120" "110" "110" "90" "90" "110" "90" "70" "70" "100" NA "80" "60" "100" "80" "80" "80" "90" "100" "70" "80" "90" "90" "50" "50" "60" "90" "80" "70" "70" NA
"SYE00147765" "TMIN" "1929" "12" "50" "50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SYE00147765" "TMIN" "1930" "1" NA NA NA NA NA NA NA NA NA "15" "0" "30" "30" "20" "10" "10" "10" "20" NA "30" "40" "40" "30" "45" "5" "-10" "10" "10" "15" NA "60"
"SYE00147765" "TMIN" "1930" "2" "60" NA "40" "35" "50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "60" NA "60" "60" "40" "60" "10" "50" NA NA NA NA
"SYE00147765" "TMIN" "1930" "3" "60" NA "50" "50" "20" "30" "50" "60" NA "50" "50" "80" "100" "80" "80" NA "80" "100" "100" "100" NA "100" NA "120" NA NA NA NA NA NA "110"
"SYE00147765" "TMIN" "1930" "4" "80" NA NA "10" "110" NA NA "115" "110" "120" "120" NA NA "50" "95" "150" "125" "100" NA NA "40" "90" "130" "100" "105" "115" "95" "85" "110" "115" NA
"SYE00147765" "TMIN" "1930" "5" "130" "180" "145" NA "110" "80" "80" "60" "90" "140" "160" "100" "100" "90" "120" NA NA NA "110" "120" "70" "70" "80" NA NA "120" "120" "110" NA "170" "140"
