"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"TDW00011621" "TMIN" "1945" "3" "233" "222" "228" "222" "244" "217" "233" "233" "233" "250" "244" "239" "228" "239" "217" "222" "222" "233" "239" "222" "228" "222" "211" "228" "233" "239" "222" "244" "228" "222" "228"
"TDW00011621" "TMIN" "1945" "4" "228" "222" "228" "233" "233" "222" "233" "222" "233" "233" "239" "228" "233" "222" "222" "222" "228" "233" "233" "233" "233" "239" "239" "228" "217" "222" "222" "222" "239" "228" NA
"TDW00011621" "TMIN" "1945" "5" "211" "222" "217" "222" "228" "228" "228" "222" "228" "239" "244" "239" "239" "239" "233" "239" "228" "239" "233" "233" "233" "239" "233" "233" "244" "239" "239" "239" "239" "239" "233"
"TDW00011621" "TMIN" "1945" "6" "239" "222" "233" "250" "228" "256" "233" "228" "267" "256" "250" "233" "244" "233" "233" "228" "239" "244" NA "228" "222" "233" "239" "244" "244" "239" NA "211" "239" "233" NA
"TDW00011621" "TMIN" "1945" "7" "239" "239" "222" "228" "222" "261" "244" "239" "233" "233" NA "239" "239" "239" "239" "222" "239" "239" "239" "239" "244" "233" "239" "233" "233" "239" "239" "233" "244" "239" "233"
"TDW00011621" "TMIN" "1945" "8" "239" "239" "233" "233" "233" "239" "256" "239" "233" "239" "239" "244" "256" "239" "239" "239" "250" "239" "239" "239" "233" "233" "233" "239" "239" "239" "239" "239" "233" "228" "239"
"TDW00011621" "TMIN" "1945" "9" "244" "239" "239" "256" "244" "233" "244" "233" "233" "244" "233" "244" "244" "239" "256" "239" "233" "244" "239" "244" "239" "239" "233" "239" "239" "233" "239" "239" "239" "239" NA
"TDW00011621" "TMIN" "1945" "10" "239" "244" "239" "228" "250" "256" "239" "239" "239" "228" "228" "228" "217" "239" "250" "233" "239" "233" "239" "233" "244" "244" "228" "222" "228" "233" "250" "239" "244" "233" "233"
"TDW00011621" "TMIN" "1945" "11" "228" "228" "239" "239" "244" "239" "239" "228" "228" "244" "222" "239" "239" "233" "233" "233" "239" "233" "228" "239" "228" "244" "222" "244" "228" "233" "228" "233" "233" "250" NA
"TDW00011621" "TMIN" "1945" "12" "239" "233" "228" "233" "228" "228" "222" "222" "228" "222" "228" "222" "233" "239" "239" "244" "250" "228" "228" "217" "228" "222" "233" "228" "228" "228" "233" "250" "233" "222" "217"
"TDW00011621" "TMIN" "1946" "1" "222" "222" "222" "222" NA NA "222" NA "222" "206" NA NA "228" "217" "222" "222" NA NA "211" NA NA "228" "228" "233" "217" "233" "217" "222" "222" "222" "222"
"TDW00011621" "TMIN" "1946" "3" NA NA NA NA NA NA NA "217" "233" "233" "250" "222" "228" "211" "217" "217" NA NA "222" "228" NA "217" "211" "233" "217" "233" "244" "239" "217" "233" NA
"TDW00011621" "TMIN" "1946" "4" "222" "239" "222" "233" "233" "244" NA "233" "222" "217" "222" "239" "233" NA "250" "250" "239" "244" "233" "233" NA "217" NA "239" "239" "233" "267" NA "256" "233" NA
"TDW00011621" "TMIN" "1946" "10" "228" "239" "217" "194" "244" "244" "222" "250" "233" "244" "211" "217" "239" "239" "217" "222" "222" "244" "244" "250" "233" "244" "239" "239" "250" "233" "244" "233" "233" "250" "250"
"TDW00011621" "TMIN" "1946" "11" "256" "256" "250" "250" "250" "239" "256" "244" "261" "244" "239" "233" "233" "239" "250" "239" "233" "239" "244" "239" "244" "239" "233" "233" NA "244" "233" "233" "233" "239" NA
"TDW00011621" "TMIN" "1946" "12" "228" "239" "233" "239" "239" "233" "228" "239" "228" "211" "239" "239" "244" "250" "233" "239" "233" "239" "222" "244" "233" "222" "222" "239" "239" "239" "239" "244" "239" "244" "233"
"TDW00011621" "TMIN" "1947" "1" "233" "233" "239" "222" "228" "233" "222" "239" "233" "233" "228" "228" "222" "233" "228" "228" "228" "233" "228" "222" "217" "217" "228" "222" "239" "228" "211" "211" "217" "228" "228"
"TDW00011621" "TMIN" "1947" "2" "239" "217" "217" "222" "222" "233" "228" "222" "211" "233" "228" "222" "217" "228" "228" "239" "233" "222" "222" "222" "228" "244" "239" "233" "217" "233" "228" "228" NA NA NA
"TDW00011621" "TMIN" "1947" "3" "233" "228" "233" "228" "222" "233" "239" "233" "244" "233" "239" "222" "228" "228" "228" "222" "222" "228" "228" "222" "217" "222" "228" "222" "217" "217" "233" "233" "233" "233" "233"
"TDW00011621" "TMIN" "1947" "4" "228" "222" "233" "228" "228" "228" "233" "239" "222" "233" "233" "233" "250" "222" "233" "239" "222" "228" "256" "250" "228" "228" "233" "233" "228" "239" "233" "228" "228" "217" NA
"TDW00011621" "TMIN" "1947" "5" "233" "222" "228" "228" "228" "233" "228" "233" "233" "250" "239" "233" "233" "239" "233" "239" "239" "239" "228" "228" "244" "239" "244" "239" "250" "239" "239" "239" "239" "239" "239"
"TDW00011621" "TMIN" "1947" "6" "233" "239" "239" "233" "244" "233" "228" "233" "244" "239" "233" "233" "228" "256" "244" "239" "239" "239" "233" "233" "233" "239" "228" "228" "239" "239" "233" "244" "244" "233" NA
"TDW00011621" "TMIN" "1947" "7" "267" "261" "239" "239" "239" "228" "228" "211" "233" "250" "239" "233" "239" "239" "233" "228" "228" "228" "239" "239" "233" "244" "250" "239" "239" "244" "233" "233" "228" "228" "228"
"TDW00011621" "TMIN" "1947" "8" "239" "233" "233" "222" "244" "239" "239" "233" "244" "228" "233" "233" "228" "233" "233" "228" "233" "239" "244" "233" "233" "244" "239" "272" "239" "239" "239" "256" "256" "244" "239"
"TDW00011621" "TMIN" "1947" "9" "244" "250" "239" "239" "239" "239" "217" "233" "244" "244" "256" "250" "250" "244" "233" "239" "239" "256" "244" "250" "256" "256" "233" "233" "239" "239" "239" "256" "261" "239" NA
"TDW00011621" "TMIN" "1947" "10" "239" "244" "256" "244" "239" "239" "233" "233" "217" "239" "239" "211" "217" "228" "228" "239" "244" "233" "239" "239" "228" "233" "239" "233" "239" "233" "228" "256" "250" "261" "233"
"TDW00011621" "TMIN" "1947" "11" "239" "233" "244" "233" "233" "222" "228" "222" "233" "233" "233" "228" "228" "222" "222" "239" "294" "233" "228" "228" "233" "244" "267" "222" "233" "222" "228" "228" "211" "211" NA
"TDW00011621" "TMIN" "1947" "12" "217" "222" "222" "228" "222" "228" "222" "228" "233" "217" "228" "233" "217" "233" "222" "233" "228" "222" "217" "228" "239" "228" "228" "217" "228" "228" "217" "222" "217" "239" "222"
"TDW00011621" "TMIN" "1948" "1" "228" "217" "206" "206" "211" "222" "239" "228" "206" "222" "217" "211" "211" "217" NA "217" "211" "217" "283" "222" "222" "206" "211" "217" "228" "228" "222" "222" "228" "217" "222"
"TDW00011621" "TMIN" "1948" "2" "228" "239" "222" "233" "233" "228" "222" "228" "222" "222" "228" "228" "217" "211" "222" "228" "206" "211" "222" "222" "211" "228" "222" "233" "222" "211" "233" "239" "239" NA NA
"TDW00011621" "TMIN" "1948" "3" "233" "228" "222" "222" "217" "211" "233" "200" "211" "233" "217" "228" "217" "211" "222" "211" "228" "222" "239" "239" "239" "239" "222" "222" "217" "233" "217" "222" "217" "233" "217"
"TDW00011621" "TMIN" "1948" "4" "217" "228" "222" "228" "233" "233" "239" "233" "222" "222" "239" "222" "239" "239" "239" "211" "222" "222" "217" "206" "217" "228" "233" "244" "228" "228" "233" "228" "222" "228" NA
"TDW00011621" "TMIN" "1948" "5" "233" "222" "217" "233" "228" "211" "233" "233" "222" "222" "217" "233" "233" "239" "233" "228" "244" "222" "233" "233" "239" "244" "233" "250" "244" "239" "250" "239" "239" "233" "239"
"TDW00011621" "TMIN" "1948" "6" "233" "233" "228" "222" "239" "233" "228" "233" "250" "233" "228" "233" "222" "228" "222" "228" "222" "228" "233" "228" "222" "217" "228" "222" "222" "228" "222" "228" "228" "222" NA
"TDW00011621" "TMIN" "1948" "7" "228" "228" "228" "222" "228" "222" "228" "217" "233" "233" "228" "244" "228" "228" "222" "228" "244" "228" "233" "239" "228" "222" "228" "228" "233" "228" "222" "222" "222" "222" "222"
"TDW00011621" "TMIN" "1948" "8" "228" "244" "233" "239" "233" "233" "239" "222" "233" "228" "222" "228" "222" "244" "239" "228" "233" "233" "233" "233" "228" "222" "217" "228" "228" "222" "244" "239" "211" "222" "239"
"TDW00011621" "TMIN" "1948" "9" "244" "239" "233" "244" "233" "228" "233" "228" "222" "239" "228" "233" "222" "217" "222" "228" "239" "228" "233" "228" "233" "222" "222" "233" "228" "244" "239" "228" "228" "233" NA
"TDW00011621" "TMIN" "1948" "10" "239" "239" "233" "222" "233" "233" "222" "222" "222" "233" "228" "222" "217" "239" "233" "256" "239" "228" "222" "228" "239" "256" "239" "244" "244" "250" "233" "233" "217" "222" "239"
"TDW00011621" "TMIN" "1948" "11" "244" "239" "239" "239" "233" "244" "250" "228" "239" "228" "239" "233" "233" "233" "233" "233" "228" "222" "228" "222" "222" "228" "228" "222" "233" "222" "233" "233" "222" "222" NA
"TDW00011621" "TMIN" "1948" "12" "222" "228" "233" "222" "217" "211" "222" "217" "222" "228" "222" "222" "222" "211" "222" "217" "217" "222" "222" "211" "222" "211" "217" "211" "228" "222" "222" "217" "211" "211" "211"
"TDW00011621" "TMIN" "1949" "1" "228" "217" "228" "211" "217" "222" "217" "222" "222" "233" "200" "217" "206" "200" "228" "233" "206" "239" "233" "239" "239" "217" "217" "206" "211" "211" "206" "233" "228" "206" "211"
"TDW00011621" "TMIN" "1949" "2" "211" "211" "217" "211" "211" "211" "211" NA "217" "211" "211" "217" "239" "222" "200" "217" "222" "217" "222" "239" "239" "239" "222" "222" "206" "217" NA "228" NA NA NA
"TDW00011621" "TMIN" "1949" "3" "222" "211" "217" "217" "228" "222" "217" "222" "211" "211" "222" "211" "211" "222" "217" "217" "222" "217" "217" "222" "222" "222" "217" "222" "217" "211" "211" "211" "222" "222" "217"
"TDW00011621" "TMIN" "1949" "4" "222" "222" "217" "228" "222" "222" "222" "211" "217" "233" "222" "222" "211" "222" "211" "211" "222" "211" "211" "222" "222" "211" "211" "228" "222" "217" "217" "211" "211" "233" NA
"TDW00011621" "TMIN" "1949" "5" "217" "211" "222" "217" "228" "233" "217" "217" "222" "233" "228" "222" "211" "222" "217" "222" "222" "228" "222" "228" "228" "228" "239" "239" "233" "228" "233" "222" "222" "228" "228"
"TDW00011621" "TMIN" "1949" "6" "222" "217" "217" "222" "217" "217" "217" "256" "211" "233" "244" "239" "228" "228" "217" "228" "228" "217" "228" "228" "228" "222" "228" "239" "244" "228" "228" "233" "222" "222" NA
"TDW00011621" "TMIN" "1949" "7" "211" "222" "233" "222" "222" "233" "233" "228" "233" "233" "233" "228" "222" "228" "228" "228" "217" "228" "222" "217" "222" "222" "228" "228" "233" "222" "211" "228" "233" "228" "222"
"TDW00011621" "TMIN" "1949" "8" "228" "222" "194" "228" "222" "228" "222" "228" "244" "233" "228" "239" "239" "222" "217" "222" "228" "239" "228" "233" "233" "244" "228" "233" "217" "222" "222" "228" "222" "233" "228"
"TDW00011621" "TMIN" "1949" "9" "239" "244" "244" "239" "244" "239" "233" "233" "233" "250" "239" "233" "233" "233" "239" "250" "239" "244" "233" "244" "239" "233" "239" "244" "239" "250" "233" "233" "233" "233" NA
"TDW00011621" "TMIN" "1949" "10" "233" "239" "244" "239" "239" "239" "239" "250" "239" "233" "228" "244" "256" "244" "233" "233" "239" "228" "233" "233" "233" "233" "244" "239" "239" NA "233" "239" "233" "239" "239"
"TDW00011621" "TMIN" "1949" "11" "239" "233" "228" "261" "244" "233" "239" "239" "239" "239" "239" "233" "233" "239" "239" "233" "239" "233" "228" "222" "233" "233" "228" "239" "233" "233" "244" "256" "244" "239" NA
