"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"TH000048456" "TMIN" "1943" "1" NA "217" "211" "211" "211" "211" "206" "206" "189" "183" "189" "161" "144" "144" "161" "167" "167" "178" "178" "172" "178" "178" NA "161" "167" "167" "178" "194" "211" "217" "222"
"TH000048456" "TMIN" "1943" "2" "239" "244" "233" "233" "233" "222" NA NA "200" "200" "200" "194" "183" "183" "194" "194" "206" "222" "228" "239" "233" "200" "183" "183" "178" "172" "194" "200" NA NA NA
"TH000048456" "TMIN" "1943" "3" "217" "228" "211" "222" "222" "222" "217" "217" "228" "233" "228" "239" "233" "239" "244" "244" "244" "239" "244" "244" "239" "239" "233" "233" "244" "261" "233" "244" "244" NA NA
"TH000048456" "TMIN" "1943" "4" NA "211" "233" "239" "233" "250" "244" "200" "183" "228" "244" "233" "250" "261" "250" "250" NA "244" "233" "233" "233" "233" "244" "244" "244" "239" "256" "256" "256" NA NA
"TH000048456" "TMIN" "1943" "5" "239" "250" "239" "250" "222" NA "233" "244" "250" "256" "256" "256" "256" "250" NA "256" "239" NA NA "239" "250" "239" "250" "261" "261" "261" "261" "250" NA "250" "250"
"TH000048456" "TMIN" "1943" "6" "250" "250" "256" "250" "261" "250" "250" "250" "233" "239" "250" NA "228" "244" "244" "244" "239" "256" "256" "250" "250" "250" NA "233" "239" "261" "256" "256" "250" "239" NA
"TH000048456" "TMIN" "1943" "7" "256" NA "233" NA "239" "250" "256" "250" "250" NA "244" "244" NA "228" NA NA "244" "250" "250" "250" "244" "250" "256" "256" "256" "250" "250" "250" "250" "244" "233"
"TH000048456" "TMIN" "1943" "8" "233" "256" NA "244" "250" "250" "250" "250" "244" "250" "256" NA "233" "244" "256" "244" "233" "233" "233" "239" NA "239" NA "239" "233" "250" "244" "250" NA "233" "228"
"TH000048456" "TMIN" "1943" "9" "233" "250" "244" "244" "239" "256" "261" NA "256" NA "239" "244" "256" NA "244" "244" "244" NA "244" "239" NA "250" "250" NA "244" "256" NA "222" "256" NA NA
"TH000048456" "TMIN" "1943" "10" "222" "244" "256" NA "239" "233" "233" NA "222" "256" "261" "256" "244" "261" "267" "267" "267" "261" "267" "256" "261" NA "256" "256" NA "261" "256" "250" "244" "233" "233"
