"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"THW00041001" "TMIN" "1964" "1" "200" "228" "222" "244" "222" "211" "200" "211" "206" "194" "194" "200" "211" "206" "222" "233" "228" "217" "233" "239" "228" "228" "239" "222" "222" "211" "228" "222" "211" "211" "222"
"THW00041001" "TMIN" "1964" "2" "228" "228" "211" "206" "222" "228" "233" "233" "233" "239" "239" "233" "194" "222" "228" "228" "239" "250" "256" "233" "222" "228" "211" "228" "217" "183" "183" "161" "178" NA NA
"THW00041001" "TMIN" "1964" "3" "222" "194" "222" "228" "217" "222" "211" "222" "250" "233" "228" "239" "222" "228" "211" "222" "244" "244" "244" "244" "244" "239" "244" "250" "250" "228" "228" "233" "250" "250" "267"
"THW00041001" "TMIN" "1964" "4" "250" "244" "267" "250" "244" "244" "261" "267" "267" "250" "267" "256" "244" "267" "250" "267" "256" "256" "244" "250" "256" "244" "239" "250" "244" "244" "250" "244" "239" "244" NA
"THW00041001" "TMIN" "1964" "5" NA "250" "244" "233" "244" "250" "244" "239" "239" "250" "250" "239" "239" "244" "239" "250" "256" "261" "250" "244" "256" "250" "250" "256" "256" "250" "261" "261" "261" "256" "256"
"THW00041001" "TMIN" "1964" "6" "256" "256" "256" "256" "256" "244" "250" "250" "261" "261" "250" "256" "261" "261" "261" "244" "250" "256" "250" "244" "256" "250" "250" "250" "244" "244" "250" "256" "239" "244" NA
"THW00041001" "TMIN" "1964" "7" "250" "250" "250" "244" "239" "250" "233" "233" "233" "250" "261" "267" "250" "250" "250" "256" "250" "250" "267" "267" "233" "233" "250" "256" "250" "256" "256" "250" "250" "244" "250"
"THW00041001" "TMIN" "1964" "8" "261" "250" "244" "256" "239" "244" "250" "256" "250" "261" "256" "250" "256" "244" "250" "239" "244" "250" "256" "239" "256" "256" "256" "256" "250" "250" "244" "239" "239" "250" "256"
"THW00041001" "TMIN" "1964" "9" "244" "256" "256" "267" "250" "250" "261" "256" "256" "261" "256" "250" "256" "244" "239" "256" "256" "250" "256" "250" "250" "250" "239" "233" "228" "239" "244" "250" "239" "233" NA
"THW00041001" "TMIN" "1964" "10" "244" "244" "250" "244" "244" "256" "250" "250" "233" "244" "250" "250" "256" "256" "250" "256" "250" "261" "250" "256" "250" "256" "256" "239" "244" "244" "250" "256" "244" "261" "256"
"THW00041001" "TMIN" "1964" "11" "261" "261" "250" "250" "256" "250" "250" "256" "250" "222" "228" "222" "217" "206" "206" "189" "222" "222" "228" "222" "233" "222" "200" "194" "189" "178" "194" "206" "233" "239" NA
"THW00041001" "TMIN" "1964" "12" NA "239" "222" "222" "200" "200" "206" "200" "200" "200" "222" "222" "239" "222" "211" "217" "189" "183" "150" "144" "156" "178" "194" "200" "200" "194" "178" "178" "172" "189" "167"
"THW00041001" "TMIN" "1965" "1" "167" "161" "189" "200" "200" "200" "200" "200" "228" "222" "211" "172" "161" "150" "150" "161" "161" "139" "161" "200" "161" "150" "161" "172" "178" "172" "178" "189" "200" "222" "222"
"THW00041001" "TMIN" "1965" "2" "222" "211" "222" "222" "222" "222" "222" "222" "228" "228" "228" "222" "211" "228" "239" "222" "239" "228" "228" "228" "239" "228" "239" "228" "228" "239" "228" "228" NA NA NA
"THW00041001" "TMIN" "1965" "3" "239" "239" "239" "239" "239" "228" "239" "239" "228" "239" "228" "228" "239" "239" "228" "222" "228" "228" "239" "239" "250" "250" "250" "250" "239" "250" "239" "228" "239" "239" "239"
"THW00041001" "TMIN" "1965" "4" NA "250" "250" "250" "250" "239" "239" "250" "250" "239" "250" "239" "239" "239" "228" "239" "250" "250" "250" "250" "250" "261" "261" "261" "261" "250" "261" "261" "261" NA NA
"THW00041001" "TMIN" "1965" "5" "261" "261" "239" "250" "250" "250" "250" "250" "250" "239" "239" "261" "261" "250" "261" "261" "250" "239" "261" "239" "239" "239" "250" "250" "261" "250" "250" "250" "250" "228" "250"
"THW00041001" "TMIN" "1965" "6" "250" "250" "250" "250" "250" "239" "250" "250" "250" "261" "250" "261" "261" "250" "250" "239" "250" "250" "250" "250" "250" "250" "250" "228" "250" "250" "250" "261" "261" "261" NA
