"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"TI000038966" "TMIN" "1960" "12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-278" NA
"TI000038966" "TMIN" "1961" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-228" NA NA NA "-278" "-172" NA "-189" NA
"TI000038966" "TMIN" "1961" "2" NA NA NA "-200" NA NA NA NA NA NA NA NA NA NA "-278" "-289" NA NA NA NA NA NA NA NA "-250" NA NA NA NA NA NA
"TI000038966" "TMIN" "1961" "3" "-278" NA NA NA NA "-289" "-239" NA NA NA "-100" NA "-178" "-128" NA NA NA NA NA NA NA "-228" "-178" "-178" NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1961" "4" NA NA NA "-78" NA NA NA NA "-100" NA NA NA NA NA "-100" "-100" NA NA NA NA NA NA NA "-200" NA NA NA "-100" NA NA NA
"TI000038966" "TMIN" "1961" "5" NA "-61" NA NA "-22" NA NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-61" NA NA NA NA NA "-11"
"TI000038966" "TMIN" "1961" "6" NA NA "28" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1961" "7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "11" NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1961" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-22" NA NA NA NA NA NA NA NA NA "-39" "-78" NA NA NA NA
"TI000038966" "TMIN" "1961" "10" NA NA "-111" NA "-78" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-89" "-78" NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1961" "11" "-261" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-250" NA NA NA NA
"TI000038966" "TMIN" "1962" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-72" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1962" "6" NA NA NA NA NA NA NA NA NA NA "39" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1962" "7" NA NA NA NA NA NA NA NA NA "22" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1962" "8" NA NA NA NA NA NA NA "61" NA NA NA NA "28" NA NA "61" NA NA "28" NA "28" NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1962" "9" "0" NA NA NA "0" NA NA NA "-22" NA NA NA NA "-50" NA NA NA NA NA NA NA NA NA "-22" NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1962" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA "-78" NA NA NA NA "-122" NA "-72" NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1963" "2" NA NA NA NA NA NA "-222" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1963" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-150" NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1973" "1" NA NA NA NA NA NA NA NA NA "-170" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1973" "7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "70" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1973" "8" NA NA NA NA NA NA NA NA NA NA NA NA "10" NA NA NA NA NA NA NA NA NA NA NA NA NA "0" "20" NA NA NA
"TI000038966" "TMIN" "1973" "9" NA NA NA NA "-60" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1973" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-120" NA NA NA NA NA "-110" "-90"
"TI000038966" "TMIN" "1974" "8" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1974" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-110" NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-220" NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-160" NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-90" NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "6" NA NA NA NA NA NA NA NA NA "-10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-20" NA NA
"TI000038966" "TMIN" "1975" "7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "20" "0" "40" NA "20" "20" "10"
"TI000038966" "TMIN" "1975" "8" NA NA NA NA NA NA NA NA NA "0" NA NA NA NA NA "40" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "9" NA NA NA NA NA "-30" NA NA NA NA NA NA NA NA NA "-40" NA NA NA NA NA "-10" "-50" NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "10" NA NA NA NA NA NA NA NA "-60" NA NA NA NA NA NA "-60" NA "-110" NA NA NA NA NA "-220" NA "-230" "-220" NA NA NA NA
"TI000038966" "TMIN" "1975" "11" NA NA NA NA NA NA NA "-260" "-280" NA NA NA NA "-200" "-270" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1975" "12" NA NA "-220" "-220" "-170" NA "-300" NA NA NA "-290" NA "-300" "-300" NA "-320" NA NA NA NA NA NA "-280" NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1976" "1" NA NA NA NA NA NA "-360" NA NA NA NA NA NA NA "-290" NA NA NA "-400" NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1976" "2" NA NA NA NA NA NA NA NA NA "-250" "-200" "-100" "-250" NA NA NA NA NA "-150" NA NA NA NA NA NA NA "-250" NA NA NA NA
"TI000038966" "TMIN" "1976" "3" "-240" "-220" NA NA NA NA NA NA NA NA "-250" NA NA NA NA NA NA NA NA NA NA NA "-150" NA "-200" NA NA "-150" NA NA NA
"TI000038966" "TMIN" "1976" "4" NA NA NA NA NA NA NA NA NA NA "-100" NA NA NA NA NA NA NA "-50" NA NA NA NA NA NA "-20" "-40" NA NA "-50" NA
"TI000038966" "TMIN" "1976" "5" NA NA NA "-60" NA "-50" NA NA "-30" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1976" "6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-40" NA NA NA NA NA NA "30" NA "10" NA NA
"TI000038966" "TMIN" "1976" "7" NA NA NA "10" "-10" NA "30" NA NA NA NA NA "10" NA NA NA NA NA NA NA NA "80" NA "60" "40" NA "10" "0" NA NA NA
"TI000038966" "TMIN" "1976" "8" NA NA NA NA NA NA "10" NA NA NA NA NA NA NA "20" NA NA NA "40" NA NA NA NA "10" NA NA NA "10" NA NA NA
"TI000038966" "TMIN" "1976" "9" NA NA NA NA NA NA "-40" NA NA NA NA "-20" NA "-30" NA NA NA "-20" "-60" "-40" NA NA "-60" NA NA NA "-60" NA NA "-70" NA
"TI000038966" "TMIN" "1976" "10" NA "-60" "-70" NA NA NA NA NA NA NA "-90" NA NA NA NA NA NA NA NA NA "-60" NA NA "-160" NA NA NA NA "-70" "-80" NA
"TI000038966" "TMIN" "1976" "11" NA NA NA NA NA "-70" "-80" "-120" NA "-140" "-140" NA NA "-200" NA NA "-220" "-210" NA NA NA "-210" NA NA "-230" NA "-210" NA NA NA NA
"TI000038966" "TMIN" "1976" "12" NA NA NA NA NA "-240" "-240" "-210" "-270" NA "-260" "-240" NA NA "-190" NA "-220" NA "-180" NA NA "-150" NA NA NA NA "-230" "-220" NA NA NA
"TI000038966" "TMIN" "1977" "1" "-160" NA "-190" NA NA "-240" "-270" "-140" "-140" "-120" NA NA "-300" "-220" "-190" "-200" "-170" NA NA "-250" "-240" "-120" NA "-130" "-130" NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "2" NA NA NA NA "-310" NA NA "-200" "-220" "-240" NA NA "-250" NA "-250" NA NA NA "-150" NA "-260" NA NA NA "-230" NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "3" NA NA NA NA "-250" "-120" NA NA NA NA "-200" NA NA NA NA NA "-200" NA NA NA "-150" NA NA "-80" NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "4" NA NA NA NA NA NA NA NA NA NA NA NA "-80" NA NA NA NA NA NA NA NA NA NA NA NA NA "-20" NA NA NA NA
"TI000038966" "TMIN" "1977" "5" NA NA NA NA NA NA NA NA NA NA NA NA NA "-50" NA NA "-10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "6" NA "-20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "7" NA NA NA "30" NA NA NA "50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "8" NA "30" NA "80" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1977" "9" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-40" "-50" NA NA NA
"TI000038966" "TMIN" "1977" "10" NA NA NA NA NA "-20" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-50" NA NA NA
"TI000038966" "TMIN" "1977" "12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-280" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1978" "1" "-250" NA NA NA "-370" NA NA NA NA NA NA NA NA NA NA "-270" NA NA NA NA NA NA "-140" NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1978" "2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-180" NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1978" "8" NA NA NA NA NA NA NA NA NA NA NA NA "0" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1978" "11" NA NA NA NA "-150" NA NA NA NA "-150" NA NA NA NA NA NA NA NA NA NA NA NA NA "-360" NA NA "-330" NA NA "-320" NA
"TI000038966" "TMIN" "1978" "12" NA "-310" "-320" NA NA "-160" NA NA "-200" NA "-180" NA "-200" "-210" NA "-200" NA NA NA NA "-200" "-210" NA NA NA NA NA "-230" NA NA "-210"
"TI000038966" "TMIN" "1979" "1" "-220" "-260" NA NA "-270" NA "-190" "-100" NA NA NA "-80" "-150" NA NA "-190" NA NA NA NA "-280" NA NA "-210" "-110" NA NA "-250" "-290" NA NA
"TI000038966" "TMIN" "1979" "2" "-260" "-220" NA "-190" "-180" NA "-190" NA "-220" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"TI000038966" "TMIN" "1979" "11" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-180" NA NA NA NA NA "-190" "-190" NA
