"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"TUW00033308" "TMIN" "1955" "3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "67" "72" "56" "122" NA NA
"TUW00033308" "TMIN" "1955" "6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "189" NA "172" "206" "217" "222" "183" "161" "194" "194" "200" "200" "200" "228" "228" NA
"TUW00033308" "TMIN" "1955" "7" "228" "217" "211" "200" "211" "217" "217" "233" "217" "228" "211" "217" "217" "217" "222" "239" "228" "222" "228" "244" "239" "222" "217" "211" "233" "228" "228" "228" "233" "233" "200"
"TUW00033308" "TMIN" "1955" "8" "200" "200" "189" "217" "228" "222" "228" "233" "228" "211" "217" "222" "206" "217" "217" "211" "200" "200" "200" "211" "217" "222" "206" "217" "211" "194" "178" "189" "217" "211" "211"
"TUW00033308" "TMIN" "1955" "9" "222" "222" "211" "222" "217" "222" "211" "206" "206" "200" "194" NA NA "189" "211" "206" "206" "206" "189" "178" "206" "206" "206" "206" "194" "178" "178" "156" "172" "178" NA
"TUW00033308" "TMIN" "1955" "10" "206" "200" "189" "189" "183" "167" "161" "178" "183" "194" "178" "194" "200" "178" "167" "161" "167" "167" "156" "161" "172" "144" "194" "189" "161" "156" "167" "156" "139" "139" "150"
"TUW00033308" "TMIN" "1955" "11" "139" "133" "139" "150" "189" "167" "161" "172" "128" "128" "117" "89" "89" "89" "94" "122" "122" "122" "128" "117" "106" "117" "56" "56" "61" "111" "122" "100" "67" "67" NA
"TUW00033308" "TMIN" "1955" "12" "33" "11" "22" "11" "56" "78" "39" "33" "83" "100" "117" "100" "106" "100" "78" "78" "56" "50" "89" "106" "106" "111" "139" "128" "100" "72" "67" "94" "67" "78" "56"
"TUW00033308" "TMIN" "1956" "1" "72" "72" "67" "72" "72" "61" "61" "83" "78" "44" "56" "50" "22" "11" "11" "28" "28" "44" "44" "72" "67" "67" "72" "83" "72" "111" "89" "89" "39" "11" "-28"
"TUW00033308" "TMIN" "1956" "2" "17" "28" "56" "67" "72" "89" "72" "67" "33" "17" "17" "17" "78" "100" "100" "67" "67" "67" "106" "117" "106" "78" "78" "56" "50" "56" "94" "89" "56" NA NA
"TUW00033308" "TMIN" "1956" "3" "33" "39" "78" "61" "33" "50" "94" "89" "83" "89" "100" "39" "39" "100" "100" "50" "28" "56" "89" "94" "78" "67" "39" "28" "67" "28" "28" "44" "56" "39" "17"
