"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"USC00041805" "TMIN" "1909" "10" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "33" "28" "39" "22" "11" "-11" "0" "-39" "-33" "-33" "-17" "56" "0" "-28" "6"
"USC00041805" "TMIN" "1909" "11" "44" "50" "-11" "-6" "28" "-39" "-11" "-17" "-11" "-17" "-78" "-78" "-22" "-72" "-128" "-100" "11" "22" "22" "56" "22" "44" "56" "50" "0" "-50" "-72" "-28" "-11" "11" NA
"USC00041805" "TMIN" "1909" "12" "11" "-72" "-106" "-100" "-67" "-161" "-44" "0" "-11" "-56" "-44" "11" "-33" "-50" "-78" "-67" "-122" "-89" "-56" "-100" "-128" "-100" "-167" "-78" "-67" NA "-122" "-111" "-100" "-6" "-22"
"USC00041805" "TMIN" "1910" "1" NA NA "-289" "-244" "-239" NA "-78" "-111" NA NA "-144" NA "-83" "-78" NA "-178" "-144" NA NA "-128" "-28" NA "22" "-11" NA NA "-50" "0" "-56" "-44" "-50"
"USC00041805" "TMIN" "1910" "2" "-161" "-150" "-161" "-144" "-128" "-106" "-83" "-78" "-22" "-83" "-11" "-50" "17" "-39" "-117" "-128" "-50" "-11" "-28" "-67" "-111" "-28" "0" "22" "-6" "-39" "0" "17" NA NA NA
"USC00041805" "TMIN" "1910" "3" "28" "6" "-11" "-22" "-33" "-22" "-28" "-28" "-17" "-17" "-17" "-6" "6" "-6" "17" "-6" "33" "72" "44" "17" "56" "6" "-50" "-44" "-39" "-11" "-11" "0" "-56" "-28" "0"
"USC00041805" "TMIN" "1910" "4" "28" "44" "-44" "-50" "17" "6" "17" "11" "11" "28" "0" "-22" "-11" "-44" "-22" "6" "50" "94" "22" "-17" "11" "50" "28" "78" "39" "11" "22" "-39" "0" "11" NA
"USC00041805" "TMIN" "1910" "5" "-6" "0" "0" "6" "22" "22" "44" "56" "106" "56" "17" "6" "33" "-6" "0" "17" "6" "44" "33" "22" "56" "56" "67" "111" "61" "61" "100" "39" "39" "156" "100"
"USC00041805" "TMIN" "1910" "6" "133" "22" "28" "106" "50" "61" "28" "-11" "44" "78" "56" NA "56" "67" "78" "67" "89" "78" "83" "-11" "0" "22" "6" "67" "50" "56" "111" "44" "44" "61" NA
"USC00041805" "TMIN" "1910" "7" "56" "83" "78" "67" "56" "61" "128" "133" "139" "144" "139" "139" "144" "156" "100" "83" "83" "139" "167" "100" "139" "78" "78" "83" "128" "139" "111" "106" "111" "111" "111"
"USC00041805" "TMIN" "1910" "8" "111" "94" "100" "100" "94" "72" "72" "111" "106" "117" "117" "89" "83" "72" "56" "44" "78" "89" "106" "78" "67" "61" "56" "72" "83" "94" "50" "-6" "22" "33" "56"
"USC00041805" "TMIN" "1910" "9" "50" "61" "56" "44" "22" "44" "-39" "61" "39" "44" "28" "22" "17" "-11" "17" "11" "0" "17" "22" "33" "6" "33" "39" "28" "39" "44" "28" "33" "39" "39" NA
"USC00041805" "TMIN" "1910" "10" "33" "-39" "11" "-22" "28" "6" "33" "61" "61" "56" "67" "17" "-17" "-22" "0" "0" "44" "-17" "0" "6" "0" "-6" "-6" "-22" "-17" "-22" "-22" "-6" "0" "-11" "-11"
"USC00041805" "TMIN" "1910" "11" "-22" "-11" "-22" "-67" "-44" "56" "17" "11" "17" "11" "11" "-22" "-50" NA "-50" "-11" "-22" "-22" "-61" "-11" "-6" "6" NA "0" "-128" "-167" "-144" "-167" "-122" "-22" NA
"USC00041805" "TMIN" "1910" "12" "11" "0" "6" "-11" "-6" "-39" "-33" "-6" "6" "6" "-6" "-11" "0" "-22" "-17" "-11" "-39" "-50" "-50" "-61" "-67" "-61" "-17" "-67" "-117" "-117" "-67" "-94" "-39" "-28" "-39"
"USC00041805" "TMIN" "1911" "1" "-44" "-94" "-94" "-44" "-56" "-44" "-61" "-56" "-56" "-78" "-122" "-117" "-122" "-78" "-67" "-94" "-56" "-22" "11" "-33" "-211" "-267" "-244" "-11" "17" "-17" "-17" "-6" "-6" NA NA
"USC00041805" "TMIN" "1911" "2" "-22" "6" "-22" "-122" "-56" "-22" "-178" "-144" "-144" "-22" "6" "-172" "-67" "-150" "-122" "-106" "-78" "-144" "-72" "-178" "-161" "-150" "-144" "-150" "-156" "-144" "-139" "-117" NA NA NA
"USC00041805" "TMIN" "1911" "3" "-50" "-67" "-33" "-44" "-61" "-22" "-33" "-100" "-61" "-44" "-61" "-106" "-106" "-100" "-100" "-78" "-83" "-67" "-61" "-39" "-28" "-33" "-6" "-17" "-28" "-39" "-22" "-28" "-11" "0" "0"
"USC00041805" "TMIN" "1911" "4" "-6" "-6" "11" "22" "17" "-17" "-33" "-17" "-17" "-17" "-33" "-94" "-94" "-67" "-44" "6" "-17" "-17" "-61" "-6" "0" "-17" "11" "11" "61" "6" "6" "-6" "0" "6" NA
"USC00041805" "TMIN" "1911" "5" "22" "0" "72" "67" "6" "22" "0" "11" "-39" "0" "6" "44" "0" "6" "-17" "6" "11" "17" "-39" "6" "44" "33" "56" "-17" "-11" "-17" "6" "33" "61" "72" "61"
"USC00041805" "TMIN" "1911" "6" "61" "11" "22" "28" "22" "44" "72" "72" "33" "72" "78" "100" "117" "72" "100" "72" "83" "83" "94" "100" "106" "72" "72" "0" "44" "50" "44" "61" "44" "28" NA
"USC00041805" "TMIN" "1911" "7" "22" "61" "44" "50" "100" "128" "56" "78" "61" "83" "106" "111" "117" "128" "161" "133" "156" "122" "128" "117" "100" "61" "94" "128" "133" "139" "117" "133" "139" "128" "67"
"USC00041805" "TMIN" "1911" "8" "94" "89" "78" "89" "100" "78" "89" "100" "83" "78" "94" "94" "78" "78" "67" "61" "106" "72" "78" "72" "83" "78" "78" "72" "83" "78" "89" "78" "83" "78" "72"
"USC00041805" "TMIN" "1911" "9" NA "72" "83" "72" "44" "28" "17" "100" "94" "17" "6" "44" "0" "17" "0" "-22" "-17" "17" "44" "39" "44" "44" "39" "78" "72" "28" "-17" "-11" "-44" "44" NA
"USC00041805" "TMIN" "1911" "10" "72" "22" "-33" "22" "-11" "-11" "39" "56" "17" "-50" "-33" "11" "39" "6" "6" "6" "0" "-17" "-17" "-22" "-39" "-22" "6" "6" "11" "11" "-22" "-33" "-17" "0" "-11"
"USC00041805" "TMIN" "1911" "11" "11" "-44" "-39" "-22" "-39" NA "67" "0" "6" NA "-161" "-122" "-33" "-78" "-33" "-22" "-50" "-50" "-33" NA NA "-117" "-78" "-67" "-67" "-50" "-17" "-67" "-67" "-33" NA
"USC00041805" "TMIN" "1911" "12" "-61" "-50" "6" "-22" "-11" "6" "-89" "-50" "-61" "-89" "-117" "-89" "-89" "-72" "-33" "-44" "-122" "-156" "-106" "-128" "-150" "-106" "-67" "-122" "-150" "-100" "-50" "-144" "-206" "-122" "-56"
