"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"USR0000ANIX" "TMIN" "1992" "1" "44" "50" "33" "33" "67" "11" "11" "11" "28" "56" "33" "50" "-11" "6" "22" "39" "39" "56" "89" "67" "11" "22" "33" "39" "72" "72" "72" "78" "100" "89" "94"
"USR0000ANIX" "TMIN" "1992" "2" "111" "100" "61" "100" "83" "117" "83" "89" "94" "83" "89" "83" "67" "72" "50" "50" "50" "50" "61" "83" "83" "111" "100" "56" "78" "94" "94" "94" "111" NA NA
"USR0000ANIX" "TMIN" "1992" "3" "150" "89" "89" "89" "72" "78" "83" "56" "39" "56" "83" "94" "94" "111" "139" "122" "78" "72" "100" "144" "94" "100" "89" "83" "117" "100" "106" "100" "94" "106" "100"
"USR0000ANIX" "TMIN" "1992" "4" "111" "89" "111" "122" "128" "133" "133" "128" "133" "128" "144" "194" "183" "133" "117" "139" "144" "139" "106" "94" "128" "122" "128" "161" "194" "183" "178" "172" "106" "94" NA
"USR0000ANIX" "TMIN" "1992" "5" "39" "6" "28" "67" "72" "56" "28" "33" "22" "11" "56" "61" "28" "33" "50" "39" "28" "72" "67" "61" "61" "44" "17" "44" "39" "83" "67" "67" "56" "50" "67"
"USR0000ANIX" "TMIN" "1992" "6" "83" "83" "89" "89" "128" "67" "44" "83" "67" "89" "61" "44" "22" "39" "-11" "28" "11" "28" "44" "50" "56" "89" "100" "89" "83" "67" "83" "111" "133" "106" NA
"USR0000ANIX" "TMIN" "1992" "7" "61" "33" "67" "139" "133" "117" "139" "128" "83" "106" "122" "100" "100" "78" "78" "89" "111" "111" "100" "128" "133" "156" "133" "111" "100" "94" "94" "106" "122" "156" "128"
"USR0000ANIX" "TMIN" "1992" "8" "106" "128" "139" "122" "139" "117" "111" "122" "100" "139" "133" "111" "128" "139" "133" "139" "139" "139" "128" "139" "117" "111" "111" "56" "94" "67" "39" "61" "89" "94" "56"
"USR0000ANIX" "TMIN" "1992" "9" "44" "61" "78" "128" "83" "78" "83" "94" "78" "61" "100" "106" "94" "100" "94" "94" "83" "106" "67" "67" "89" "67" "83" "100" "44" "11" "44" "56" "83" "72" NA
"USR0000ANIX" "TMIN" "1992" "10" "78" "67" "28" "0" "0" "6" "-6" "-17" "33" "17" "11" "28" "33" "61" "33" "44" "11" "50" "33" "22" "50" "22" "28" "56" "22" "6" "39" "22" "39" "56" "-28"
"USR0000ANIX" "TMIN" "1992" "11" "-39" "11" "-22" "-50" "-61" "-56" "-44" "-28" "-17" "-50" "-100" "-67" "-56" "-28" "-22" "-22" "-39" "-39" "-61" "-61" "-94" "-50" "-117" "-133" "-150" "-100" "-83" "-100" "-117" "-128" NA
"USR0000ANIX" "TMIN" "1992" "12" "-89" "-44" "-61" "-28" "-50" "-106" "-78" "-83" "-56" "-56" "6" "-67" "-139" "-167" "-89" "-172" "-61" "-167" "-206" "-156" "-156" "-150" "-111" "-117" "-106" "-106" "-50" "0" "6" "-39" "-78"
"USR0000ANIX" "TMIN" "1993" "1" "-17" "-111" "-200" "-139" "-67" "-11" "22" "-11" "-11" "-6" "-161" "-172" "-28" "6" "0" "6" "11" "-6" "-39" "-67" "-56" "28" "-72" "-100" "-67" "-44" "-50" "-72" "-61" "-39" "-11"
"USR0000ANIX" "TMIN" "1993" "2" "-78" "-106" "-94" "-39" "-33" "-28" "-22" "0" "-22" "-50" "-72" "-56" "-78" "-72" "-94" "-22" "-33" "-39" "28" "-33" "-44" "-83" "-28" "-56" "-67" "-72" "-44" "-22" NA NA NA
"USR0000ANIX" "TMIN" "1993" "3" "-56" "-89" "-94" "-44" "-67" NA NA NA NA "-17" "-33" "-33" "-56" "-22" "-6" "-11" "11" "6" "-17" "-11" "-22" "-22" "-17" "6" "33" "6" "-6" "-39" "-67" "-11" "-22"
"USR0000ANIX" "TMIN" "1993" "4" "-11" "0" "-6" "0" "-6" "-44" "-67" "-11" "-6" "0" "-6" "-61" "-33" "-61" "83" "106" NA NA "-176" "106" "128" "100" "6" "-6" "-17" "11" "11" "0" "11" "17" NA
"USR0000ANIX" "TMIN" "1993" "5" "6" "-6" "44" "-39" "-50" "-17" "17" "39" "6" "22" "50" "67" "50" "44" "94" "89" "67" "56" "44" "72" "83" "61" "67" "50" "72" "78" "72" "50" "22" "28" "61"
"USR0000ANIX" "TMIN" "1993" "6" "39" "33" "22" "50" "178" "33" "-6" "11" "11" "22" "56" "56" "61" "72" "78" "106" "72" "22" "72" "100" "72" "61" "78" "50" "50" "78" "89" "100" "83" "89" NA
"USR0000ANIX" "TMIN" "1993" "7" "122" "161" "133" "117" "89" "122" "139" "144" "172" "122" "111" "150" "100" "83" "72" "94" "72" "94" "100" "67" "94" "83" "133" "122" "144" "89" "100" "89" "128" "122" "122"
"USR0000ANIX" "TMIN" "1993" "8" "133" "156" "150" "128" "117" "106" "122" "144" "133" "122" "94" "94" "72" "100" "106" "89" "61" "89" "111" "100" "78" "67" "78" "122" "111" "83" "100" "72" "133" "106" "100"
"USR0000ANIX" "TMIN" "1993" "9" "94" "94" "89" "100" "83" "89" "67" "72" "78" "72" "122" "94" "44" "-11" "28" "78" "33" "11" "0" "11" "39" "28" "28" "-11" "0" "50" "22" "28" "44" "56" NA
