"Id" "Elements" "Year" "Month" "Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31"
"USW00026410" "TMIN" "1909" "5" NA NA NA NA NA NA "22" "33" "39" "17" "28" "28" "39" "22" "17" "33" "33" "39" "50" "44" "33" "61" "50" "50" "44" "50" "44" "50" "78" "72" "44"
"USW00026410" "TMIN" "1909" "6" "50" "50" "72" "50" "56" "44" "67" "56" "44" "56" "39" "61" "67" "61" "61" "72" "72" "78" "56" "56" "56" "83" "78" "67" "78" "89" "111" "117" "122" "111" NA
"USW00026410" "TMIN" "1909" "7" "133" "117" "122" "100" "94" "83" "106" "94" "106" "111" "111" "100" "106" "83" "106" "122" "128" "117" "100" "122" "122" "128" "111" "106" "106" "100" "117" "100" "94" "100" "106"
"USW00026410" "TMIN" "1909" "8" "117" "106" "106" "111" "117" "94" "94" "111" "106" "106" "94" "94" "94" "117" "106" "106" "122" "94" "106" "100" "100" "94" "94" "100" "100" "61" "56" "83" "94" "89" "72"
"USW00026410" "TMIN" "1909" "9" "50" "61" "61" "100" "100" "83" "61" "100" "89" "89" "67" "67" "78" "44" "72" "56" "61" "72" "72" "67" "33" "22" "33" "33" "0" "6" "22" "28" "28" "39" NA
"USW00026410" "TMIN" "1909" "10" "0" "11" "17" "11" "0" "-11" "17" "0" "-22" "6" "50" "44" "28" "44" "28" "6" "0" "-6" "-6" "-11" "11" "-6" "11" "0" "22" "33" "11" "11" "-6" "22" "28"
"USW00026410" "TMIN" "1909" "11" "28" "22" "11" "6" "6" "-28" "-33" "-6" "-22" "-17" "-22" "-22" "6" "11" "6" "-17" "0" "11" "-6" "-28" "-61" "-78" "-72" "-83" "-111" "-61" "-94" "-100" "-100" "-111" NA
"USW00026410" "TMIN" "1909" "12" "-83" "-22" "-11" "-117" "-117" "-100" "-100" "-106" "-78" "-44" "-44" "-78" "-17" "0" "-17" "6" "-17" "17" "17" "11" "0" "6" "-17" "-11" "0" "0" "0" "11" "-28" "-61" "-61"
"USW00026410" "TMIN" "1910" "1" "0" "-33" "-17" "0" "11" "17" "11" "-67" "-111" "-106" "-78" "-117" "-94" "-100" "-61" "-94" "-39" "-72" "-89" "-94" "-122" "-28" "-17" "-61" "0" "-33" "-83" "-67" "-111" "-117" "-128"
"USW00026410" "TMIN" "1910" "2" "-106" "-144" "-61" "0" NA "-6" "0" "11" "11" "-6" "-6" "-50" "-72" "-72" "-83" "17" "0" "-33" "-6" "-39" "-6" "-50" "-61" "-72" "-111" "-156" "-100" "-133" NA NA NA
"USW00026410" "TMIN" "1910" "3" "-106" "-133" "-117" "-111" "-106" "-100" "-106" "-33" "-11" "0" "11" "-39" "-11" "6" "33" "28" "17" "17" "11" "17" "11" "0" "-28" "0" "0" "-11" "-11" "0" "-11" "-6" "-22"
"USW00026410" "TMIN" "1910" "4" "11" "0" "-6" "17" "-39" "-61" "-67" "-56" "-28" "-44" "-39" "6" "-6" "-33" "-11" "-11" "-33" "-28" "-22" "-11" "-6" "11" "17" "0" "11" "6" "6" "11" "17" "6" NA
"USW00026410" "TMIN" "1910" "5" "33" "17" "28" "28" "17" "28" "-6" "17" "17" "0" "22" "28" "28" "33" "50" "44" "17" "28" "28" "39" "11" "28" "33" "33" "50" "61" "56" "50" "44" "56" "44"
"USW00026410" "TMIN" "1910" "6" "33" "61" "44" "33" "44" "50" "39" "56" "33" "33" "28" "28" "33" "50" "67" "67" "56" "72" "56" "94" "78" "72" "72" "89" "78" "89" "78" "83" "78" "78" NA
"USW00026410" "TMIN" "1910" "7" "89" "78" "83" "78" "78" "72" "83" "78" "67" "94" "94" "83" "83" "94" "100" "78" "83" "78" "89" "61" "56" "89" "83" "94" "83" "100" "106" "100" "106" "117" "94"
"USW00026410" "TMIN" "1910" "8" "100" "89" "94" "89" "83" "100" "100" "83" "72" "89" "100" "122" "94" "94" "89" "111" "106" "106" "106" "89" "94" "89" "106" "106" "100" "111" "83" NA "72" "83" "100"
"USW00026410" "TMIN" "1910" "9" "106" "100" "61" "83" "72" "89" "72" "83" "100" "106" "89" "94" "89" "100" "94" "89" "94" "94" "89" "67" "61" "44" "39" "61" "61" "28" "44" "67" "56" "61" NA
