year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1955,22.1010869565217,21.9673913043478,22.610989010989,21.6611111111111
1956,22.5173913043478,21.2478260869565,21.7032967032967,21.7912087912088
1957,22.1880434782609,21.6510869565217,21.7263736263736,22.0511111111111
1958,21.8315217391304,22.2652173913043,22.4175824175824,22.6188888888889
1959,22.9510869565217,21.8282608695652,22.0648351648352,22.7044444444444
1960,21.2326086956522,21.479347826087,21.3472527472527,21.8307692307692
1961,20.8760869565217,20.2608695652174,21.0406593406593,21.5522222222222
1962,19.5913043478261,21.0445652173913,22.0032967032967,20.55
1963,21.5271739130435,20.979347826087,21.6483516483516,21.9
1964,22.0760869565217,21.7402173913043,22.0912087912088,22.7714285714286
1965,22.2771739130435,21.875,22.6021978021978,22.6788888888889
1966,21.5076086956522,22.3,21.3362637362637,21.4744444444444
1967,21.7,21.7,21.7,21.4144444444444
