year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1959,-8.02287065217391,7.84239673913043,-7.51407252747253,-29.9172177777778
1960,-8.97586847826087,8.05165326086957,-7.60014505494506,-29.082143956044
1961,-6.03152173913043,10.1760869565217,-6.54835164835165,-31.31
1962,-5.1,11.345652173913,-5.15824175824176,-29.1566666666667
1963,-4.00652173913044,10.254347826087,-4.61648351648352,-26.9833333333333
1964,-3.85108695652174,11.3391304347826,-5.78351648351648,-28.8373626373626
1965,-4.14891304347826,11.1619565217391,-5.06373626373626,-25.52
1966,-3.23913043478261,10.9913043478261,-3.94065934065934,-25.6133333333333
1967,-3.17717391304348,10.2782608695652,-8.32747252747253,-31.6144444444444
1968,-5.76847826086957,10.470652173913,-5.6967032967033,-31.2549450549451
1969,-4.16847826086956,10.7978260869565,-6.22637362637363,-31.1311111111111
1970,-6.9304347826087,10.120652173913,-7.17142857142857,-26.3466666666667
1971,-5.56413043478261,9.16630434782609,-7.13736263736264,-26.0511111111111
1972,-3.91521739130435,8.63586956521739,-6.92527472527473,-26.0428571428571
1973,-4.60434782608696,10.9586956521739,-4.57802197802198,-24.6366666666667
1974,-3.83152173913044,11.8152173913043,-6.08131868131868,-29.3522222222222
1975,-4.46847826086957,11.0010869565217,-5.98901098901099,-28.79
1976,-6.22826086956522,10.145652173913,-6.69230769230769,-25.7626373626374
1977,-5.34782608695652,10.5597826086957,-5.42857142857143,-30.8444444444444
1978,-3.77391304347826,11.1228260869565,-5.16263736263736,-27.63
1979,-4.16739130434783,11.5989130434783,-4.55714285714286,-20.7722222222222
1980,-5.61413043478261,11.5804347826087,-3.49010989010989,-27.3175824175824
1981,-2.8445652173913,12.4402173913043,-7.76923076923077,-31.84
1982,-3.75652173913044,11.0413043478261,-3.91758241758242,-27.78
1983,-5.54021739130435,10.1663043478261,-4.35934065934066,-29.3366666666667
1984,-5.70434782608696,10.4076086956522,-4.05714285714286,-33.132967032967
1985,-5.54347826086956,10.779347826087,-5.43406593406593,-27.2066666666667
1986,-3.05652173913043,11.1597826086957,-9.22087912087912,-27.2766666666667
1987,-5.2445652173913,10.8630434782609,-6.02087912087912,-24.3788888888889
1988,-5.10652173913043,11.1739130434783,-3.74945054945055,-24.6967032967033
1989,-3.42391304347826,10.8228260869565,-3.9956043956044,-25.7144444444444
1990,-3.22173913043478,11.3739130434783,-3.44175824175824,-23.8798344444444
1991,-5.14456521739131,12.3260869565217,-3.8043956043956,-24.4355555555556
1992,-2.30652173913043,11.4782608695652,-5.36043956043956,-26.6318681318681
1993,-3.43586956521739,10.7271739130435,-5.87692307692308,-23.8311111111111
1994,-3.12282608695652,11.1032608695652,-3.52087912087912,-21.7122222222222
1995,-3.6304347826087,11.5010869565217,-3.65386373626374,-24.0077777777778
1996,-4.52608695652174,12.245652173913,-5.3978021978022,-23.8472527472527
1997,0.171739130434783,11.5652173913043,-4.6956043956044,-22.3744444444444
1998,-1.70108695652174,13.0282608695652,-1.9010989010989,-22.7444444444444
1999,-4.34309891304348,11.7964163043478,-4.5085989010989,-21.1342088888889
2000,-2.73649565217391,11.5786739130435,-6.5879032967033,-24.2924197802198
2001,-2.90068260869565,12.1215,-3.98332417582418,-25.5018777777778
2002,-4.12205869565217,12.6607097826087,-4.9123,-25.3620033333333
2003,-5.29507391304348,10.6388532608696,-5.42411428571429,-25.1808511111111
2004,-2.51781739130435,11.0030869565217,-5.68988901098901,-23.3563285714286
2005,-5.53074891304348,9.91317717391304,-4.29063296703297,-31.1189566666667
2006,-4.27731739130435,10.7034717391304,-3.67783736263736,-22.2224333333333
2007,-3.09933043478261,12.3913423913043,-4.4534967032967,-23.2936055555556
2008,-2.23676956521739,11.0317804347826,-3.34770549450549,-28.2663241758242
2009,-2.77098695652174,10.2408586956522,-5.59101758241758,-26.6357033333333
2010,-6.39693043478261,10.9214847826087,-4.18338791208791,-27.5574722222222
2011,-5.03686413043478,10.9964336956522,-5.06338901098901,-28.3911877777778
2012,-4.608325,11.6637141304348,-4.25898351648352,-28.9320967032967
2013,-1.45173804347826,10.8058913043478,-4.1482032967033,-24.2193355555556
2014,-3.15346413043478,10.1993413043478,-4.83413956043956,-26.5228777777778
2015,-3.73035434782609,11.3418076086957,-5.61320879120879,-21.6823388888889
2016,-3.48394891304348,11.5477489130435,-5.31282637362637,-25.6632747252747
2017,-1.60033260869565,1.25366413043478,-3.3,-15.8015588888889
