year,tmax_spr,tmax_sum,tmax_aut,tmax_win
1950,-15.9197445652174,4.35869565217391,-5.72307692307692,-15.6555555555556
1951,-16.2,3.44673913043478,-5.46043956043956,-27.6966666666667
1952,-21.3728260869565,4.2804347826087,-9.34285714285714,-27.8868131868132
1953,-15.670652173913,5.93478260869565,-9.50879120879121,-23.6166666666667
1954,-16.9413043478261,5.65108695652174,-6.31318681318681,-26.3433333333333
1955,-17.6086956521739,4.65,-8.40989010989011,-28.3711111111111
1956,-18.2902173913043,5.82934782608696,-10.3659340659341,-25.5461538461538
1957,-19.7336956521739,6.09891304347826,-11.8714285714286,-29.5133333333333
1958,-23.504347826087,1.73804347826087,-9.5021978021978,-30.3977777777778
1959,-19.2847826086957,6.06581413043478,-6.16208351648352,-26.3616544444444
1960,-21.5217391304348,2.98369565217391,-10.8010989010989,-30.3296703296703
1961,-15.3923913043478,4.19130434782609,-8.55384615384615,-28.4155555555556
1962,-15.270652173913,5.51086956521739,-6.7054945054945,-26.9755555555556
1963,-20.9108695652174,5.75,-7.67912087912088,-30.4422222222222
1964,-22.1967391304348,3.56086956521739,-9.41208791208791,-26.7659340659341
1965,-19.6315217391304,4.58695652173913,-11.1131868131868,-28.7722222222222
1966,-22.0717391304348,3.65108695652174,-10.7813186813187,-30.4277777777778
1967,-14.125,4.46195652173913,-4.37472527472527,-28.2366666666667
1968,-16.6945652173913,1.90760869565217,-12.2692307692308,-28.7351648351648
1969,-21.2923913043478,3.12934782608696,-6.28461538461538,-28.9111111111111
1970,-19.495652173913,2.00108695652174,-9.48571428571429,-29.0166666666667
1971,-19.5434782608696,3.84130434782609,-8.04175824175824,-29.8511111111111
1972,-19.5086956521739,3.56086956521739,-10.2197802197802,-28.2945054945055
1973,-17.3173913043478,4.56739130434783,-8.12747252747253,-28.37
1974,-18.0532608695652,3.26630434782609,-12.7714285714286,-28.4477777777778
1975,-18.1815217391304,4.78260869565217,-8.98021978021978,-24.93
1976,-16.2728260869565,4.72391304347826,-8.91208791208791,-27.4296703296703
1977,-16.495652173913,6.4695652173913,-8.13736263736264,-32.1555555555556
1978,-20.0282608695652,3.51304347826087,-6.64065934065934,-31.4544444444444
1979,-20.8630434782609,5.02282608695652,-7.99450549450549,-33.42
1980,-16.8989130434783,3.09021739130435,-8.29120879120879,-26.9901098901099
1981,-20.2521739130435,6.10652173913043,-4.16043956043956,-22.4677777777778
1982,-16.4597826086957,4.95434782608696,-10.7296703296703,-26.1533333333333
1983,-19.5858695652174,4.75434782608696,-5.56373626373626,-25.4722222222222
1984,-20.2521739130435,5.35543478260869,-11.3263736263736,-22.7923076923077
1985,-17.7,4.58152173913044,-6.19010989010989,-30.9666666666667
1986,-17.2652173913043,5.18478260869565,-4.73846153846154,-29.3622222222222
1987,-17.5434782608696,3.67826086956522,-6.94175824175824,-29.3922222222222
1988,-17.7586956521739,5.32934782608696,-8.6989010989011,-26.5241758241758
1989,-16.4782608695652,5.89891304347826,-8.00769230769231,-29.1644444444444
1990,-14.6923913043478,6.66739130434783,-11.3945054945055,-30.0888888888889
1991,-15.9847826086957,5.76304347826087,-6.26483516483516,-29.3911111111111
1992,-18.15,3.81847826086956,-12.6483516483516,-27.2373626373626
1993,-16.0086956521739,6.37934782608696,-7.50879120879121,-24.2411111111111
1994,-14.882352173913,-11.8,-11.8,-26.1255555555556
