"GHCN_ID","Start_yr","End_yr","Yr_count","HofX","HofY","HofXY","HXofY","s","t","P","C","M","CbyP","MbyP","Mutual","GC","C_freedom","GM","M_freedom","GP","P_freedom"
"AG000060680",1940,2014,75,0.602059991327962,0.68661556098516,0.819395288592694,0.217335297264732,10,4,0.782664702735268,0.31338443901484,0.469280263720428,0.400407017104029,0.599592982895971,0.469280263720428,969.581719205332,9,281.568158232257,27,1251.14987743759,36
"AQC00914397",1967,1978,12,0.602059991327962,0.517769415303466,1.0395298326662,0.437469841338235,10,4,0.562530158661765,0.482230584696534,0.080299573965231,0.857252855284666,0.142747144715334,0.0802995739652309,171.342305058296,9,7.70875910066218,27,179.051064158958,36
"AQC00914873",1955,1967,13,0.602059991327962,0.3225203104744,0.894861839160002,0.292801847832039,10,4,0.707198152167961,0.6774796895256,0.0297184626423609,0.957977177186822,0.0420228228131777,0.0297184626423609,205.926737382043,9,3.09072011480553,27,209.017457496849,36
"AR000087623",1951,2017,67,0.602059991327962,0.701935098004264,0.870008960959759,0.267948969631797,10,4,0.732051030368203,0.298064901995736,0.433986128372467,0.407164104182487,0.592835895817513,0.433986128372467,857.948397314523,9,232.616564807643,27,1090.56496212217,36
"AR000087715",1956,2017,62,0.602059991327962,0.703913507886946,0.873743935425531,0.271683944097568,10,4,0.728316055902432,0.296086492113054,0.432229563789378,0.406535719916517,0.593464280083483,0.432229563789378,792.941106213121,9,214.385863639532,27,1007.32696985265,36
"AR000087803",1957,2017,61,0.602059991327962,0.75656803792613,0.935944182315101,0.333884190987139,10,4,0.666115809012861,0.24343196207387,0.422683846938991,0.365449909430343,0.634550090569657,0.422683846938991,754.456322873143,9,206.269717306228,27,960.726040179371,36
"AR000087828",1956,2017,62,0.602059991327962,0.626075707451234,0.793980162813371,0.191920171485409,10,4,0.808079828514591,0.373924292548766,0.434155535965825,0.462731872958779,0.537268127041221,0.434155535965825,831.548655229235,9,215.341145839049,27,1046.88980106828,36
"AR000087860",1956,2017,62,0.602059991327962,0.766763527454741,0.907617493514162,0.305557502186199,10,4,0.694442497813801,0.233236472545259,0.461206025268542,0.335861461934601,0.664138538065399,0.461206025268542,761.767496507495,9,228.758188533197,27,990.525685040692,36
"AR000087925",1956,2017,62,0.602059991327962,0.725803962256133,0.911517240657151,0.309457249329188,10,4,0.690542750670812,0.274196037743867,0.416346712926944,0.397073226063855,0.602926773936145,0.416346712926944,782.083440846005,9,206.507969611764,27,988.591410457769,36
"AR000877500",1956,2017,62,0.602059991327962,0.645160941018729,0.805202391328433,0.203142400000471,10,4,0.796857599999529,0.354839058981271,0.442018541018258,0.445297954090519,0.554702045909481,0.442018541018258,822.082379379757,9,219.241196345056,27,1041.32357572481,36
