"","Year","Month","Day","value"
"1",1959,1,1,-61
"75",1959,1,2,-99.9
"149",1959,1,3,-99.9
"223",1959,1,4,-100
"297",1959,1,5,-99.9
"371",1959,1,6,-99.9
"445",1959,1,7,-22
"519",1959,1,8,22
"593",1959,1,9,-99.9
"667",1959,1,10,-28
"741",1959,1,11,-61
"815",1959,1,12,-99.9
"889",1959,1,13,-50
"963",1959,1,14,-99.9
"1037",1959,1,15,-50
"1111",1959,1,16,-99.9
"1185",1959,1,17,-99.9
"1259",1959,1,18,-39
"1333",1959,1,19,-99.9
"1407",1959,1,20,-99.9
"1481",1959,1,21,-11
"1555",1959,1,22,-99.9
"1629",1959,1,23,-99.9
"1703",1959,1,24,-99.9
"1777",1959,1,25,-61
"1851",1959,1,26,-99.9
"1925",1959,1,27,-99.9
"1999",1959,1,28,-22
"2073",1959,1,29,-99.9
"2143",1959,1,30,0
"2212",1959,1,31,-99.9
"2",1960,3,1,-99.9
"76",1960,3,2,-99.9
"150",1960,3,3,-99.9
"224",1960,3,4,-99.9
"298",1960,3,5,-99.9
"372",1960,3,6,72
"446",1960,3,7,-99.9
"520",1960,3,8,-99.9
"594",1960,3,9,-99.9
"668",1960,3,10,-99.9
"742",1960,3,11,-99.9
"816",1960,3,12,-99.9
"890",1960,3,13,-99.9
"964",1960,3,14,-99.9
"1038",1960,3,15,-99.9
"1112",1960,3,16,-22
"1186",1960,3,17,-99.9
"1260",1960,3,18,-99.9
"1334",1960,3,19,-99.9
"1408",1960,3,20,-99.9
"1482",1960,3,21,-99.9
"1556",1960,3,22,-99.9
"1630",1960,3,23,-99.9
"1704",1960,3,24,-99.9
"1778",1960,3,25,-99.9
"1852",1960,3,26,-99.9
"1926",1960,3,27,-99.9
"2000",1960,3,28,-99.9
"2074",1960,3,29,-99.9
"2144",1960,3,30,-99.9
"2213",1960,3,31,-99.9
"3",1960,5,1,-99.9
"77",1960,5,2,-99.9
"151",1960,5,3,-99.9
"225",1960,5,4,-99.9
"299",1960,5,5,-99.9
"373",1960,5,6,-99.9
"447",1960,5,7,-99.9
"521",1960,5,8,-99.9
"595",1960,5,9,-99.9
"669",1960,5,10,-99.9
"743",1960,5,11,-99.9
"817",1960,5,12,-99.9
"891",1960,5,13,-99.9
"965",1960,5,14,-99.9
"1039",1960,5,15,-99.9
"1113",1960,5,16,-99.9
"1187",1960,5,17,-99.9
"1261",1960,5,18,-99.9
"1335",1960,5,19,-99.9
"1409",1960,5,20,-99.9
"1483",1960,5,21,-99.9
"1557",1960,5,22,-99.9
"1631",1960,5,23,-99.9
"1705",1960,5,24,-99.9
"1779",1960,5,25,-99.9
"1853",1960,5,26,-99.9
"1927",1960,5,27,-99.9
"2001",1960,5,28,139
"2075",1960,5,29,-99.9
"2145",1960,5,30,-99.9
"2214",1960,5,31,-99.9
"4",1960,6,1,-99.9
"78",1960,6,2,-99.9
"152",1960,6,3,-99.9
"226",1960,6,4,-99.9
"300",1960,6,5,-99.9
"374",1960,6,6,-99.9
"448",1960,6,7,-99.9
"522",1960,6,8,-99.9
"596",1960,6,9,-99.9
"670",1960,6,10,-99.9
"744",1960,6,11,-99.9
"818",1960,6,12,-99.9
"892",1960,6,13,-99.9
"966",1960,6,14,178
"1040",1960,6,15,-99.9
"1114",1960,6,16,-99.9
"1188",1960,6,17,-99.9
"1262",1960,6,18,-99.9
"1336",1960,6,19,-99.9
"1410",1960,6,20,-99.9
"1484",1960,6,21,-99.9
"1558",1960,6,22,-99.9
"1632",1960,6,23,-99.9
"1706",1960,6,24,-99.9
"1780",1960,6,25,-99.9
"1854",1960,6,26,-99.9
"1928",1960,6,27,-99.9
"2002",1960,6,28,-99.9
"2076",1960,6,29,-99.9
"2146",1960,6,30,-99.9
"5",1960,7,1,-99.9
"79",1960,7,2,-99.9
"153",1960,7,3,-99.9
"227",1960,7,4,-99.9
"301",1960,7,5,-99.9
"375",1960,7,6,-99.9
"449",1960,7,7,-99.9
"523",1960,7,8,-99.9
"597",1960,7,9,122
"671",1960,7,10,-99.9
"745",1960,7,11,-99.9
"819",1960,7,12,-99.9
"893",1960,7,13,-99.9
"967",1960,7,14,-99.9
"1041",1960,7,15,-99.9
"1115",1960,7,16,-99.9
"1189",1960,7,17,-99.9
"1263",1960,7,18,-99.9
"1337",1960,7,19,-99.9
"1411",1960,7,20,-99.9
"1485",1960,7,21,-99.9
"1559",1960,7,22,-99.9
"1633",1960,7,23,-99.9
"1707",1960,7,24,-99.9
"1781",1960,7,25,-99.9
"1855",1960,7,26,-99.9
"1929",1960,7,27,-99.9
"2003",1960,7,28,-99.9
"2077",1960,7,29,-99.9
"2147",1960,7,30,-99.9
"2215",1960,7,31,-99.9
"6",1961,12,1,-99.9
"80",1961,12,2,-99.9
"154",1961,12,3,-99.9
"228",1961,12,4,-99.9
"302",1961,12,5,-99.9
"376",1961,12,6,-99.9
"450",1961,12,7,-99.9
"524",1961,12,8,-99.9
"598",1961,12,9,-99.9
"672",1961,12,10,-99.9
"746",1961,12,11,-99.9
"820",1961,12,12,-99.9
"894",1961,12,13,-99.9
"968",1961,12,14,-99.9
"1042",1961,12,15,-99.9
"1116",1961,12,16,-99.9
"1190",1961,12,17,0
"1264",1961,12,18,-99.9
"1338",1961,12,19,-99.9
"1412",1961,12,20,-99.9
"1486",1961,12,21,-99.9
"1560",1961,12,22,-99.9
"1634",1961,12,23,-99.9
"1708",1961,12,24,-99.9
"1782",1961,12,25,-99.9
"1856",1961,12,26,-99.9
"1930",1961,12,27,-99.9
"2004",1961,12,28,-99.9
"2078",1961,12,29,-72
"2148",1961,12,30,-99.9
"2216",1961,12,31,-99.9
"7",1962,1,1,-99.9
"81",1962,1,2,-99.9
"155",1962,1,3,-99.9
"229",1962,1,4,-99.9
"303",1962,1,5,-99.9
"377",1962,1,6,-99.9
"451",1962,1,7,-99.9
"525",1962,1,8,-99.9
"599",1962,1,9,-99.9
"673",1962,1,10,-99.9
"747",1962,1,11,-99.9
"821",1962,1,12,-50
"895",1962,1,13,-99.9
"969",1962,1,14,-99.9
"1043",1962,1,15,-99.9
"1117",1962,1,16,-99.9
"1191",1962,1,17,-99.9
"1265",1962,1,18,-99.9
"1339",1962,1,19,-99.9
"1413",1962,1,20,-99.9
"1487",1962,1,21,-99.9
"1561",1962,1,22,-99.9
"1635",1962,1,23,-99.9
"1709",1962,1,24,-99.9
"1783",1962,1,25,-100
"1857",1962,1,26,-99.9
"1931",1962,1,27,-99.9
"2005",1962,1,28,-99.9
"2079",1962,1,29,-99.9
"2149",1962,1,30,-99.9
"2217",1962,1,31,-99.9
"8",1962,2,1,-99.9
"82",1962,2,2,-99.9
"156",1962,2,3,-22
"230",1962,2,4,-99.9
"304",1962,2,5,-99.9
"378",1962,2,6,-99.9
"452",1962,2,7,-99.9
"526",1962,2,8,-99.9
"600",1962,2,9,-99.9
"674",1962,2,10,-99.9
"748",1962,2,11,-99.9
"822",1962,2,12,-99.9
"896",1962,2,13,-99.9
"970",1962,2,14,-99.9
"1044",1962,2,15,-99.9
