"","Year","Month","Day","value"
"1",1957,6,1,-99.9
"674",1957,6,2,-99.9
"1347",1957,6,3,-99.9
"2020",1957,6,4,-99.9
"2693",1957,6,5,-99.9
"3366",1957,6,6,-99.9
"4039",1957,6,7,-99.9
"4712",1957,6,8,-99.9
"5385",1957,6,9,-99.9
"6058",1957,6,10,-99.9
"6731",1957,6,11,-99.9
"7404",1957,6,12,-99.9
"8077",1957,6,13,-99.9
"8750",1957,6,14,-99.9
"9423",1957,6,15,-99.9
"10096",1957,6,16,-99.9
"10769",1957,6,17,-99.9
"11442",1957,6,18,-99.9
"12115",1957,6,19,-99.9
"12788",1957,6,20,-99.9
"13461",1957,6,21,-99.9
"14134",1957,6,22,-99.9
"14807",1957,6,23,-99.9
"15480",1957,6,24,-99.9
"16153",1957,6,25,-99.9
"16826",1957,6,26,-99.9
"17499",1957,6,27,-99.9
"18172",1957,6,28,-99.9
"18845",1957,6,29,-99.9
"19477",1957,6,30,-111
"2",1957,7,1,-78
"675",1957,7,2,-11
"1348",1957,7,3,39
"2021",1957,7,4,50
"2694",1957,7,5,39
"3367",1957,7,6,28
"4040",1957,7,7,11
"4713",1957,7,8,0
"5386",1957,7,9,-28
"6059",1957,7,10,-28
"6732",1957,7,11,-28
"7405",1957,7,12,-89
"8078",1957,7,13,-28
"8751",1957,7,14,-78
"9424",1957,7,15,-72
"10097",1957,7,16,0
"10770",1957,7,17,-78
"11443",1957,7,18,-89
"12116",1957,7,19,-72
"12789",1957,7,20,-28
"13462",1957,7,21,-39
"14135",1957,7,22,-50
"14808",1957,7,23,0
"15481",1957,7,24,-99.9
"16154",1957,7,25,-11
"16827",1957,7,26,-61
"17500",1957,7,27,-28
"18173",1957,7,28,-39
"18846",1957,7,29,-72
"19478",1957,7,30,-161
"20095",1957,7,31,-150
"3",1957,8,1,-122
"676",1957,8,2,0
"1349",1957,8,3,22
"2022",1957,8,4,11
"2695",1957,8,5,-11
"3368",1957,8,6,-11
"4041",1957,8,7,0
"4714",1957,8,8,-22
"5387",1957,8,9,-39
"6060",1957,8,10,11
"6733",1957,8,11,-39
"7406",1957,8,12,-22
"8079",1957,8,13,-22
"8752",1957,8,14,-11
"9425",1957,8,15,-22
"10098",1957,8,16,-28
"10771",1957,8,17,-78
"11444",1957,8,18,-11
"12117",1957,8,19,28
"12790",1957,8,20,0
"13463",1957,8,21,-22
"14136",1957,8,22,11
"14809",1957,8,23,-22
"15482",1957,8,24,0
"16155",1957,8,25,22
"16828",1957,8,26,-28
"17501",1957,8,27,11
"18174",1957,8,28,-22
"18847",1957,8,29,0
"19479",1957,8,30,-72
"20096",1957,8,31,0
"4",1957,9,1,11
"677",1957,9,2,-39
"1350",1957,9,3,-39
"2023",1957,9,4,11
"2696",1957,9,5,-72
"3369",1957,9,6,-22
"4042",1957,9,7,-72
"4715",1957,9,8,22
"5388",1957,9,9,0
"6061",1957,9,10,-22
"6734",1957,9,11,-72
"7407",1957,9,12,-72
"8080",1957,9,13,-11
"8753",1957,9,14,0
"9426",1957,9,15,11
"10099",1957,9,16,-11
"10772",1957,9,17,-11
"11445",1957,9,18,0
"12118",1957,9,19,11
"12791",1957,9,20,-22
"13464",1957,9,21,-22
"14137",1957,9,22,22
"14810",1957,9,23,0
"15483",1957,9,24,-99.9
"16156",1957,9,25,-39
"16829",1957,9,26,0
"17502",1957,9,27,0
"18175",1957,9,28,39
"18848",1957,9,29,39
"19480",1957,9,30,89
"5",1957,10,1,28
"678",1957,10,2,22
"1351",1957,10,3,39
"2024",1957,10,4,22
"2697",1957,10,5,22
"3370",1957,10,6,-22
"4043",1957,10,7,-11
"4716",1957,10,8,-22
"5389",1957,10,9,-61
"6062",1957,10,10,-22
"6735",1957,10,11,50
"7408",1957,10,12,-50
"8081",1957,10,13,11
"8754",1957,10,14,39
"9427",1957,10,15,11
"10100",1957,10,16,-22
"10773",1957,10,17,22
"11446",1957,10,18,28
"12119",1957,10,19,28
"12792",1957,10,20,-50
"13465",1957,10,21,-11
"14138",1957,10,22,61
"14811",1957,10,23,28
"15484",1957,10,24,39
"16157",1957,10,25,28
"16830",1957,10,26,22
"17503",1957,10,27,11
"18176",1957,10,28,22
"18849",1957,10,29,-22
"19481",1957,10,30,-28
"20097",1957,10,31,50
"6",1957,11,1,50
"679",1957,11,2,50
"1352",1957,11,3,89
"2025",1957,11,4,78
"2698",1957,11,5,28
"3371",1957,11,6,-99.9
"4044",1957,11,7,22
"4717",1957,11,8,11
"5390",1957,11,9,50
"6063",1957,11,10,72
"6736",1957,11,11,22
"7409",1957,11,12,11
"8082",1957,11,13,72
"8755",1957,11,14,72
"9428",1957,11,15,72
"10101",1957,11,16,39
"10774",1957,11,17,78
"11447",1957,11,18,-22
"12120",1957,11,19,11
"12793",1957,11,20,39
"13466",1957,11,21,78
"14139",1957,11,22,28
"14812",1957,11,23,61
"15485",1957,11,24,128
"16158",1957,11,25,61
"16831",1957,11,26,28
"17504",1957,11,27,11
"18177",1957,11,28,72
