"","Year","Month","Day","value"
"1",1965,1,1,-99.9
"148",1965,1,2,230
"295",1965,1,3,231
"442",1965,1,4,244
"589",1965,1,5,217
"736",1965,1,6,236
"883",1965,1,7,222
"1030",1965,1,8,228
"1177",1965,1,9,236
"1324",1965,1,10,233
"1471",1965,1,11,211
"1618",1965,1,12,217
"1765",1965,1,13,244
"1912",1965,1,14,244
"2059",1965,1,15,239
"2206",1965,1,16,244
"2353",1965,1,17,233
"2500",1965,1,18,239
"2647",1965,1,19,219
"2794",1965,1,20,256
"2941",1965,1,21,222
"3088",1965,1,22,225
"3235",1965,1,23,228
"3382",1965,1,24,228
"3529",1965,1,25,233
"3676",1965,1,26,233
"3823",1965,1,27,233
"3970",1965,1,28,228
"4117",1965,1,29,244
"4255",1965,1,30,261
"4391",1965,1,31,228
"2",1965,2,1,238
"149",1965,2,2,233
"296",1965,2,3,222
"443",1965,2,4,250
"590",1965,2,5,250
"737",1965,2,6,239
"884",1965,2,7,242
"1031",1965,2,8,239
"1178",1965,2,9,250
"1325",1965,2,10,211
"1472",1965,2,11,244
"1619",1965,2,12,256
"1766",1965,2,13,240
"1913",1965,2,14,219
"2060",1965,2,15,222
"2207",1965,2,16,228
"2354",1965,2,17,239
"2501",1965,2,18,233
"2648",1965,2,19,233
"2795",1965,2,20,250
"2942",1965,2,21,237
"3089",1965,2,22,228
"3236",1965,2,23,256
"3383",1965,2,24,222
"3530",1965,2,25,222
"3677",1965,2,26,194
"3824",1965,2,27,212
"3971",1965,2,28,228
"3",1965,3,1,222
"150",1965,3,2,228
"297",1965,3,3,228
"444",1965,3,4,233
"591",1965,3,5,228
"738",1965,3,6,222
"885",1965,3,7,253
"1032",1965,3,8,261
"1179",1965,3,9,261
"1326",1965,3,10,261
"1473",1965,3,11,256
"1620",1965,3,12,256
"1767",1965,3,13,239
"1914",1965,3,14,231
"2061",1965,3,15,228
"2208",1965,3,16,239
"2355",1965,3,17,239
"2502",1965,3,18,239
"2649",1965,3,19,244
"2796",1965,3,20,228
"2943",1965,3,21,239
"3090",1965,3,22,239
"3237",1965,3,23,239
"3384",1965,3,24,228
"3531",1965,3,25,239
"3678",1965,3,26,244
"3825",1965,3,27,239
"3972",1965,3,28,239
"4118",1965,3,29,239
"4256",1965,3,30,228
"4392",1965,3,31,222
"4",1965,4,1,-99.9
"151",1965,4,2,222
"298",1965,4,3,225
"445",1965,4,4,222
"592",1965,4,5,222
"739",1965,4,6,222
"886",1965,4,7,222
"1033",1965,4,8,211
"1180",1965,4,9,222
"1327",1965,4,10,228
"1474",1965,4,11,221
"1621",1965,4,12,228
"1768",1965,4,13,239
"1915",1965,4,14,228
"2062",1965,4,15,228
"2209",1965,4,16,228
"2356",1965,4,17,223
"2503",1965,4,18,217
"2650",1965,4,19,218
"2797",1965,4,20,222
"2944",1965,4,21,194
"3091",1965,4,22,194
"3238",1965,4,23,203
"3385",1965,4,24,192
"3532",1965,4,25,194
"3679",1965,4,26,189
"3826",1965,4,27,189
"3973",1965,4,28,211
"4119",1965,4,29,228
"4257",1965,4,30,233
"5",1965,5,1,237
"152",1965,5,2,222
"299",1965,5,3,217
"446",1965,5,4,217
"593",1965,5,5,217
"740",1965,5,6,228
"887",1965,5,7,228
"1034",1965,5,8,233
"1181",1965,5,9,211
"1328",1965,5,10,211
"1475",1965,5,11,217
"1622",1965,5,12,217
"1769",1965,5,13,217
"1916",1965,5,14,211
"2063",1965,5,15,210
"2210",1965,5,16,221
"2357",1965,5,17,211
"2504",1965,5,18,194
"2651",1965,5,19,178
"2798",1965,5,20,211
"2945",1965,5,21,228
"3092",1965,5,22,242
"3239",1965,5,23,231
"3386",1965,5,24,233
"3533",1965,5,25,228
"3680",1965,5,26,222
"3827",1965,5,27,200
"3974",1965,5,28,172
"4120",1965,5,29,182
"4258",1965,5,30,173
"4393",1965,5,31,183
"6",1965,6,1,194
"153",1965,6,2,183
"300",1965,6,3,189
"447",1965,6,4,200
"594",1965,6,5,198
"741",1965,6,6,190
"888",1965,6,7,200
"1035",1965,6,8,189
"1182",1965,6,9,200
"1329",1965,6,10,206
"1476",1965,6,11,217
"1623",1965,6,12,223
"1770",1965,6,13,194
"1917",1965,6,14,190
"2064",1965,6,15,189
"2211",1965,6,16,211
"2358",1965,6,17,228
"2505",1965,6,18,233
"2652",1965,6,19,236
"2799",1965,6,20,207
"2946",1965,6,21,200
"3093",1965,6,22,200
"3240",1965,6,23,211
"3387",1965,6,24,189
"3534",1965,6,25,150
"3681",1965,6,26,144
"3828",1965,6,27,139
"3975",1965,6,28,156
"4121",1965,6,29,172
"4259",1965,6,30,178
"7",1965,7,1,187
"154",1965,7,2,172
"301",1965,7,3,178
"448",1965,7,4,172
"595",1965,7,5,206
"742",1965,7,6,200
"889",1965,7,7,183
"1036",1965,7,8,172
"1183",1965,7,9,178
"1330",1965,7,10,172
"1477",1965,7,11,160
"1624",1965,7,12,161
"1771",1965,7,13,189
"1918",1965,7,14,161
"2065",1965,7,15,150
"2212",1965,7,16,156
"2359",1965,7,17,161
"2506",1965,7,18,168
"2653",1965,7,19,139
"2800",1965,7,20,122
"2947",1965,7,21,106
"3094",1965,7,22,117
"3241",1965,7,23,133
"3388",1965,7,24,153
"3535",1965,7,25,151
"3682",1965,7,26,150
"3829",1965,7,27,154
"3976",1965,7,28,150
"4122",1965,7,29,156
"4260",1965,7,30,156
"4394",1965,7,31,162
"8",1965,8,1,167
"155",1965,8,2,161
"302",1965,8,3,183
"449",1965,8,4,178
"596",1965,8,5,186
"743",1965,8,6,178
"890",1965,8,7,156
"1037",1965,8,8,147
"1184",1965,8,9,161
"1331",1965,8,10,172
"1478",1965,8,11,167
"1625",1965,8,12,189
"1772",1965,8,13,172
"1919",1965,8,14,190
"2066",1965,8,15,189
