"","Year","Month","Day","value"
"1",1954,11,1,-99.9
"30",1954,11,2,-99.9
"59",1954,11,3,-99.9
"88",1954,11,4,-99.9
"117",1954,11,5,-99.9
"146",1954,11,6,-99.9
"175",1954,11,7,-99.9
"204",1954,11,8,-99.9
"233",1954,11,9,-99.9
"262",1954,11,10,-99.9
"291",1954,11,11,-99.9
"320",1954,11,12,-99.9
"349",1954,11,13,-99.9
"378",1954,11,14,-99.9
"407",1954,11,15,244
"436",1954,11,16,256
"465",1954,11,17,217
"494",1954,11,18,211
"523",1954,11,19,239
"552",1954,11,20,233
"581",1954,11,21,233
"610",1954,11,22,222
"639",1954,11,23,250
"668",1954,11,24,239
"697",1954,11,25,239
"726",1954,11,26,244
"755",1954,11,27,244
"784",1954,11,28,250
"813",1954,11,29,250
"840",1954,11,30,250
"2",1954,12,1,239
"31",1954,12,2,228
"60",1954,12,3,228
"89",1954,12,4,217
"118",1954,12,5,211
"147",1954,12,6,233
"176",1954,12,7,239
"205",1954,12,8,233
"234",1954,12,9,239
"263",1954,12,10,244
"292",1954,12,11,244
"321",1954,12,12,239
"350",1954,12,13,244
"379",1954,12,14,250
"408",1954,12,15,256
"437",1954,12,16,233
"466",1954,12,17,233
"495",1954,12,18,244
"524",1954,12,19,250
"553",1954,12,20,228
"582",1954,12,21,211
"611",1954,12,22,211
"640",1954,12,23,-99.9
"669",1954,12,24,-99.9
"698",1954,12,25,-99.9
"727",1954,12,26,-99.9
"756",1954,12,27,-99.9
"785",1954,12,28,-99.9
"814",1954,12,29,-99.9
"841",1954,12,30,-99.9
"866",1954,12,31,-99.9
"3",1955,1,1,-99.9
"32",1955,1,2,-99.9
"61",1955,1,3,-99.9
"90",1955,1,4,200
"119",1955,1,5,183
"148",1955,1,6,194
"177",1955,1,7,217
"206",1955,1,8,228
"235",1955,1,9,200
"264",1955,1,10,194
"293",1955,1,11,200
"322",1955,1,12,211
"351",1955,1,13,217
"380",1955,1,14,211
"409",1955,1,15,194
"438",1955,1,16,200
"467",1955,1,17,228
"496",1955,1,18,211
"525",1955,1,19,233
"554",1955,1,20,217
"583",1955,1,21,206
"612",1955,1,22,211
"641",1955,1,23,228
"670",1955,1,24,239
"699",1955,1,25,244
"728",1955,1,26,239
"757",1955,1,27,222
"786",1955,1,28,233
"815",1955,1,29,244
"842",1955,1,30,206
"867",1955,1,31,222
"4",1955,2,1,217
"33",1955,2,2,233
"62",1955,2,3,228
"91",1955,2,4,222
"120",1955,2,5,211
"149",1955,2,6,211
"178",1955,2,7,211
"207",1955,2,8,233
"236",1955,2,9,222
"265",1955,2,10,217
"294",1955,2,11,239
"323",1955,2,12,228
"352",1955,2,13,200
"381",1955,2,14,200
"410",1955,2,15,211
"439",1955,2,16,222
"468",1955,2,17,239
"497",1955,2,18,228
"526",1955,2,19,228
"555",1955,2,20,206
"584",1955,2,21,206
"613",1955,2,22,211
"642",1955,2,23,211
"671",1955,2,24,200
"700",1955,2,25,211
"729",1955,2,26,211
"758",1955,2,27,200
"787",1955,2,28,217
"5",1955,3,1,217
"34",1955,3,2,222
"63",1955,3,3,222
"92",1955,3,4,222
"121",1955,3,5,228
"150",1955,3,6,228
"179",1955,3,7,228
"208",1955,3,8,228
"237",1955,3,9,211
"266",1955,3,10,222
"295",1955,3,11,217
"324",1955,3,12,222
"353",1955,3,13,228
"382",1955,3,14,222
"411",1955,3,15,222
"440",1955,3,16,228
"469",1955,3,17,228
