"","Year","Month","Day","value"
"1",1973,7,1,-99.9
"523",1973,7,2,-99.9
"1045",1973,7,3,-99.9
"1567",1973,7,4,-99.9
"2089",1973,7,5,-99.9
"2611",1973,7,6,-99.9
"3133",1973,7,7,-99.9
"3655",1973,7,8,-99.9
"4177",1973,7,9,-99.9
"4699",1973,7,10,-99.9
"5221",1973,7,11,-99.9
"5743",1973,7,12,-99.9
"6265",1973,7,13,210
"6787",1973,7,14,-99.9
"7309",1973,7,15,-99.9
"7831",1973,7,16,-99.9
"8353",1973,7,17,-99.9
"8875",1973,7,18,-99.9
"9397",1973,7,19,-99.9
"9919",1973,7,20,-99.9
"10441",1973,7,21,180
"10963",1973,7,22,-99.9
"11485",1973,7,23,130
"12007",1973,7,24,-99.9
"12529",1973,7,25,120
"13051",1973,7,26,-99.9
"13573",1973,7,27,-99.9
"14095",1973,7,28,-99.9
"14617",1973,7,29,-99.9
"15107",1973,7,30,-99.9
"15587",1973,7,31,-99.9
"2",1973,8,1,-99.9
"524",1973,8,2,-99.9
"1046",1973,8,3,160
"1568",1973,8,4,160
"2090",1973,8,5,-99.9
"2612",1973,8,6,-99.9
"3134",1973,8,7,-99.9
"3656",1973,8,8,-99.9
"4178",1973,8,9,-99.9
"4700",1973,8,10,-99.9
"5222",1973,8,11,-99.9
"5744",1973,8,12,-99.9
"6266",1973,8,13,-99.9
"6788",1973,8,14,-99.9
"7310",1973,8,15,-99.9
"7832",1973,8,16,-99.9
"8354",1973,8,17,170
"8876",1973,8,18,-99.9
"9398",1973,8,19,-99.9
"9920",1973,8,20,-99.9
"10442",1973,8,21,-99.9
"10964",1973,8,22,-99.9
"11486",1973,8,23,160
"12008",1973,8,24,-99.9
"12530",1973,8,25,-99.9
"13052",1973,8,26,-99.9
"13574",1973,8,27,-99.9
"14096",1973,8,28,-99.9
"14618",1973,8,29,-99.9
"15108",1973,8,30,-99.9
"15588",1973,8,31,-99.9
"3",1973,9,1,-99.9
"525",1973,9,2,-99.9
"1047",1973,9,3,-99.9
"1569",1973,9,4,100
"2091",1973,9,5,-99.9
"2613",1973,9,6,-99.9
"3135",1973,9,7,180
"3657",1973,9,8,-99.9
"4179",1973,9,9,-99.9
"4701",1973,9,10,-99.9
"5223",1973,9,11,180
"5745",1973,9,12,200
"6267",1973,9,13,200
"6789",1973,9,14,-99.9
"7311",1973,9,15,-99.9
"7833",1973,9,16,-99.9
"8355",1973,9,17,190
"8877",1973,9,18,-99.9
"9399",1973,9,19,-99.9
"9921",1973,9,20,-99.9
"10443",1973,9,21,-99.9
"10965",1973,9,22,-99.9
"11487",1973,9,23,-99.9
"12009",1973,9,24,-99.9
"12531",1973,9,25,-99.9
"13053",1973,9,26,-99.9
"13575",1973,9,27,170
"14097",1973,9,28,190
"14619",1973,9,29,200
"15109",1973,9,30,100
"4",1973,10,1,200
"526",1973,10,2,200
"1048",1973,10,3,180
"1570",1973,10,4,200
"2092",1973,10,5,-99.9
"2614",1973,10,6,220
"3136",1973,10,7,-99.9
"3658",1973,10,8,-99.9
"4180",1973,10,9,220
"4702",1973,10,10,-99.9
"5224",1973,10,11,-99.9
"5746",1973,10,12,210
"6268",1973,10,13,-99.9
"6790",1973,10,14,180
"7312",1973,10,15,-99.9
"7834",1973,10,16,180
"8356",1973,10,17,-99.9
"8878",1973,10,18,-99.9
"9400",1973,10,19,-99.9
"9922",1973,10,20,190
"10444",1973,10,21,200
"10966",1973,10,22,-99.9
"11488",1973,10,23,-99.9
"12010",1973,10,24,-99.9
"12532",1973,10,25,-99.9
"13054",1973,10,26,-99.9
"13576",1973,10,27,-99.9
"14098",1973,10,28,-99.9
"14620",1973,10,29,200
"15110",1973,10,30,220
"15589",1973,10,31,-99.9
"5",1973,11,1,-99.9
"527",1973,11,2,-99.9
"1049",1973,11,3,170
"1571",1973,11,4,-99.9
"2093",1973,11,5,-99.9
"2615",1973,11,6,-99.9
"3137",1973,11,7,210
"3659",1973,11,8,-99.9
"4181",1973,11,9,-99.9
"4703",1973,11,10,-99.9
"5225",1973,11,11,-99.9
"5747",1973,11,12,-99.9
"6269",1973,11,13,220
"6791",1973,11,14,-99.9
"7313",1973,11,15,-99.9
"7835",1973,11,16,220
"8357",1973,11,17,-99.9
"8879",1973,11,18,-99.9
"9401",1973,11,19,220
"9923",1973,11,20,-99.9
"10445",1973,11,21,200
"10967",1973,11,22,200
"11489",1973,11,23,200
"12011",1973,11,24,-99.9
"12533",1973,11,25,-99.9
"13055",1973,11,26,-99.9
"13577",1973,11,27,210
"14099",1973,11,28,-99.9
"14621",1973,11,29,-99.9
"15111",1973,11,30,220
"6",1973,12,1,220
"528",1973,12,2,-99.9
"1050",1973,12,3,-99.9
"1572",1973,12,4,-99.9
"2094",1973,12,5,230
"2616",1973,12,6,220
"3138",1973,12,7,230
"3660",1973,12,8,-99.9
"4182",1973,12,9,-99.9
"4704",1973,12,10,-99.9
"5226",1973,12,11,-99.9
"5748",1973,12,12,210
"6270",1973,12,13,200
"6792",1973,12,14,-99.9
"7314",1973,12,15,220
"7836",1973,12,16,-99.9
"8358",1973,12,17,-99.9
"8880",1973,12,18,210
"9402",1973,12,19,-99.9
"9924",1973,12,20,-99.9
"10446",1973,12,21,-99.9
"10968",1973,12,22,-99.9
"11490",1973,12,23,-99.9
"12012",1973,12,24,-99.9
"12534",1973,12,25,-99.9
"13056",1973,12,26,-99.9
"13578",1973,12,27,230
"14100",1973,12,28,-99.9
"14622",1973,12,29,-99.9
"15112",1973,12,30,-99.9
"15590",1973,12,31,-99.9
"7",1974,1,1,-99.9
"529",1974,1,2,-99.9
"1051",1974,1,3,-99.9
"1573",1974,1,4,-99.9
"2095",1974,1,5,-99.9
"2617",1974,1,6,-99.9
"3139",1974,1,7,-99.9
"3661",1974,1,8,-99.9
"4183",1974,1,9,-99.9
"4705",1974,1,10,-99.9
"5227",1974,1,11,-99.9
"5749",1974,1,12,-99.9
"6271",1974,1,13,-99.9
"6793",1974,1,14,-99.9
"7315",1974,1,15,-99.9
"7837",1974,1,16,200
"8359",1974,1,17,-99.9
"8881",1974,1,18,220
"9403",1974,1,19,-99.9
"9925",1974,1,20,-99.9
"10447",1974,1,21,-99.9
"10969",1974,1,22,-99.9
"11491",1974,1,23,-99.9
"12013",1974,1,24,-99.9
"12535",1974,1,25,220
"13057",1974,1,26,220
"13579",1974,1,27,-99.9
"14101",1974,1,28,-99.9
"14623",1974,1,29,200
"15113",1974,1,30,-99.9
"15591",1974,1,31,-99.9
"8",1974,2,1,190
"530",1974,2,2,210
"1052",1974,2,3,-99.9
"1574",1974,2,4,210
"2096",1974,2,5,220
"2618",1974,2,6,-99.9
"3140",1974,2,7,-99.9
"3662",1974,2,8,200
"4184",1974,2,9,200
"4706",1974,2,10,210
"5228",1974,2,11,210
"5750",1974,2,12,-99.9
"6272",1974,2,13,220
"6794",1974,2,14,-99.9
"7316",1974,2,15,-99.9
"7838",1974,2,16,-99.9
"8360",1974,2,17,200
"8882",1974,2,18,180
"9404",1974,2,19,-99.9
"9926",1974,2,20,200
"10448",1974,2,21,-99.9
"10970",1974,2,22,-99.9
"11492",1974,2,23,220
"12014",1974,2,24,220
"12536",1974,2,25,-99.9
"13058",1974,2,26,-99.9
"13580",1974,2,27,-99.9
"14102",1974,2,28,200
"9",1974,3,1,-99.9
"531",1974,3,2,220
"1053",1974,3,3,-99.9
"1575",1974,3,4,220
"2097",1974,3,5,-99.9
"2619",1974,3,6,-99.9
"3141",1974,3,7,-99.9
"3663",1974,3,8,-99.9
"4185",1974,3,9,-99.9
"4707",1974,3,10,-99.9
"5229",1974,3,11,220
"5751",1974,3,12,-99.9
"6273",1974,3,13,-99.9
