"","Year","Month","Day","value"
"1",1952,2,1,-99.9
"247",1952,2,2,-99.9
"493",1952,2,3,-99.9
"739",1952,2,4,-99.9
"985",1952,2,5,-99.9
"1231",1952,2,6,-99.9
"1477",1952,2,7,-99.9
"1723",1952,2,8,-99.9
"1969",1952,2,9,-99.9
"2215",1952,2,10,-99.9
"2461",1952,2,11,-99.9
"2707",1952,2,12,-99.9
"2953",1952,2,13,-99.9
"3199",1952,2,14,-99.9
"3445",1952,2,15,-99.9
"3691",1952,2,16,-99.9
"3937",1952,2,17,-99.9
"4183",1952,2,18,-99.9
"4429",1952,2,19,-99.9
"4675",1952,2,20,-99.9
"4921",1952,2,21,-99.9
"5167",1952,2,22,-99.9
"5413",1952,2,23,-99.9
"5659",1952,2,24,-99.9
"5905",1952,2,25,-99.9
"6151",1952,2,26,-99.9
"6397",1952,2,27,-99.9
"6643",1952,2,28,-99.9
"6889",1952,2,29,239
"2",1956,2,1,-99.9
"248",1956,2,2,-99.9
"494",1956,2,3,-99.9
"740",1956,2,4,-99.9
"986",1956,2,5,-99.9
"1232",1956,2,6,-99.9
"1478",1956,2,7,-99.9
"1724",1956,2,8,-99.9
"1970",1956,2,9,-99.9
"2216",1956,2,10,-99.9
"2462",1956,2,11,-99.9
"2708",1956,2,12,-99.9
"2954",1956,2,13,-99.9
"3200",1956,2,14,-99.9
"3446",1956,2,15,-99.9
"3692",1956,2,16,-99.9
"3938",1956,2,17,-99.9
"4184",1956,2,18,-99.9
"4430",1956,2,19,-99.9
"4676",1956,2,20,-99.9
"4922",1956,2,21,-99.9
"5168",1956,2,22,-99.9
"5414",1956,2,23,-99.9
"5660",1956,2,24,-99.9
"5906",1956,2,25,-99.9
"6152",1956,2,26,-99.9
"6398",1956,2,27,-99.9
"6644",1956,2,28,-99.9
"6890",1956,2,29,233
"3",1976,2,1,-99.9
"249",1976,2,2,-99.9
"495",1976,2,3,-99.9
"741",1976,2,4,-99.9
"987",1976,2,5,-99.9
"1233",1976,2,6,-99.9
"1479",1976,2,7,-99.9
"1725",1976,2,8,-99.9
"1971",1976,2,9,-99.9
"2217",1976,2,10,-99.9
"2463",1976,2,11,-99.9
"2709",1976,2,12,-99.9
"2955",1976,2,13,-99.9
"3201",1976,2,14,-99.9
"3447",1976,2,15,-99.9
"3693",1976,2,16,-99.9
"3939",1976,2,17,-99.9
"4185",1976,2,18,-99.9
"4431",1976,2,19,-99.9
"4677",1976,2,20,-99.9
"4923",1976,2,21,-99.9
"5169",1976,2,22,-99.9
"5415",1976,2,23,-99.9
"5661",1976,2,24,-99.9
"5907",1976,2,25,-99.9
"6153",1976,2,26,-99.9
"6399",1976,2,27,-99.9
"6645",1976,2,28,-99.9
"6891",1976,2,29,230
"4",1992,2,1,-99.9
"250",1992,2,2,-99.9
"496",1992,2,3,-99.9
"742",1992,2,4,-99.9
"988",1992,2,5,-99.9
"1234",1992,2,6,-99.9
"1480",1992,2,7,-99.9
"1726",1992,2,8,-99.9
"1972",1992,2,9,-99.9
"2218",1992,2,10,-99.9
"2464",1992,2,11,-99.9
"2710",1992,2,12,-99.9
"2956",1992,2,13,-99.9
"3202",1992,2,14,-99.9
"3448",1992,2,15,-99.9
"3694",1992,2,16,-99.9
"3940",1992,2,17,-99.9
"4186",1992,2,18,-99.9
"4432",1992,2,19,-99.9
"4678",1992,2,20,-99.9
"4924",1992,2,21,-99.9
"5170",1992,2,22,-99.9
"5416",1992,2,23,-99.9
"5662",1992,2,24,-99.9
"5908",1992,2,25,-99.9
"6154",1992,2,26,-99.9
"6400",1992,2,27,-99.9
"6646",1992,2,28,-99.9
"6892",1992,2,29,265
"5",1992,8,1,-99.9
"251",1992,8,2,-99.9
"497",1992,8,3,-99.9
"743",1992,8,4,-99.9
"989",1992,8,5,-99.9
"1235",1992,8,6,-99.9
"1481",1992,8,7,-99.9
"1727",1992,8,8,-99.9
"1973",1992,8,9,-99.9
"2219",1992,8,10,-99.9
"2465",1992,8,11,-99.9
"2711",1992,8,12,-99.9
"2957",1992,8,13,-99.9
"3203",1992,8,14,-99.9
"3449",1992,8,15,-99.9
"3695",1992,8,16,-99.9
"3941",1992,8,17,-99.9
"4187",1992,8,18,-99.9
"4433",1992,8,19,-99.9
"4679",1992,8,20,-99.9
"4925",1992,8,21,226
