"","Year","Month","Day","value"
"1",1949,1,1,228
"341",1949,1,2,222
"681",1949,1,3,233
"1021",1949,1,4,228
"1361",1949,1,5,239
"1701",1949,1,6,239
"2041",1949,1,7,239
"2381",1949,1,8,244
"2721",1949,1,9,244
"3061",1949,1,10,233
"3401",1949,1,11,233
"3741",1949,1,12,233
"4081",1949,1,13,228
"4421",1949,1,14,228
"4761",1949,1,15,239
"5101",1949,1,16,233
"5441",1949,1,17,233
"5781",1949,1,18,222
"6121",1949,1,19,217
"6461",1949,1,20,222
"6801",1949,1,21,217
"7141",1949,1,22,239
"7481",1949,1,23,228
"7821",1949,1,24,222
"8161",1949,1,25,217
"8501",1949,1,26,217
"8841",1949,1,27,211
"9181",1949,1,28,200
"9521",1949,1,29,217
"9840",1949,1,30,222
"10152",1949,1,31,222
"2",1949,2,1,211
"342",1949,2,2,239
"682",1949,2,3,228
"1022",1949,2,4,233
"1362",1949,2,5,233
"1702",1949,2,6,233
"2042",1949,2,7,233
"2382",1949,2,8,222
"2722",1949,2,9,233
"3062",1949,2,10,228
"3402",1949,2,11,233
"3742",1949,2,12,233
"4082",1949,2,13,211
"4422",1949,2,14,233
"4762",1949,2,15,233
"5102",1949,2,16,222
"5442",1949,2,17,228
"5782",1949,2,18,228
"6122",1949,2,19,233
"6462",1949,2,20,239
"6802",1949,2,21,228
"7142",1949,2,22,228
"7482",1949,2,23,239
"7822",1949,2,24,233
"8162",1949,2,25,228
"8502",1949,2,26,228
"8842",1949,2,27,228
"9182",1949,2,28,233
"3",1949,3,1,228
"343",1949,3,2,239
"683",1949,3,3,222
"1023",1949,3,4,228
"1363",1949,3,5,233
"1703",1949,3,6,228
"2043",1949,3,7,222
"2383",1949,3,8,228
"2723",1949,3,9,228
"3063",1949,3,10,233
"3403",1949,3,11,228
"3743",1949,3,12,228
"4083",1949,3,13,239
"4423",1949,3,14,233
"4763",1949,3,15,239
"5103",1949,3,16,239
"5443",1949,3,17,228
"5783",1949,3,18,233
"6123",1949,3,19,228
"6463",1949,3,20,233
"6803",1949,3,21,239
"7143",1949,3,22,228
"7483",1949,3,23,233
"7823",1949,3,24,228
"8163",1949,3,25,239
"8503",1949,3,26,233
"8843",1949,3,27,233
"9183",1949,3,28,233
"9522",1949,3,29,233
"9841",1949,3,30,228
"10153",1949,3,31,233
"4",1949,4,1,239
"344",1949,4,2,228
"684",1949,4,3,233
"1024",1949,4,4,233
"1364",1949,4,5,233
"1704",1949,4,6,228
"2044",1949,4,7,233
"2384",1949,4,8,233
"2724",1949,4,9,228
"3064",1949,4,10,233
"3404",1949,4,11,222
"3744",1949,4,12,222
"4084",1949,4,13,244
"4424",1949,4,14,228
"4764",1949,4,15,244
"5104",1949,4,16,239
"5444",1949,4,17,233
"5784",1949,4,18,233
"6124",1949,4,19,233
"6464",1949,4,20,239
"6804",1949,4,21,228
"7144",1949,4,22,228
"7484",1949,4,23,233
"7824",1949,4,24,233
"8164",1949,4,25,233
"8504",1949,4,26,233
"8844",1949,4,27,228
"9184",1949,4,28,244
"9523",1949,4,29,239
"9842",1949,4,30,233
"5",1949,5,1,233
"345",1949,5,2,233
"685",1949,5,3,228
"1025",1949,5,4,211
"1365",1949,5,5,222
"1705",1949,5,6,228
"2045",1949,5,7,222
"2385",1949,5,8,217
"2725",1949,5,9,228
"3065",1949,5,10,233
"3405",1949,5,11,222
"3745",1949,5,12,222
"4085",1949,5,13,233
"4425",1949,5,14,222
"4765",1949,5,15,233
"5105",1949,5,16,222
"5445",1949,5,17,228
"5785",1949,5,18,228
"6125",1949,5,19,222
"6465",1949,5,20,228
"6805",1949,5,21,217
"7145",1949,5,22,217
"7485",1949,5,23,217
"7825",1949,5,24,217
"8165",1949,5,25,217
"8505",1949,5,26,239
"8845",1949,5,27,217
"9185",1949,5,28,222
"9524",1949,5,29,217
"9843",1949,5,30,233
"10154",1949,5,31,228
"6",1949,6,1,233
"346",1949,6,2,222
"686",1949,6,3,228
"1026",1949,6,4,217
"1366",1949,6,5,228
"1706",1949,6,6,222
"2046",1949,6,7,233
"2386",1949,6,8,222
"2726",1949,6,9,222
"3066",1949,6,10,228
"3406",1949,6,11,228
"3746",1949,6,12,222
"4086",1949,6,13,222
"4426",1949,6,14,222
"4766",1949,6,15,222
"5106",1949,6,16,228
"5446",1949,6,17,222
"5786",1949,6,18,217
"6126",1949,6,19,222
"6466",1949,6,20,228
"6806",1949,6,21,222
"7146",1949,6,22,217
"7486",1949,6,23,211
"7826",1949,6,24,228
"8166",1949,6,25,222
"8506",1949,6,26,228
"8846",1949,6,27,217
"9186",1949,6,28,228
"9525",1949,6,29,233
"9844",1949,6,30,217
"7",1949,7,1,222
"347",1949,7,2,211
"687",1949,7,3,222
"1027",1949,7,4,217
"1367",1949,7,5,217
"1707",1949,7,6,222
"2047",1949,7,7,211
"2387",1949,7,8,200
"2727",1949,7,9,222
"3067",1949,7,10,211
"3407",1949,7,11,222
"3747",1949,7,12,217
"4087",1949,7,13,217
"4427",1949,7,14,222
"4767",1949,7,15,222
"5107",1949,7,16,222
"5447",1949,7,17,217
"5787",1949,7,18,217
"6127",1949,7,19,222
"6467",1949,7,20,222
"6807",1949,7,21,217
"7147",1949,7,22,233
"7487",1949,7,23,222
"7827",1949,7,24,211
"8167",1949,7,25,211
"8507",1949,7,26,228
"8847",1949,7,27,228
"9187",1949,7,28,222
"9526",1949,7,29,222
"9845",1949,7,30,211
"10155",1949,7,31,222
"8",1949,8,1,222
"348",1949,8,2,194
"688",1949,8,3,222
"1028",1949,8,4,228
"1368",1949,8,5,228
"1708",1949,8,6,211
"2048",1949,8,7,211
"2388",1949,8,8,211
"2728",1949,8,9,211
"3068",1949,8,10,233
"3408",1949,8,11,233
"3748",1949,8,12,228
"4088",1949,8,13,217
"4428",1949,8,14,222
"4768",1949,8,15,222
"5108",1949,8,16,222
"5448",1949,8,17,222
"5788",1949,8,18,217
"6128",1949,8,19,228
"6468",1949,8,20,206
"6808",1949,8,21,211
"7148",1949,8,22,211
"7488",1949,8,23,217
"7828",1949,8,24,217
"8168",1949,8,25,222
"8508",1949,8,26,211
"8848",1949,8,27,211
"9188",1949,8,28,222
"9527",1949,8,29,217
"9846",1949,8,30,217
"10156",1949,8,31,211
"9",1949,9,1,217
"349",1949,9,2,222
"689",1949,9,3,211
"1029",1949,9,4,206
"1369",1949,9,5,206
"1709",1949,9,6,211
"2049",1949,9,7,211
"2389",1949,9,8,222
"2729",1949,9,9,222
"3069",1949,9,10,233
"3409",1949,9,11,228
"3749",1949,9,12,200
"4089",1949,9,13,228
"4429",1949,9,14,222
"4769",1949,9,15,233
"5109",1949,9,16,217
"5449",1949,9,17,206
"5789",1949,9,18,211
"6129",1949,9,19,211
"6469",1949,9,20,217
"6809",1949,9,21,222
"7149",1949,9,22,217
"7489",1949,9,23,233
"7829",1949,9,24,233
"8169",1949,9,25,217
"8509",1949,9,26,222
"8849",1949,9,27,222
"9189",1949,9,28,222
"9528",1949,9,29,233
"9847",1949,9,30,217
"10",1949,10,1,222
"350",1949,10,2,217
"690",1949,10,3,228
"1030",1949,10,4,222
"1370",1949,10,5,222
"1710",1949,10,6,228
"2050",1949,10,7,228
"2390",1949,10,8,211
"2730",1949,10,9,211
"3070",1949,10,10,206
"3410",1949,10,11,211
"3750",1949,10,12,222
"4090",1949,10,13,211
"4430",1949,10,14,211
"4770",1949,10,15,228
"5110",1949,10,16,-99.9
"5450",1949,10,17,-99.9
"5790",1949,10,18,-99.9
"6130",1949,10,19,-99.9
"6470",1949,10,20,-99.9
"6810",1949,10,21,-99.9
"7150",1949,10,22,-99.9
"7490",1949,10,23,-99.9
"7830",1949,10,24,-99.9
"8170",1949,10,25,-99.9
"8510",1949,10,26,-99.9
"8850",1949,10,27,-99.9
"9190",1949,10,28,-99.9
"9529",1949,10,29,-99.9
"9848",1949,10,30,-99.9
"10157",1949,10,31,-99.9
"11",1983,4,1,-99.9
"351",1983,4,2,-99.9
"691",1983,4,3,230
"1031",1983,4,4,-99.9
"1371",1983,4,5,-99.9
"1711",1983,4,6,-99.9
"2051",1983,4,7,-99.9
"2391",1983,4,8,-99.9
"2731",1983,4,9,230
"3071",1983,4,10,230
"3411",1983,4,11,240
"3751",1983,4,12,-99.9
"4091",1983,4,13,230
"4431",1983,4,14,-99.9
"4771",1983,4,15,-99.9
"5111",1983,4,16,-99.9
"5451",1983,4,17,-99.9
"5791",1983,4,18,-99.9
"6131",1983,4,19,230
"6471",1983,4,20,-99.9
"6811",1983,4,21,-99.9
"7151",1983,4,22,230
"7491",1983,4,23,230
"7831",1983,4,24,-99.9
"8171",1983,4,25,220
"8511",1983,4,26,-99.9
"8851",1983,4,27,210
"9191",1983,4,28,220
"9530",1983,4,29,220
"9849",1983,4,30,220
"12",1983,5,1,-99.9
"352",1983,5,2,220
"692",1983,5,3,230
"1032",1983,5,4,230
"1372",1983,5,5,-99.9
"1712",1983,5,6,230
"2052",1983,5,7,230
"2392",1983,5,8,-99.9
"2732",1983,5,9,230
"3072",1983,5,10,220
"3412",1983,5,11,200
"3752",1983,5,12,230
"4092",1983,5,13,230
"4432",1983,5,14,230
"4772",1983,5,15,230
"5112",1983,5,16,-99.9
"5452",1983,5,17,220
"5792",1983,5,18,-99.9
"6132",1983,5,19,230
"6472",1983,5,20,-99.9
"6812",1983,5,21,230
"7152",1983,5,22,230
"7492",1983,5,23,230
"7832",1983,5,24,230
"8172",1983,5,25,-99.9
"8512",1983,5,26,-99.9
"8852",1983,5,27,-99.9
"9192",1983,5,28,-99.9
"9531",1983,5,29,-99.9
"9850",1983,5,30,-99.9
"10158",1983,5,31,-99.9
"13",1983,6,1,-99.9
"353",1983,6,2,-99.9
"693",1983,6,3,-99.9
"1033",1983,6,4,-99.9
"1373",1983,6,5,-99.9
"1713",1983,6,6,-99.9
"2053",1983,6,7,-99.9
"2393",1983,6,8,-99.9
"2733",1983,6,9,-99.9
"3073",1983,6,10,-99.9
"3413",1983,6,11,-99.9
"3753",1983,6,12,-99.9
"4093",1983,6,13,-99.9
"4433",1983,6,14,-99.9
"4773",1983,6,15,-99.9
"5113",1983,6,16,-99.9
"5453",1983,6,17,-99.9
"5793",1983,6,18,-99.9
"6133",1983,6,19,-99.9
"6473",1983,6,20,-99.9
"6813",1983,6,21,-99.9
"7153",1983,6,22,-99.9
"7493",1983,6,23,210
"7833",1983,6,24,220
"8173",1983,6,25,210
"8513",1983,6,26,210
"8853",1983,6,27,-99.9
"9193",1983,6,28,-99.9
"9532",1983,6,29,200
"9851",1983,6,30,220
"14",1983,7,1,-99.9
"354",1983,7,2,220
"694",1983,7,3,-99.9
"1034",1983,7,4,200
"1374",1983,7,5,-99.9
"1714",1983,7,6,190
