"","Year","Month","Day","value"
"1",1971,11,1,-99.9
"111",1971,11,2,-99.9
"221",1971,11,3,-99.9
"331",1971,11,4,-99.9
"441",1971,11,5,-99.9
"551",1971,11,6,-99.9
"661",1971,11,7,-99.9
"771",1971,11,8,-99.9
"881",1971,11,9,-99.9
"991",1971,11,10,-99.9
"1101",1971,11,11,-99.9
"1211",1971,11,12,-99.9
"1321",1971,11,13,-99.9
"1431",1971,11,14,-99.9
"1541",1971,11,15,-99.9
"1651",1971,11,16,-99.9
"1761",1971,11,17,-99.9
"1871",1971,11,18,-99.9
"1981",1971,11,19,-99.9
"2091",1971,11,20,-99.9
"2201",1971,11,21,-99.9
"2311",1971,11,22,-99.9
"2421",1971,11,23,-99.9
"2531",1971,11,24,56
"2641",1971,11,25,39
"2751",1971,11,26,39
"2861",1971,11,27,50
"2971",1971,11,28,44
"3081",1971,11,29,22
"3184",1971,11,30,-99.9
"2",1971,12,1,0
"112",1971,12,2,-22
"222",1971,12,3,-39
"332",1971,12,4,-67
"442",1971,12,5,6
"552",1971,12,6,-56
"662",1971,12,7,11
"772",1971,12,8,6
"882",1971,12,9,6
"992",1971,12,10,-33
"1102",1971,12,11,6
"1212",1971,12,12,-67
"1322",1971,12,13,-72
"1432",1971,12,14,6
"1542",1971,12,15,-6
"1652",1971,12,16,6
"1762",1971,12,17,-44
"1872",1971,12,18,-22
"1982",1971,12,19,0
"2092",1971,12,20,-44
"2202",1971,12,21,-56
"2312",1971,12,22,-67
"2422",1971,12,23,-89
"2532",1971,12,24,-72
"2642",1971,12,25,-56
"2752",1971,12,26,-61
"2862",1971,12,27,-17
"2972",1971,12,28,17
"3082",1971,12,29,0
"3185",1971,12,30,6
"3284",1971,12,31,6
"3",1972,1,1,6
"113",1972,1,2,-33
"223",1972,1,3,-17
"333",1972,1,4,6
"443",1972,1,5,6
"553",1972,1,6,-11
"663",1972,1,7,-11
"773",1972,1,8,6
"883",1972,1,9,-33
"993",1972,1,10,-50
"1103",1972,1,11,-33
"1213",1972,1,12,-61
"1323",1972,1,13,-67
"1433",1972,1,14,-44
"1543",1972,1,15,-28
"1653",1972,1,16,-33
"1763",1972,1,17,-50
"1873",1972,1,18,-39
"1983",1972,1,19,-89
"2093",1972,1,20,-72
"2203",1972,1,21,-61
"2313",1972,1,22,-72
"2423",1972,1,23,-72
"2533",1972,1,24,-94
"2643",1972,1,25,-78
"2753",1972,1,26,-78
"2863",1972,1,27,-78
"2973",1972,1,28,-17
"3083",1972,1,29,-33
"3186",1972,1,30,0
"3285",1972,1,31,0
"4",1972,2,1,-78
"114",1972,2,2,-72
"224",1972,2,3,-50
"334",1972,2,4,17
"444",1972,2,5,11
"554",1972,2,6,17
"664",1972,2,7,-11
"774",1972,2,8,-22
"884",1972,2,9,28
"994",1972,2,10,-22
"1104",1972,2,11,6
"1214",1972,2,12,17
"1324",1972,2,13,-11
"1434",1972,2,14,-6
"1544",1972,2,15,0
"1654",1972,2,16,-44
"1764",1972,2,17,-33
"1874",1972,2,18,-39
"1984",1972,2,19,-11
"2094",1972,2,20,-22
"2204",1972,2,21,6
"2314",1972,2,22,0
"2424",1972,2,23,-11
"2534",1972,2,24,-56
"2644",1972,2,25,-50
"2754",1972,2,26,-78
"2864",1972,2,27,-72
"2974",1972,2,28,-72
"3084",1972,2,29,-67
"5",1972,3,1,-22
"115",1972,3,2,-22
"225",1972,3,3,-22
"335",1972,3,4,-44
"445",1972,3,5,-22
"555",1972,3,6,-39
"665",1972,3,7,-61
"775",1972,3,8,-67
"885",1972,3,9,22
"995",1972,3,10,39
"1105",1972,3,11,39
"1215",1972,3,12,56
"1325",1972,3,13,33
"1435",1972,3,14,44
"1545",1972,3,15,33
"1655",1972,3,16,33
"1765",1972,3,17,17
"1875",1972,3,18,33
"1985",1972,3,19,33
"2095",1972,3,20,17
"2205",1972,3,21,28
"2315",1972,3,22,11
"2425",1972,3,23,0
"2535",1972,3,24,-22
"2645",1972,3,25,6
"2755",1972,3,26,11
"2865",1972,3,27,22
"2975",1972,3,28,17
"3085",1972,3,29,0
"3187",1972,3,30,0
"3286",1972,3,31,0
"6",1972,4,1,-28
"116",1972,4,2,0
"226",1972,4,3,-33
"336",1972,4,4,17
"446",1972,4,5,-11
"556",1972,4,6,-22
"666",1972,4,7,-28
"776",1972,4,8,-22
"886",1972,4,9,-28
"996",1972,4,10,-28
"1106",1972,4,11,6
"1216",1972,4,12,28
"1326",1972,4,13,33
"1436",1972,4,14,6
"1546",1972,4,15,-11
"1656",1972,4,16,-6
"1766",1972,4,17,-6
"1876",1972,4,18,22
"1986",1972,4,19,-6
